
[00:00:00.000 --> 00:00:02.000]  伯達尼的瑪利亞
[00:00:02.000 --> 00:00:10.000]  他將很珍貴的純拿達香膏獻給主
[00:00:10.000 --> 00:00:14.000]  我們每個人可以用自己的方式
[00:00:14.000 --> 00:00:18.000]  將最好的獻給神
[00:00:18.000 --> 00:00:22.000]  也許我們發覺我們所獻上的
[00:00:22.000 --> 00:00:25.000]  都不是很偉大
[00:00:25.000 --> 00:00:29.000]  但是上帝為著他的榮耀
[00:00:29.000 --> 00:00:31.000]  來使用
[00:00:31.000 --> 00:00:35.000]  慕迪先生講過一個故事
[00:00:35.000 --> 00:00:41.000]  他說當一個人坐船橫到大西洋
[00:00:41.000 --> 00:00:46.000]  很嚴重的運算浪
[00:00:46.000 --> 00:00:49.000]  他幾乎不能動
[00:00:49.000 --> 00:00:54.000]  有一晚他聽到一把聲音
[00:00:54.000 --> 00:00:57.000]  他說有人掉進水裡
[00:00:58.000 --> 00:01:01.000]  他知道自己不能幫助他
[00:01:01.000 --> 00:01:04.000]  他掙扎
[00:01:04.000 --> 00:01:07.000]  他對自己說
[00:01:07.000 --> 00:01:11.000]  最少我可以掛上這個燈籠
[00:01:11.000 --> 00:01:15.000]  在船的窗上
[00:01:15.000 --> 00:01:22.000]  於是他就慢慢移動他的腳步
[00:01:22.000 --> 00:01:25.000]  放上那盞燈
[00:01:26.000 --> 00:01:33.000]  好像要燈光照在黑暗的當中
[00:01:33.000 --> 00:01:39.000]  第二天他聽到一位獲救的人這樣說
[00:01:39.000 --> 00:01:43.000]  我當時在黑暗當中下沉
[00:01:43.000 --> 00:01:48.000]  直到後來有人掛上那盞燈
[00:01:48.000 --> 00:01:53.000]  那盞燈剛好照到我的手
[00:01:54.000 --> 00:02:00.000]  被一位救生艇上的人拉住
[00:02:00.000 --> 00:02:05.000]  就把我救回來了
[00:02:05.000 --> 00:02:12.000]  每一個人可以發出自己的光輝
[00:02:12.000 --> 00:02:18.000]  或者用自己的天分去服侍別人
[00:02:18.000 --> 00:02:22.000]  無論多細微的事情
[00:02:23.000 --> 00:02:27.000]  能夠幫助神去完成神的心意
[00:02:27.000 --> 00:02:31.000]  都可以去榮耀我們的主
[00:02:31.000 --> 00:02:33.000]  或許有一天
[00:02:33.000 --> 00:02:37.000]  主微笑地看著你
[00:02:37.000 --> 00:02:39.000]  跟你說
[00:02:39.000 --> 00:02:43.000]  你有良善又忠心的僕人
[00:02:43.000 --> 00:02:45.000]  可以到我這裡來
[00:02:45.000 --> 00:02:49.000]  享受主人的快樂
[00:02:50.000 --> 00:02:54.000]  生命是上帝賜給我們的禮物
[00:02:54.000 --> 00:02:56.000]  如何去運用它
[00:02:56.000 --> 00:03:00.000]  就是我們獻給主的禮物
[00:03:00.000 --> 00:03:05.000]  剛才我們看了約翰福音三章的經文
[00:03:05.000 --> 00:03:08.000]  如果我們再看二章
[00:03:08.000 --> 00:03:12.000]  夜三至到夜五節的經文
[00:03:12.000 --> 00:03:16.000]  我們知道神的兒子耶穌
[00:03:17.000 --> 00:03:20.000]  能夠看穿人的內心
[00:03:20.000 --> 00:03:26.000]  體會到人心比什麼都詭詐
