
[00:00:00.000 --> 00:00:03.760]  讓我們的心、思、眼光
[00:00:03.760 --> 00:00:06.520]  看著耶穌、看著我們的神
[00:00:06.520 --> 00:00:10.280]  當作者提醒一群領袖
[00:00:10.280 --> 00:00:11.640]  他說我們做一個領袖
[00:00:11.640 --> 00:00:12.880]  我們要謹慎
[00:00:12.880 --> 00:00:14.880]  我們做領袖要活出上帝
[00:00:14.880 --> 00:00:17.560]  要我們活出的一些方向
[00:00:17.560 --> 00:00:18.320]  而同樣
[00:00:18.320 --> 00:00:19.800]  當我們一群會眾
[00:00:19.800 --> 00:00:22.720]  了解了神對領袖的要求
[00:00:22.720 --> 00:00:26.160]  除了要監察我們的行事為人之外
[00:00:26.160 --> 00:00:27.320]  我覺得是值得的
[00:00:27.320 --> 00:00:28.360]  是需要的
[00:00:28.360 --> 00:00:31.200]  今天我們的生命不是一種隱藏的生命
[00:00:31.200 --> 00:00:32.600]  我們希望我們的生命
[00:00:32.600 --> 00:00:34.680]  能夠是這裡所說的生命
[00:00:34.680 --> 00:00:37.240]  就是今天你所看到的我們的生命
[00:00:37.240 --> 00:00:38.520]  是我自己的生命
[00:00:38.520 --> 00:00:40.280]  縱然我有很多的弱點
[00:00:40.280 --> 00:00:41.280]  很多的難處
[00:00:41.280 --> 00:00:42.280]  縱然大家會覺得
[00:00:42.280 --> 00:00:44.040]  這個牧者仍然都有好地方
[00:00:44.040 --> 00:00:46.400]  是需要被上帝去琢磨的
[00:00:46.400 --> 00:00:47.280]  是對的
[00:00:47.280 --> 00:00:49.160]  但是因著你們的提醒
[00:00:49.160 --> 00:00:50.560]  你們對我們的鼓勵
[00:00:50.560 --> 00:00:52.240]  對我們的監察
[00:00:52.240 --> 00:00:55.480]  我們今天要自我有很多的謹慎
[00:00:55.480 --> 00:00:58.600]  除了對一群領袖的監察之外
[00:00:58.600 --> 00:01:00.480]  這個作者有一個平衡點
[00:01:00.480 --> 00:01:01.600]  他的平衡點就是說
[00:01:01.600 --> 00:01:03.800]  他說不單止我們去監察
[00:01:03.800 --> 00:01:05.920]  不單止我們去投訴
