
[00:00:00.000 --> 00:00:03.040]  讓我們一起先有一個祈禱
[00:00:03.040 --> 00:00:04.920]  我們閉上眼睛
[00:00:04.920 --> 00:00:08.320]  讓我們好像剛才敬拜的歌
[00:00:08.320 --> 00:00:11.640]  帶領我們得力在乎你
[00:00:11.640 --> 00:00:17.120]  藉十字架拯救我們的恩主
[00:00:17.120 --> 00:00:19.800]  我們再次來到你的庚前
[00:00:19.800 --> 00:00:24.400]  求聖靈幫助我們
[00:00:24.840 --> 00:00:30.440]  讓我那個心散的心回到神的面前
[00:00:30.440 --> 00:00:33.560]  好讓我們能夠在這一間集中
[00:00:33.560 --> 00:00:36.000]  能夠靜心去聽神的話
[00:00:36.000 --> 00:00:38.640]  一點一滴進入我們的心坎
[00:00:38.640 --> 00:00:43.240]  叫我們正如剛才帶領敬拜的時候說
[00:00:43.240 --> 00:00:46.720]  我們要謙卑打開我們的心窗
[00:00:46.720 --> 00:00:50.240]  讓我們能夠裝得下神的話
[00:00:50.240 --> 00:00:52.920]  叫我們成為一個又真又活
[00:00:52.920 --> 00:00:54.320]  愛你的基督徒
[00:00:54.640 --> 00:00:57.400]  我們這樣的祈禱是奉群揚大穆者
[00:00:57.400 --> 00:00:58.960]  耶穌基督的名球
[00:00:58.960 --> 00:00:59.840]  阿門
[00:00:59.840 --> 00:01:05.200]  不知道你有沒有看到在我們廣告裡面
[00:01:05.200 --> 00:01:10.200]  很多時候商品裡面都是博取我們很多注意力的
[00:01:10.200 --> 00:01:13.120]  希望你快點買它、用它的東西
[00:01:13.120 --> 00:01:16.040]  所以我就記得坊間裡面
[00:01:16.040 --> 00:01:18.120]  就有很多的廣告
[00:01:18.120 --> 00:01:19.720]  很強調他說
[00:01:19.720 --> 00:01:22.440]  有些東西是一定要自尊的
[00:01:22.440 --> 00:01:26.400]  意思就是你用了它的產品
[00:01:26.400 --> 00:01:27.600]  好像銀行
[00:01:27.600 --> 00:01:30.840]  他說如果你能夠放了這麼多錢進去
[00:01:30.840 --> 00:01:33.200]  你就會特別排隊
[00:01:33.200 --> 00:01:34.840]  都是高級一點的
[00:01:34.840 --> 00:01:37.520]  就是會有專人服務你的
[00:01:37.520 --> 00:01:39.920]  甚至乎會斟茶遞水的
[00:01:39.920 --> 00:01:41.480]  你有什麼不明白
[00:01:41.480 --> 00:01:44.760]  他馬上笑面迎人地去服侍你的
[00:01:44.760 --> 00:01:47.080]  到了放假
[00:01:47.080 --> 00:01:49.320]  我想我們前一陣子在暑假
[00:01:49.320 --> 00:01:51.200]  或者跟我們的爸爸媽媽
[00:01:51.200 --> 00:01:53.640]  或者我們家人一起去旅行的時候
[00:01:53.640 --> 00:01:56.400]  去到那個旅行社的時候
[00:01:56.400 --> 00:01:57.280]  他說先生
[00:01:57.280 --> 00:02:00.720]  你如果用一個這樣的產品
[00:02:00.720 --> 00:02:03.360]  就是這樣的旅行
[00:02:03.360 --> 00:02:04.840]  我們是最頂級的
[00:02:04.840 --> 00:02:06.240]  因為住就住得最好
[00:02:06.240 --> 00:02:07.400]  吃就吃得最好
[00:02:07.400 --> 00:02:09.120]  搭的飛機都好一點
[00:02:09.120 --> 00:02:11.360]  這些叫自尊假期
[00:02:11.360 --> 00:02:13.960]  但是我相信近一點
[00:02:13.960 --> 00:02:15.960]  我們說我們未必去到那麼遠
[00:02:15.960 --> 00:02:16.920]  去到那麼好
[00:02:16.920 --> 00:02:17.800]  那麼高級
[00:02:17.800 --> 00:02:20.000]  因為有些人告訴我
[00:02:20.120 --> 00:02:21.840]  現在去南美
[00:02:21.840 --> 00:02:23.320]  就是去秘魯
[00:02:23.320 --> 00:02:25.720]  去巴西旅行
[00:02:25.720 --> 00:02:26.640]  一轉
[00:02:26.640 --> 00:02:29.440]  可以高級到十四、五萬的
[00:02:29.440 --> 00:02:32.520]  三、四萬那些已經很簡單了
[00:02:32.520 --> 00:02:35.280]  但是原來可以去到這麼厲害的
[00:02:35.280 --> 00:02:37.040]  我早就說了
[00:02:37.040 --> 00:02:39.320]  其實在香港裡面我們也看到
[00:02:39.320 --> 00:02:41.680]  大家都會記住
[00:02:41.680 --> 00:02:43.600]  就是自尊的安格斯
[00:02:43.600 --> 00:02:46.720]  我發現原來這個自尊安格斯
[00:02:46.720 --> 00:02:48.000]  在一年多前
[00:02:48.000 --> 00:02:50.000]  自尊漢堡也出過了
[00:02:50.240 --> 00:02:53.880]  不過現在就轉了做安格斯那種牛肉
[00:02:53.880 --> 00:02:56.400]  所以他就告訴我
[00:02:56.400 --> 00:02:58.560]  只要你給四十六塊左右
[00:02:58.560 --> 00:02:59.480]  我忘記了是不是
[00:02:59.480 --> 00:03:00.520]  四十六塊左右
[00:03:00.520 --> 00:03:02.720]  他說你就吃到一個很漂亮的
[00:03:02.720 --> 00:03:06.200]  安格斯的牛扒包
[00:03:06.200 --> 00:03:08.120]  我想告訴大家
[00:03:08.120 --> 00:03:09.800]  其實呢
[00:03:09.800 --> 00:03:12.520]  跟那個自尊漢堡差不多
[00:03:12.520 --> 00:03:14.240]  就是不會特別好
[00:03:14.240 --> 00:03:16.080]  但是他又加多一杯飲品
[00:03:16.080 --> 00:03:18.280]  然後就自尊安格斯
[00:03:18.280 --> 00:03:19.680]  收你四十六塊
[00:03:19.880 --> 00:03:22.120]  所以我吃完一次也有一點生氣
