
[00:00:00.000 --> 00:00:03.600]  好開心今日能夠同大家一齊敬拜神
[00:00:03.600 --> 00:00:06.400]  我哋講到就嚟到雅各
[00:00:06.400 --> 00:00:08.900]  呢個系列嘅最後一篇
[00:00:08.900 --> 00:00:14.600]  咁可以話雅各一生呢係顛沛流離
[00:00:14.600 --> 00:00:20.500]  佢喺迦南地就去到佢舅父拉班住嘅雅南
[00:00:20.500 --> 00:00:23.900]  返返嚟就喺嗰度一路兜轉
[00:00:23.900 --> 00:00:26.100]  最後仲去咗埃及添
[00:00:26.100 --> 00:00:30.300]  可以話雅各係有個人生嘅高高低低
[00:00:30.300 --> 00:00:32.300]  經歷過好多嘅掙扎
[00:00:32.300 --> 00:00:36.500]  可以話一個不能靜下來嘅人生
[00:00:36.500 --> 00:00:39.500]  restless一個唔能夠安靜
[00:00:39.500 --> 00:00:41.000]  冇一個安靜嘅人生
[00:00:41.000 --> 00:00:43.500]  各位朋友你嘅人生
[00:00:43.500 --> 00:00:47.100]  係咪都係咁顛沛流離安靜呢
[00:00:47.100 --> 00:00:49.900]  咁我睇到雅各我諗起我爸爸
[00:00:49.900 --> 00:00:52.300]  佢都經歷過唔少嘅掙扎
[00:00:52.300 --> 00:00:54.700]  喺抗日戰爭期間
[00:00:54.700 --> 00:00:56.600]  佢嗰時廿幾歲
[00:00:56.600 --> 00:00:59.900]  咁日本佔據廣東嘅時候
[00:00:59.900 --> 00:01:02.100]  咁佢要求生點呢
[00:01:02.100 --> 00:01:04.900]  佢就話我開間鋪頭
[00:01:04.900 --> 00:01:06.700]  鋪頭賣米嘅
[00:01:06.700 --> 00:01:08.800]  賣米應該唔會餓死啦咁樣
[00:01:08.800 --> 00:01:10.300]  咁佢真係開間鋪頭
[00:01:10.300 --> 00:01:12.900]  亦都冇餓死到
[00:01:12.900 --> 00:01:14.500]  咁嗰兩年呢
[00:01:14.500 --> 00:01:17.400]  佢話我要開間鋪頭賣布嘅
[00:01:17.400 --> 00:01:20.100]  賣布就唔使凍死啦咁樣
[00:01:20.100 --> 00:01:25.000]  咁又真係咁樣就捱過咗呢個
[00:01:25.000 --> 00:01:27.200]  打仗嘅時期
[00:01:27.200 --> 00:01:30.600]  咁其實我希望有一日都想同你坐低
[00:01:30.600 --> 00:01:32.100]  聽下你嘅故事
[00:01:32.100 --> 00:01:34.500]  尤其是你年紀大少少嘅
[00:01:34.500 --> 00:01:37.000]  可能你都經歷過一番嘅
[00:01:37.000 --> 00:01:38.900]  辛酸嘅日子
[00:01:38.900 --> 00:01:41.200]  經歷過一個變幻嘅人生
[00:01:41.200 --> 00:01:43.500]  咁喺呢個人生裏面你點樣度過嘅呢
[00:01:43.500 --> 00:01:45.300]  咁其實好有興趣
[00:01:45.300 --> 00:01:48.100]  那雅各就經歷咗一個變幻嘅人生
[00:01:48.100 --> 00:01:51.100]  剛才我哋主席同我哋讀呢段經文呢
[00:01:51.100 --> 00:01:52.700]  就係佢臨死之前
[00:01:52.700 --> 00:01:56.200]  同十二個仔坐低傾偈
[00:01:56.200 --> 00:02:01.500]  祝福同埋預言佢哋將來要發生嘅事
[00:02:01.500 --> 00:02:04.500]  雅各其實唔算一個偉大嘅人
[00:02:04.500 --> 00:02:06.400]  佢嗰啲為人操守呢
[00:02:06.400 --> 00:02:09.300]  有啲你同我都唔係好欣賞嘅
[00:02:09.300 --> 00:02:11.700]  咁但佢喺人類嘅歷史上面
[00:02:11.700 --> 00:02:14.400]  佔咗一個好重要嘅地位
[00:02:14.400 --> 00:02:15.800]  過去四千年
[00:02:15.800 --> 00:02:19.400]  當有人提起以色列呢個國家
[00:02:19.400 --> 00:02:20.900]  就係等於提起雅各
[00:02:20.900 --> 00:02:22.600]  因為雅各嘅名
[00:02:22.600 --> 00:02:25.700]  神改佢做以色列係咪
[00:02:25.700 --> 00:02:28.600]  咁今日我講到喺最後一個
[00:02:28.600 --> 00:02:31.600]  一篇嘅道
[00:02:31.600 --> 00:02:35.600]  我就想為雅各定一個位
[00:02:35.600 --> 00:02:37.200]  為雅各定位
[00:02:37.200 --> 00:02:40.000]  喺舊約嘅歷史裏面
[00:02:40.000 --> 00:02:44.600]  思考上帝嘅救贖計劃當中
[00:02:44.600 --> 00:02:46.900]  雅各佔一個咩嘅地位
[00:02:46.900 --> 00:02:48.200]  唔單止咁
[00:02:48.200 --> 00:02:51.900]  咁雅各呢個故事對你對我
[00:02:51.900 --> 00:02:53.500]  有咩嘅提醒
[00:02:53.500 --> 00:02:55.500]  上帝要透過佢嘅生命
[00:02:55.500 --> 00:02:59.000]  對你對我同埋講一啲咩嘅說話
[00:02:59.000 --> 00:03:02.000]  講到歷史我首先就要提一提
[00:03:02.000 --> 00:03:03.600]  人類嘅歷史
[00:03:03.600 --> 00:03:05.400]  全人類嘅歷史
[00:03:05.400 --> 00:03:07.200]  係圍繞一個中心
[00:03:07.200 --> 00:03:10.700]  呢個中心就係耶穌基督
[00:03:10.700 --> 00:03:12.000]  唔理你信唔信
[00:03:12.000 --> 00:03:14.800]  整個人類嘅歷史就圍繞耶穌基督
[00:03:14.800 --> 00:03:18.400]  蒼西基就預言到耶穌
[00:03:18.400 --> 00:03:20.200]  係女人嘅後裔
