
[00:00:00.000 --> 00:00:07.080]  今天我們在這裏一同分享的主題,就是我們是神家的兒女。
[00:00:07.080 --> 00:00:18.020]  這個非常有意思,因爲我們是慶祝我們的堂慶,我們在家就是一家人。
[00:00:27.260 --> 00:00:32.840]  但是不是單單一個家人,我們是在神家裏面的兒女。
[00:00:32.840 --> 00:00:42.040]  不知道大家有沒有聽過一個寓言故事,我跟大家分享。
[00:00:42.040 --> 00:00:48.900]  這個故事是講到一個農夫,
[00:00:48.900 --> 00:00:56.900]  他有一天在田裏面,撿到一個鷹的蛋,
[00:00:57.700 --> 00:01:02.180]  鷹的蛋,拔鷹的蛋。
[00:01:02.180 --> 00:01:15.240]  他就不知道這是什麼,以爲是雞蛋,他就帶到他的後院,在雞的巢裏面放在那邊。
[00:01:25.240 --> 00:01:29.760]  結果小鷹跟小雞都一同來撲克而出。
[00:01:29.760 --> 00:01:42.740]  小鷹跟小雞都一起來長大了。
[00:01:42.740 --> 00:01:49.180]  那個鷹一直就在後院跟雞一同生活。
[00:01:54.520 --> 00:01:57.520]  他看見其他的雞,他以爲自己就是雞了。
[00:01:57.520 --> 00:02:11.140]  他就在跟其他雞一樣在地上來挖,在地上來抓,希望找到蟲子。
[00:02:18.260 --> 00:02:30.260]  他也跟雞一樣的咕咕咕咕咕咕咕咕咕咕咕咕咕咕咕,偶爾他就拍拍翅膀來飛一下,一點點,又掉下來。
[00:02:30.260 --> 00:02:40.260]  那麼日子就這樣過去了,那隻鷹也長大就老了。
[00:02:40.260 --> 00:02:47.260]  有一天他抬頭看見在天上面有一隻大鳥在飛。
[00:02:48.260 --> 00:02:52.260]  高高在天上,真是豪邁不凡的一隻大鳥。
[00:02:52.260 --> 00:03:00.260]  在空中傲翔的來飛翔萬里。
[00:03:00.260 --> 00:03:10.260]  那麼地上的老鷹就問問那個雞,公雞,公雞,那是什麼東西來的?
[00:03:15.260 --> 00:03:18.260]  公雞,公雞,那是什麼東西來的?
[00:03:18.260 --> 00:03:32.260]  那個公雞就說,那個是麻鷹,它是萬鳥之王,它是屬天的。
[00:03:32.260 --> 00:03:40.260]  那我們呢?我們是什麼?
[00:03:42.260 --> 00:03:45.260]  我們是雞,我們是屬地的。
[00:03:45.260 --> 00:03:54.260]  那麼這個老鷹就,哦,原來是這樣,它們要繼續來生活。
[00:04:04.260 --> 00:04:12.260]  所以它就繼續跟那些雞一同地在地上抓,在地上挖,一直挖一直抓,一直到老。
[00:04:12.260 --> 00:04:25.260]  直到有一天它就死在那個雞的後院裏面了。
[00:04:25.260 --> 00:04:31.260]  哦,弟兄姐妹,你知道我們是什麼嗎?
