
[00:00:00.000 --> 00:00:03.380]  其實我今天本來的焦點是說什麼
[00:00:03.380 --> 00:00:09.420]  該人就顯露知識樹的真面目
[00:00:09.420 --> 00:00:11.200]  是不是,真相,真面目
[00:00:11.200 --> 00:00:14.600]  不過其實昨天下午講道的時候
[00:00:14.600 --> 00:00:16.860]  對青少年區一講
[00:00:16.860 --> 00:00:19.080]  主席就已經不准我講了
[00:00:19.080 --> 00:00:20.600]  叫我封ipad
[00:00:20.600 --> 00:00:22.280]  照他的意思講
[00:00:22.280 --> 00:00:23.600]  經文是那些經文
[00:00:23.600 --> 00:00:26.000]  不過講了另外一些東西
[00:00:26.000 --> 00:00:32.540]  清城區又繼續講,下午的就加些清城的東西進去
[00:00:32.540 --> 00:00:36.520]  現在我就講家庭的一部分給你們聽
[00:00:36.520 --> 00:00:39.460]  其實知識樹
[00:00:39.460 --> 00:00:41.840]  因爲時間關係都不讀聖經了
[00:00:41.840 --> 00:00:44.160]  因爲我已經過了我的20分鐘
[00:00:44.160 --> 00:00:47.160]  debuffing已經debuff了
[00:00:47.160 --> 00:00:51.280]  其實知識樹究竟呈現什麼呢
[00:00:51.280 --> 00:00:53.320]  第一樣東西我想你思想的
[00:00:53.320 --> 00:00:56.920]  就是該人是第一個
[00:00:56.920 --> 00:00:59.480]  在聖經記載裏面
[00:00:59.480 --> 00:01:02.840]  人喫了知識樹之後
[00:01:02.840 --> 00:01:07.880]  一個最清楚,呈現最早的樣板
[00:01:07.880 --> 00:01:09.120]  你同不同意嗎
[00:01:09.120 --> 00:01:10.600]  因爲亞當夏娃
[00:01:10.600 --> 00:01:13.760]  都有一些時間是沒喫知識樹的
[00:01:13.760 --> 00:01:16.440]  所以他是有參集的
[00:01:16.440 --> 00:01:18.400]  但是該人是什麼呢
[00:01:18.400 --> 00:01:21.800]  是最早,最詳細的一個
[00:01:21.800 --> 00:01:28.120]  而如果我們從該人在聖經記載的篇幅去看
[00:01:28.120 --> 00:01:29.640]  創世紀是這樣的
[00:01:29.640 --> 00:01:32.520]  1到11章是一個段落
[00:01:32.520 --> 00:01:34.880]  如果你看1到11章
[00:01:34.880 --> 00:01:37.320]  你看該人這個人
[00:01:37.320 --> 00:01:41.360]  在聖經記載的篇幅的佔有裏面
[00:01:41.360 --> 00:01:44.400]  你覺得其實他頗重要
[00:01:44.400 --> 00:01:45.640]  你明白嗎
[00:01:45.640 --> 00:01:49.480]  就是說他佔了17節經文
[00:01:49.480 --> 00:01:52.600]  以諾與臣同行三百年
[00:01:52.600 --> 00:01:54.240]  臣就將他取去
[00:01:54.240 --> 00:01:56.160]  是一節經文
[00:01:56.160 --> 00:01:57.000]  你明白嗎
[00:01:57.000 --> 00:01:59.960]  一個這麼敬畏神的人是一節經文
[00:01:59.960 --> 00:02:02.800]  該人的兄弟亞伯
[00:02:02.800 --> 00:02:05.360]  聲都沒聲就死了
[00:02:05.360 --> 00:02:07.240]  你明白嗎
[00:02:07.240 --> 00:02:09.880]  所以你就會看見
[00:02:09.880 --> 00:02:12.320]  該人其實這個人很特別
[00:02:12.320 --> 00:02:16.120]  其實臣想透過他們講什麼給我們聽呢
[00:02:16.120 --> 00:02:18.360]  所以你就聽回那個帶
[00:02:18.360 --> 00:02:20.080]  就是聽回那一堂道
[00:02:20.080 --> 00:02:22.640]  但今天要和家庭區講的
[00:02:22.640 --> 00:02:26.600]  就是在人類喫了知識樹之後
[00:02:26.600 --> 00:02:29.960]  這個家庭起的鉅變
[00:02:29.960 --> 00:02:31.960]  你必須要認知
[00:02:31.960 --> 00:02:35.200]  知識樹是表示什麼呢
[00:02:35.200 --> 00:02:37.880]  是未喫知識樹之前
[00:02:37.880 --> 00:02:39.720]  人其實是什麼來的呢
[00:02:39.720 --> 00:02:40.760]  是怎樣的呢
[00:02:40.760 --> 00:02:44.760]  你和我都不知道人類未喫之前是怎樣的
[00:02:44.760 --> 00:02:45.920]  同不同意嗎
[00:02:45.920 --> 00:02:48.720]  我們只知道阿當和夏娃
[00:02:48.720 --> 00:02:51.600]  沒有羞恥感
[00:02:51.600 --> 00:02:53.400]  沒有罪疚感
[00:02:53.400 --> 00:02:54.920]  所以有人就這樣說
[00:02:54.920 --> 00:02:56.800]  他們很純真的
[00:02:56.800 --> 00:02:59.680]  你一講純真就想起誰呢
[00:02:59.680 --> 00:03:01.240]  想起BB
[00:03:01.240 --> 00:03:04.320]  BB不穿衣服會不會有羞恥感
[00:03:04.320 --> 00:03:06.480]  BB如果你沒給他穿衣服
[00:03:06.480 --> 00:03:09.880]  他會不會突然在臉上出現羞恥
[00:03:09.880 --> 00:03:11.360]  兩個字不會的
[00:03:11.360 --> 00:03:13.480]  甚至他適行適走你不給他穿衣服
[00:03:13.480 --> 00:03:15.760]  他都未知道什麼叫什麼
[00:03:15.760 --> 00:03:17.160]  羞恥
[00:03:17.160 --> 00:03:18.640]  不過他的皮膚
[00:03:18.640 --> 00:03:19.480]  他的身體
[00:03:19.480 --> 00:03:21.440]  他的生理有機能有反應
[00:03:21.440 --> 00:03:23.520]  很冷的時候他會凍着
[00:03:23.520 --> 00:03:25.040]  不過冷冷下習慣了
[00:03:25.040 --> 00:03:26.640]  他都不用穿那麼多衣服
[00:03:26.640 --> 00:03:27.400]  你明白嗎
[00:03:27.400 --> 00:03:28.280]  是這樣的
[00:03:28.280 --> 00:03:29.640]  所以你發現
[00:03:29.640 --> 00:03:33.040]  這個羞恥感是要去到某一個什麼
[00:03:33.040 --> 00:03:35.920]  所謂是非之心
[00:03:35.920 --> 00:03:38.240]  就是開始運作了
[00:03:38.240 --> 00:03:41.680]  就是意識開始識判斷的時候
[00:03:41.680 --> 00:03:43.400]  好像纔有
[00:03:43.400 --> 00:03:47.440]  所以亞當夏娃沒喫這個知識樹
[00:03:47.440 --> 00:03:49.680]  就是分別善惡樹
[00:03:49.680 --> 00:03:52.480]  因爲不要用分別善惡這個詞
[00:03:52.480 --> 00:03:54.080]  因爲這個字太過什麼
[00:03:54.080 --> 00:03:55.920]  太過分別了
[00:03:55.920 --> 00:03:57.920]  其實它是一個知識樹
[00:03:57.920 --> 00:03:59.440]  意思就是你喫了
[00:03:59.440 --> 00:04:00.760]  我們喫了之後
[00:04:00.760 --> 00:04:02.120]  所有的人
[00:04:02.120 --> 00:04:09.280]  其實你會發現有很多好的事情確實發生了
[00:04:09.280 --> 00:04:14.000]  譬如你懂得累積人類
[00:04:14.000 --> 00:04:17.840]  懂得累積知識
[00:04:17.840 --> 00:04:20.720]  你懂得學習新東西
[00:04:20.720 --> 00:04:21.560]  對不對
[00:04:21.560 --> 00:04:25.960]  你可以從什麼已知去到什麼未知
[00:04:25.960 --> 00:04:27.960]  因爲這樣的緣故
[00:04:27.960 --> 00:04:31.280]  文化可以持續發展下去
[00:04:31.280 --> 00:04:34.680]  所以從文化累積的角度去看
