
[00:00:00.000 --> 00:00:03.400]  讓我們再一次低頭禱告
[00:00:03.400 --> 00:00:04.880]  主耶穌啊
[00:00:04.880 --> 00:00:08.880]  祢就是我們生命的主
[00:00:08.880 --> 00:00:10.480]  主啊
[00:00:10.480 --> 00:00:12.000]  有祢的同在
[00:00:12.000 --> 00:00:17.000]  使得我們生命能夠變得不再一樣
[00:00:17.000 --> 00:00:19.600]  願我們都能夠在其中
[00:00:19.600 --> 00:00:24.800]  得著從祢而來的平安、能力、智慧
[00:00:24.800 --> 00:00:30.800]  叫我們繼續奔走這條前路的時候
[00:00:30.800 --> 00:00:34.800]  可能我們都不知道會遇上什麼事情
[00:00:34.800 --> 00:00:37.600]  但我們相信祢與我們同在
[00:00:37.600 --> 00:00:39.200]  祢與我們同行
[00:00:39.200 --> 00:00:42.600]  使我們能夠發酸的腿
[00:00:42.600 --> 00:00:45.400]  能夠有力繼續前行
[00:00:45.400 --> 00:00:49.200]  下垂的手可以再一次舉起
[00:00:49.200 --> 00:00:52.200]  高歌讚揚祢的名
[00:00:52.200 --> 00:00:55.000]  因為知道祢是佩德
[00:00:55.000 --> 00:00:59.600]  祢這樣來讓我們稱讚、讚美祢
[00:00:59.600 --> 00:01:01.200]  願祢來到當中
[00:01:01.200 --> 00:01:05.000]  祢的馳承哀索圍繞著我們的生命
[00:01:05.000 --> 00:01:08.200]  使我們都能夠繼續認定祢
[00:01:08.200 --> 00:01:09.200]  多謝祢
[00:01:09.200 --> 00:01:10.200]  誰聽我們的禱告
[00:01:10.200 --> 00:01:12.600]  奉耶穌基督得勝的名球
[00:01:12.600 --> 00:01:14.200]  阿門
[00:01:14.200 --> 00:01:16.800]  各位靈姐妹早晨
[00:01:16.800 --> 00:01:18.200]  有一個故事這樣說
[00:01:18.200 --> 00:01:23.200]  有一個老師很想教曉學生做人的道理
[00:01:23.200 --> 00:01:26.200]  於是他就叫了這班學生來
[00:01:26.200 --> 00:01:29.200]  就給了他這塊石頭
[00:01:29.200 --> 00:01:32.200]  這塊石頭看上去沒什麼特別
[00:01:32.200 --> 00:01:34.200]  平平無奇
[00:01:34.200 --> 00:01:39.200]  他就叫這班學生嘗試去街市問價
[00:01:39.200 --> 00:01:43.200]  看看這塊石頭值多少錢
[00:01:43.200 --> 00:01:46.200]  這班學生於是就去街市
[00:01:46.200 --> 00:01:48.200]  去問不同的檔主
[00:01:48.200 --> 00:01:52.200]  那些檔主說這塊石頭沒什麼用
[00:01:52.200 --> 00:01:54.200]  有些檔主就表示
[00:01:54.200 --> 00:01:57.200]  都好的,可以用來綁一些東西
[00:01:57.200 --> 00:02:00.200]  最後他們得出來的答案
[00:02:00.200 --> 00:02:03.200]  只是值幾塊錢
[00:02:03.200 --> 00:02:06.200]  於是這位老師又再叫他們
[00:02:06.200 --> 00:02:08.200]  這次你去另一個地方
[00:02:08.200 --> 00:02:10.200]  嘗試去珠寶店
