
[00:00:00.000 --> 00:00:05.120]  弟兄姊妹,父親節快樂,父親節蒙科
[00:00:05.120 --> 00:00:08.600]  我們在神的裏面很感恩
[00:00:08.600 --> 00:00:12.840]  讓我們經歷到地上有我們的父親
[00:00:12.840 --> 00:00:15.320]  亦有天上的父親
[00:00:15.320 --> 00:00:18.920]  今日和大家分享的主題
[00:00:18.920 --> 00:00:23.120]  我選擇了「一位父親的心」
[00:00:23.120 --> 00:00:26.360]  剛才大家讀的經文很短
[00:00:26.360 --> 00:00:32.520]  稍後我準備和大家分享耶穌所說的故事
[00:00:32.520 --> 00:00:34.240]  是一個序幕
[00:00:34.240 --> 00:00:36.760]  在說這個故事之前
[00:00:36.760 --> 00:00:40.880]  想看看你們心目中的父親
[00:00:40.880 --> 00:00:43.560]  在你們從小到大的時候
[00:00:43.560 --> 00:00:46.720]  你的父親是怎樣的父親呢?
[00:00:46.720 --> 00:00:49.560]  我又… 請看一看
[00:00:49.560 --> 00:00:52.960]  今日是父親節,所以想起父親
[00:00:52.960 --> 00:00:57.320]  有些父親… 看看第一幅圖
[00:00:57.320 --> 00:01:01.560]  很能幹的,很懂得維修
[00:01:01.560 --> 00:01:05.640]  你的父親從你小時候到現在
[00:01:05.640 --> 00:01:08.240]  你的印象,你的父親是怎樣的?
[00:01:08.240 --> 00:01:09.600]  是不是這樣?
[00:01:09.600 --> 00:01:14.160]  我們在當中也有爸爸,舉手,誰是爸爸?
[00:01:14.160 --> 00:01:19.320]  你呢?你覺得自己也是在家裏做維修員的,舉手
[00:01:19.320 --> 00:01:23.200]  嘩!很多,換燈泡
[00:01:23.200 --> 00:01:27.840]  有時電掣壞了
[00:01:27.840 --> 00:01:30.640]  洗衣機的按鈕不懂得按
[00:01:30.640 --> 00:01:35.720]  看一看… 其實打開關掉就行了
[00:01:35.720 --> 00:01:39.000]  我們很經典的父親形象
[00:01:39.000 --> 00:01:41.800]  很懂得工作,很懂得維修
[00:01:41.800 --> 00:01:45.840]  有些爸爸很懂得烹飪
[00:01:45.840 --> 00:01:49.480]  誰是我爸爸是很懂得烹飪的?
[00:01:49.480 --> 00:01:53.040]  我爸爸是比我媽媽的烹飪更好吃
[00:01:53.040 --> 00:01:58.360]  很經典,爸爸是一個很好的廚師
[00:01:58.360 --> 00:02:01.600]  現在的年代會多一點
[00:02:01.600 --> 00:02:05.680]  爸爸會和小朋友看故事,說故事
[00:02:05.680 --> 00:02:11.720]  在我的年代,沒有這些親子活動
[00:02:11.720 --> 00:02:16.320]  但是爸爸也會說家族的歷史
