
[00:00:00.000 --> 00:00:04.920]  在我小學三年級 年中的成績表
[00:00:04.920 --> 00:00:08.520]  老師對我有一個評語
[00:00:08.520 --> 00:00:12.000]  這個評語是什麼呢
[00:00:12.000 --> 00:00:16.520]  今天的講題 將勤補拙的肢體相交
[00:00:16.520 --> 00:00:20.840]  主要經文在哥倫多前書十二章
[00:00:20.840 --> 00:00:24.000]  這個評語是什麼呢 這個評語是四個字的
[00:00:24.000 --> 00:00:27.320]  和今天的講題很有關係 大家一起讀出來
[00:00:27.320 --> 00:00:32.240]  將勤補拙 不知道大家如何理解
[00:00:32.240 --> 00:00:34.720]  我印象很深刻 我有兩個理解
[00:00:34.720 --> 00:00:38.640]  第一個是正面的 正面的意思是老師讚賞我的勤力
[00:00:38.640 --> 00:00:41.560]  就是說我可以彌補我不足之處
[00:00:41.560 --> 00:00:44.880]  第二個是負面的 我表現得不好
[00:00:44.880 --> 00:00:49.480]  有不足的地方 需要更加努力去彌補這些不足
[00:00:49.480 --> 00:00:54.240]  當時確實是有些不開心 負面的情緒比較大
[00:00:54.240 --> 00:00:59.680]  但是我始終到今時今日 都沒有忘記這一句話
[00:00:59.680 --> 00:01:03.360]  我自知自己是資質平庸的
[00:01:03.360 --> 00:01:05.600]  但是我提醒自己要努力不懈
[00:01:05.600 --> 00:01:09.040]  因為努力必定會有收成
[00:01:09.040 --> 00:01:14.240]  我最近問了AI 什麼意思
[00:01:14.240 --> 00:01:15.440]  AI就這樣說
[00:01:15.440 --> 00:01:23.120]  他說這一句是一則強調後天努力可以克服先天限制的成語
[00:01:23.120 --> 00:01:29.240]  事實上都是用來鼓勵 透過加倍付出時間和心力去達成目標
[00:01:29.240 --> 00:01:31.440]  AI就這樣說
[00:01:31.440 --> 00:01:35.640]  這是一句鮑爾詞 即是讚賞的 不是貶義的
[00:01:35.640 --> 00:01:40.920]  所以當年的老師其實是對我讚賞的
[00:01:40.920 --> 00:01:43.040]  在肢體相交的事情當中
[00:01:43.040 --> 00:01:46.640]  弟兄姊妹 我們其實都是需要將勤補拙
[00:01:46.640 --> 00:01:50.200]  我相信將勤補拙的將勤是在說什麼呢
[00:01:50.200 --> 00:01:54.080]  就是我們要事實上是依靠我們的神
[00:01:54.080 --> 00:02:00.560]  而補拙的意思就是幫助我們克服天生自我中心那種傾向
[00:02:00.560 --> 00:02:03.080]  亦都是說到犯罪的傾向
[00:02:03.080 --> 00:02:07.800]  以至到教會可以有美好的肢體生活
[00:02:07.800 --> 00:02:12.960]  讓神得到祂所得的榮耀
[00:02:12.960 --> 00:02:17.280]  一個美好肢體相交的基礎是什麼呢
[00:02:17.280 --> 00:02:20.440]  我們一起讀這兩節經文
[00:02:20.440 --> 00:02:24.800]  就如身體是一個 卻有許多肢體
[00:02:24.800 --> 00:02:29.200]  身體的肢體最多 仍是一個身體
[00:02:29.200 --> 00:02:31.400]  基督也是這樣
[00:02:31.400 --> 00:02:37.600]  我們無論是猶太人 是希臘人 是維路的 是自主的
[00:02:37.600 --> 00:02:42.280]  都從一位聖靈受洗 成了一個身體
[00:02:42.280 --> 00:02:45.600]  並且共享這位聖靈
[00:02:45.600 --> 00:02:50.120]  經文講到人的身體和肢體的關係
[00:02:50.120 --> 00:02:54.360]  肢體雖然是多 但是不可以分割的
[00:02:54.360 --> 00:02:57.360]  因為是同屬於一個身體
[00:02:57.360 --> 00:03:00.720]  保羅用這個比喻講到很明白
[00:03:00.720 --> 00:03:05.560]  這裡有六個字就是基督也是這樣
[00:03:05.560 --> 00:03:06.600]  都是一樣的
[00:03:06.600 --> 00:03:12.000]  意思就是說基督的身體 即教會都是一樣
[00:03:12.000 --> 00:03:16.400]  而當中的肢體是哪些人呢 大家認為
[00:03:16.400 --> 00:03:18.720]  就是我們這群信徒
[00:03:18.720 --> 00:03:21.800]  所以你跟隔壁的朋友說 你也是肢體
[00:03:21.800 --> 00:03:24.720]  是不可以分割的
[00:03:24.720 --> 00:03:29.600]  所以無論你覺得自己的作用很大
[00:03:29.600 --> 00:03:32.120]  又或者你覺得自己是沒什麼作用的
[00:03:32.120 --> 00:03:36.120]  但是都是有份於這個肢體
[00:03:36.120 --> 00:03:38.320]  是不可以分割的
[00:03:38.320 --> 00:03:39.720]  我們是在一起的
[00:03:39.720 --> 00:03:42.800]  這是第一個重點
[00:03:42.800 --> 00:03:45.800]  同屬於一個身體是不可以分割的
[00:03:45.800 --> 00:03:50.120]  而第二個同屬就是同屬於一位聖靈
[00:03:50.120 --> 00:03:51.800]  同屬於一位聖靈的洗
[00:03:51.800 --> 00:03:55.600]  意思就是說我們信主那一剎那
[00:03:55.600 --> 00:03:58.200]  我們已經有聖靈內著
[00:03:58.200 --> 00:04:01.920]  正如《耳法所書》一章十三節這樣講
[00:04:01.920 --> 00:04:06.720]  既然信他 就受了所應許的聖靈為印記
[00:04:06.720 --> 00:04:11.000]  所以我們信了耶穌 我們每一個人已經有聖靈內著
[00:04:11.000 --> 00:04:15.000]  使我們成為基督的一個部份
[00:04:15.000 --> 00:04:19.400]  並且在這裡講到我們可以共享這個聖靈
[00:04:19.400 --> 00:04:22.600]  意思就是說我們可以在經歷上
[00:04:22.600 --> 00:04:27.800]  去分享聖靈的同在和大能
[00:04:27.800 --> 00:04:29.800]  同時之間我們可以領受
[00:04:29.800 --> 00:04:34.800]  從聖靈而來的大大小小的恩賜
[00:04:34.800 --> 00:04:38.000]  所以我們不可以說我沒有聖靈
[00:04:38.000 --> 00:04:40.200]  大英姐妹你和隔壁左右說
[00:04:40.200 --> 00:04:42.800]  你不可以說你沒有聖靈
[00:04:42.800 --> 00:04:44.400]  我們每一個人都有聖靈
[00:04:44.400 --> 00:04:51.000]  問題就是我們用聖靈和我們裏面的靈去溝通
[00:04:51.000 --> 00:04:52.000]  還是你將它隔絕
[00:04:52.000 --> 00:04:54.400]  但是無論如何我們都有聖靈
[00:04:54.400 --> 00:04:58.600]  就好像我們一定有肉身父母一樣
[00:04:58.600 --> 00:05:01.600]  這是一個事實 是無可推諉的事實
[00:05:01.600 --> 00:05:05.800]  在現今可能一些很不幸的孤兒
[00:05:05.800 --> 00:05:09.200]  他們都有父母一樣
[00:05:09.200 --> 00:05:11.200]  恩賜的目的是什麼呢
[00:05:11.200 --> 00:05:12.800]  主要有兩個
[00:05:12.800 --> 00:05:16.000]  第一個就是我們一起讀
[00:05:16.000 --> 00:05:18.800]  聖靈彰顯在各人身上
[00:05:18.800 --> 00:05:21.400]  是要使人得益處
[00:05:21.400 --> 00:05:22.600]  使人得益處
[00:05:22.600 --> 00:05:25.400]  意思就是說使整個救贖群體
[00:05:25.400 --> 00:05:27.000]  就是我們這一班人
[00:05:27.000 --> 00:05:31.000]  不是為了自我標榜自己的滿足
[00:05:31.000 --> 00:05:36.000]  而出發點是對神和人那種的服侍
[00:05:36.000 --> 00:05:40.600]  最終的目標就是為了去榮耀我們的神
[00:05:40.600 --> 00:05:43.800]  另外第二個目標
[00:05:43.800 --> 00:05:46.800]  看到這個身體是裝滿人的
[00:05:46.800 --> 00:05:48.000]  就是你你我我
[00:05:48.000 --> 00:05:49.800]  他說這裡所設的有使徒
[00:05:49.800 --> 00:05:51.600]  有先知 有傳福音的
[00:05:51.600 --> 00:05:53.200]  有牧者 有牧師
[00:05:53.200 --> 00:05:57.000]  為要去裝備聖徒做侍奉的工作
[00:05:57.000 --> 00:05:58.800]  建立基督的身體
[00:05:58.800 --> 00:05:59.400]  紅色的字
