
[00:00:00.000 --> 00:00:03.540]  很高興今天再次見到主內大圈姐妹
[00:00:03.540 --> 00:00:08.680]  在新春期間來到神的殿中繼續去敬拜我們的主耶穌基督
[00:00:08.680 --> 00:00:09.920]  我們的天父上帝
[00:00:09.920 --> 00:00:14.800]  我們今天是初六
[00:00:14.800 --> 00:00:15.740]  很感謝主
[00:00:15.740 --> 00:00:19.580]  我們昨天有個節目
[00:00:19.580 --> 00:00:28.320]  我們在教會裏都有個新春的Outreach的節目
[00:00:28.320 --> 00:00:33.880]  但是我們都明白到為什麼我們會主持這個新春節目
[00:00:33.880 --> 00:00:36.640]  這個外展的活動
[00:00:36.640 --> 00:00:39.720]  因為我們聽到神告訴我們
[00:00:39.720 --> 00:00:48.900]  我們要照顧我們一班年輕的大圈姐妹的朋友
[00:00:48.900 --> 00:00:50.520]  在這個新春期間
[00:00:50.520 --> 00:00:53.200]  使他們可以感受到主耶穌基督的愛
[00:00:53.200 --> 00:00:55.660]  在教會的事工上
[00:00:55.660 --> 00:00:58.220]  我們很多時候會聽到一些聲音
[00:00:58.220 --> 00:01:01.280]  好像說究竟這些是不是神告訴我們的聲音
[00:01:01.280 --> 00:01:05.760]  又或者是不是教會應該在新春期間要減少活動
[00:01:05.760 --> 00:01:07.320]  或者有其他的因素
[00:01:07.320 --> 00:01:10.000]  我們怎樣可以聽著神的話語
[00:01:10.000 --> 00:01:12.540]  去和神一起去同工呢
[00:01:12.540 --> 00:01:15.160]  我們在社會上都有些科技
[00:01:15.160 --> 00:01:18.400]  我們科技都知道我們用手提電話
[00:01:18.400 --> 00:01:20.200]  有時用手指模
[00:01:20.200 --> 00:01:23.360]  去看一下自己的分別
[00:01:23.360 --> 00:01:25.320]  究竟誰是開部手機
[00:01:25.320 --> 00:01:30.840]  又或者用臉的輪廓
[00:01:30.840 --> 00:01:33.060]  又或者用眼睛的瞳孔
[00:01:33.060 --> 00:01:35.920]  甚至現在都說用聲音
[00:01:35.920 --> 00:01:40.820]  就可以大約知道你究竟是不是真是那個人
[00:01:40.820 --> 00:01:44.580]  在這些生物識別的科技當中
[00:01:44.580 --> 00:01:47.780]  是分辨出究竟我們這麼多個環境裏面
[00:01:47.780 --> 00:01:49.540]  就算是聽到聲音
[00:01:49.540 --> 00:01:51.680]  究竟聲音是從哪裡來的
[00:01:51.680 --> 00:01:54.060]  那把聲音是不是真的神說的呢
[00:01:54.060 --> 00:01:57.200]  還是一些周圍的雜音呢
[00:01:57.200 --> 00:02:01.760]  我們今天就繼續去看這個《撒姆爾記》上
[00:02:01.760 --> 00:02:04.560]  撒姆爾本人他這個是先知
[00:02:04.560 --> 00:02:07.820]  他自己小時候就聽到搖滑的聲音
[00:02:07.820 --> 00:02:10.200]  如果看《撒姆爾記》的開頭那幾章
[00:02:10.200 --> 00:02:13.740]  他會聽到神 搖滑神對他的呼召
[00:02:13.740 --> 00:02:18.040]  反而他的祭司以來就聽不到
[00:02:18.040 --> 00:02:21.740]  但是神就接著他的聲音是跟我們說話
[00:02:21.740 --> 00:02:24.960]  我們當中的小朋友 你們有沒有養寵物呀
[00:02:24.960 --> 00:02:27.100]  有沒有呀
[00:02:27.100 --> 00:02:29.920]  我自己都有養兩隻雞
[00:02:29.920 --> 00:02:33.040]  一下去 餵雞的時候 餵寵物的時候
