
[00:00:00.000 --> 00:00:01.360]  丁芝妹早晨
[00:00:01.360 --> 00:00:02.620]  早晨
[00:00:02.620 --> 00:00:06.200]  今天是祝福大坑的崇拜
[00:00:06.200 --> 00:00:09.760]  但同時也是一個聯合崇拜
[00:00:09.760 --> 00:00:11.240]  意思是什麼呢
[00:00:11.240 --> 00:00:14.540]  我們當中其實有小朋友在我們那裏
[00:00:14.540 --> 00:00:16.480]  小朋友,記得我嗎
[00:00:16.480 --> 00:00:17.760]  記得
[00:00:17.760 --> 00:00:20.180]  是,給小朋友一些掌聲
[00:00:20.180 --> 00:00:22.680]  原來我是有粉絲的
[00:00:22.680 --> 00:00:25.460]  我之前經常在兒童崇拜
[00:00:25.460 --> 00:00:29.760]  在幼稚級、兒童級都會談一下宣教
[00:00:29.760 --> 00:00:31.860]  所以我會介紹自己
[00:00:31.860 --> 00:00:33.360]  Pasta Betsy比較長
[00:00:33.360 --> 00:00:34.440]  其實她也很厲害
[00:00:34.440 --> 00:00:36.620]  那我就介紹,什麼名字好呢
[00:00:36.620 --> 00:00:38.420]  就是什麼名字
[00:00:38.420 --> 00:00:41.500]  蕉絲姐姐,對了
[00:00:41.500 --> 00:00:43.680]  Banana
[00:00:43.680 --> 00:00:48.560]  那我想問哪些是家長、家小朋友在我們當中
[00:00:48.560 --> 00:00:51.080]  歡迎你們,特別
[00:00:51.080 --> 00:00:52.760]  我需要大家幫忙
[00:00:52.760 --> 00:00:56.400]  就是因為,你一個成人崇拜
[00:00:56.400 --> 00:00:59.160]  但又要說訊息給小朋友聽
[00:00:59.160 --> 00:01:01.600]  是一件容易的事嗎
[00:01:01.600 --> 00:01:03.900]  又要幼稚級懂得聽
[00:01:03.900 --> 00:01:05.800]  又要大人懂得聽
[00:01:05.800 --> 00:01:07.400]  是一點都不容易的
[00:01:07.400 --> 00:01:09.800]  所以呢,就很需要大家
[00:01:09.800 --> 00:01:11.400]  無論是小朋友,行不行
[00:01:11.400 --> 00:01:13.540]  待會你負責回答問題
[00:01:13.540 --> 00:01:15.080]  後面那些小朋友
[00:01:15.080 --> 00:01:18.000]  還有大人幫忙回答問題
[00:01:18.000 --> 00:01:19.920]  我很多很多互動
[00:01:19.920 --> 00:01:21.760]  那等於,為了什麼呢
[00:01:21.760 --> 00:01:23.680]  為了什麼呢,大家
[00:01:23.680 --> 00:01:25.680]  當然不要睡覺啦
[00:01:25.680 --> 00:01:26.920]  醒醒一點啦
[00:01:26.920 --> 00:01:29.560]  還有希望大家記得
[00:01:29.560 --> 00:01:31.360]  就是,其實
[00:01:31.360 --> 00:01:34.040]  一會兒大家可能都要出去祝福我們的社區
[00:01:34.040 --> 00:01:36.960]  或者今早,未來之前
