
[00:00:00.000 --> 00:00:04.100]  OK 今天我們回到希伯來書
[00:00:04.100 --> 00:00:05.660]  剛才節目師已經解釋了
[00:00:05.660 --> 00:00:08.860]  我們繼續 剛才我說引來就一回
[00:00:08.860 --> 00:00:11.100]  引來就天路是原本他給我的題目
[00:00:11.100 --> 00:00:15.200]  那麼我今天就
[00:00:15.200 --> 00:00:18.660]  這個其實主要是希伯來書十二章一至三節
[00:00:18.660 --> 00:00:21.500]  那麼不知道看不看得到 應該看得到
[00:00:21.500 --> 00:00:25.200]  那麼首先 今天我用的是標準中文譯本
[00:00:25.200 --> 00:00:26.860]  跟大家首先讀出
[00:00:26.860 --> 00:00:30.560]  因此我們既然有這麼一大群見證人
[00:00:30.560 --> 00:00:33.200]  如同雲彩圍繞著我們
[00:00:33.200 --> 00:00:35.460]  就讓我們脫去各樣的重擔
[00:00:35.460 --> 00:00:37.500]  和容易纏累我們的罪
[00:00:37.500 --> 00:00:39.340]  藉著忍耐去跑
[00:00:39.340 --> 00:00:42.360]  那擺在我們前面的賽程
[00:00:42.360 --> 00:00:47.600]  仰望信仰的創始者和成終者耶穌
[00:00:47.600 --> 00:00:50.640]  他為了那擺在他前面的喜樂
[00:00:50.640 --> 00:00:53.500]  就輕看羞辱 忍受了十字架
[00:00:53.500 --> 00:00:56.240]  如今坐在神寶座的右邊
[00:00:56.240 --> 00:00:58.760]  其實你們應當仔細地思想
[00:00:58.760 --> 00:01:02.600]  耶穌如何忍受了罪人的頂撞
[00:01:02.600 --> 00:01:06.640]  這樣你們心裡就不會因喪氣而疲倦
[00:01:06.640 --> 00:01:08.000]  那麼我喜歡這個譯本
[00:01:08.000 --> 00:01:09.440]  因為它比較白話
[00:01:09.440 --> 00:01:12.860]  以及其實也是比較直譯的
[00:01:12.860 --> 00:01:15.060]  那麼所以有些字眼
[00:01:15.060 --> 00:01:17.560]  可能和你們和合本不太一樣
[00:01:17.560 --> 00:01:19.600]  但是我今天會分四點
[00:01:19.600 --> 00:01:22.740]  跟大家研究這一段經文的
[00:01:22.740 --> 00:01:24.540]  第一 仔細思想
[00:01:24.540 --> 00:01:26.500]  第二 信心證人
[00:01:26.500 --> 00:01:28.800]  第三 忍耐困苦
[00:01:28.800 --> 00:01:31.200]  第四 跑完賽程
[00:01:31.200 --> 00:01:32.360]  加上連接詞
