
[00:00:00.000 --> 00:00:06.000]  在今天開始的時候,想先和大家講一個真實的故事
[00:00:06.000 --> 00:00:14.000]  話說很多年前,在美國波士頓市郊
[00:00:14.000 --> 00:00:20.000]  當時有一個小女孩,她叫做小安妮
[00:00:20.000 --> 00:00:29.000]  她住在那裡,一間專門接收精神病人的醫院裡
[00:00:30.000 --> 00:00:38.000]  她住的房間是在地牢裡,所以是很暗,很昏暗的地方
[00:00:38.000 --> 00:00:51.000]  醫院通常會把某一類病人,特別是覺得沒有什麼機會醫好,放在樓層裡
[00:00:52.000 --> 00:01:01.000]  在小安妮住院期間,她其中一個照顧她的護士,她差不多退休了
[00:01:01.000 --> 00:01:08.000]  這個女護士,她心裡總是有一個信念,不是的
[00:01:08.000 --> 00:01:14.000]  在神的裡面,其實每一個人都應該有希望
[00:01:15.000 --> 00:01:26.000]  因為這個信念的緣故,她每一個禮拜上班的時候,都會找一天帶自己的午餐去地牢
[00:01:26.000 --> 00:01:35.000]  在小安妮的房間門口吃午餐
[00:01:36.000 --> 00:01:45.000]  她坐在門口吃,其實小安妮的情緒都不是很穩定
[00:01:45.000 --> 00:01:49.000]  所以有些時候是有點攻擊性
[00:01:49.000 --> 00:01:54.000]  沒有東西的時候,她會躲在角落裡
[00:01:54.000 --> 00:02:00.000]  門口有個護士在吃午餐,她完全不理會她
[00:02:00.000 --> 00:02:10.000]  這個護士有一天帶了一些自己做的朱古力曲奇餅
[00:02:10.000 --> 00:02:16.000]  去到她的房間裡,打算送給她吃
[00:02:16.000 --> 00:02:22.000]  放在門口,不過小安妮,眼尾都不照顧她
[00:02:22.000 --> 00:02:30.000]  這個護士吃完自己的午餐,走了
[00:02:30.000 --> 00:02:33.000]  朱古力曲奇餅在那裡,又不知道她會不會吃
[00:02:33.000 --> 00:02:38.000]  沒辦法,就回到自己的病房裡工作
[00:02:38.000 --> 00:02:42.000]  但是,到了下次來探望她的時候
[00:02:42.000 --> 00:02:48.000]  朱古力曲奇餅不見了,應該是小女孩吃了
[00:02:48.000 --> 00:02:53.000]  既然她吃了,到了我之後再探望她
