
[00:00:00.000 --> 00:00:02.800]  好,我們繼續我們這個advent裡面的series
[00:00:02.800 --> 00:00:05.000]  今次是第二講了,我們講到
[00:00:05.000 --> 00:00:06.800]  《盧家福音》第一、二章
[00:00:06.800 --> 00:00:09.800]  我們上一次講到這個特別的嬰孩
[00:00:09.800 --> 00:00:13.600]  的報喜就是屍洗若寒,是一章五節到二十五節
[00:00:13.600 --> 00:00:16.300]  今次我們看到另一個嬰孩的報喜
[00:00:16.300 --> 00:00:18.800]  他的出生的報喜就是耶穌我們的救主
[00:00:18.800 --> 00:00:22.100]  是一章二十六節到三十八節
[00:00:22.100 --> 00:00:23.300]  那我們重申一點
[00:00:23.300 --> 00:00:26.500]  在Christmas來到的時候,我們需要去recover一件事
[00:00:26.500 --> 00:00:27.800]  記不記得是什麼?
[00:00:27.800 --> 00:00:29.400]  是個wonder
[00:00:29.400 --> 00:00:32.100]  那個驚喜
[00:00:32.100 --> 00:00:34.800]  就是一個新的生命的誕生
[00:00:34.800 --> 00:00:39.300]  還是我們神的兒子救贖主耶穌基督誕生
[00:00:39.300 --> 00:00:41.800]  那種驚喜是上帝為我們預備的
[00:00:41.800 --> 00:00:46.500]  上帝所做的是過於人所想所求
[00:00:46.500 --> 00:00:48.800]  不是只是多過你想的
[00:00:48.800 --> 00:00:52.300]  只是和你想的完全不一樣
[00:00:52.300 --> 00:00:56.200]  這個就是上帝在聖誕節裡面給我們的驚喜
[00:00:56.200 --> 00:01:00.000]  耶穌出生的報喜,我們一起來看看
[00:01:00.000 --> 00:01:02.400]  一章二十六節
[00:01:02.400 --> 00:01:05.800]  到了第六個月,天使加伯列
[00:01:05.800 --> 00:01:09.600]  奉神的差遣往加利利的一座城去
[00:01:09.600 --> 00:01:11.200]  這城名叫拿撒那
[00:01:11.200 --> 00:01:12.700]  到一個童女那裡
[00:01:12.700 --> 00:01:15.800]  她已經許配大衛加的一個人,名叫約瑟
[00:01:15.800 --> 00:01:17.600]  童女的名字是瑪利亞
[00:01:17.600 --> 00:01:19.200]  天使進去對她說
[00:01:19.200 --> 00:01:21.400]  蒙大恩的女子,你好
[00:01:21.400 --> 00:01:23.400]  主和你同在
[00:01:23.400 --> 00:01:27.000]  瑪利亞因者說就很驚慌,又反覆思考
[00:01:27.000 --> 00:01:30.300]  姐姐問候是什麼意思
[00:01:30.300 --> 00:01:33.200]  這裡說到了第六個月了
[00:01:33.200 --> 00:01:34.300]  什麼時候呢?
[00:01:34.300 --> 00:01:36.100]  就是說之前那個報喜
[00:01:36.100 --> 00:01:37.600]  就是獅子約翰的報喜
[00:01:37.600 --> 00:01:39.000]  六個月之後
[00:01:39.000 --> 00:01:41.200]  這個時候,伊利沙伯
[00:01:41.200 --> 00:01:44.500]  就是她的表姐或者表姨媽
[00:01:44.500 --> 00:01:46.700]  總之是親戚
[00:01:46.700 --> 00:01:52.200]  就已經是有生人大概六個月的時間了
[00:01:52.200 --> 00:01:54.600]  六個月是不是要見土了?
[00:01:54.600 --> 00:01:55.400]  是不是?
[00:01:55.400 --> 00:01:56.400]  六個月應該見土了,是不是?
[00:01:56.400 --> 00:01:58.700]  因為我不知道
[00:01:58.700 --> 00:01:59.800]  六個月應該見土了
[00:01:59.800 --> 00:02:04.800]  我們中年發福就知道很多年會見土
[00:02:04.800 --> 00:02:07.900]  但是那些有了的應該六個月就見土
[00:02:07.900 --> 00:02:10.400]  這裡天使加伯列
[00:02:10.400 --> 00:02:11.900]  就去了拿撒那這個地方
[00:02:11.900 --> 00:02:14.200]  跟瑪利亞報喜
[00:02:14.200 --> 00:02:20.200]  說她會有上帝的恩典臨到她
[00:02:20.200 --> 00:02:22.400]  你想像一下
[00:02:22.400 --> 00:02:24.400]  以前的人跟我們今天的人都一樣
[00:02:24.400 --> 00:02:27.000]  我們人生裡面總會有計劃的
[00:02:27.000 --> 00:02:28.900]  雖然我們不是個個都一樣
[00:02:28.900 --> 00:02:31.200]  不是個個都是one size fits all
[00:02:31.200 --> 00:02:32.900]  但是我們每個人不同的階段
[00:02:32.900 --> 00:02:34.900]  我們都會想不同的東西的
[00:02:34.900 --> 00:02:36.400]  我們人生階段到了這裡
[00:02:36.400 --> 00:02:37.900]  我們就應該要上學
[00:02:37.900 --> 00:02:39.300]  然後就要畢業
[00:02:39.300 --> 00:02:40.600]  等等等等
[00:02:40.600 --> 00:02:42.300]  不是一定個個都一樣
[00:02:42.300 --> 00:02:43.400]  但是我們每個文化
[00:02:43.400 --> 00:02:47.200]  每個時代都會有一個人為的
[00:02:47.200 --> 00:02:50.500]  人生的一些預料計劃
[00:02:50.500 --> 00:02:51.400]  今天是這樣
[00:02:51.400 --> 00:02:53.400]  當時也是這樣
[00:02:53.400 --> 00:02:55.000]  考慮到這裡的時候
[00:02:55.000 --> 00:02:57.200]  你就可以嘗試去揣測一下
[00:02:57.200 --> 00:03:00.200]  到底這裡有什麼這麼驚慌
[00:03:00.200 --> 00:03:03.200]  有些什麼這麼wonder
[00:03:03.200 --> 00:03:06.800]  瑪利亞是出自一個
[00:03:06.800 --> 00:03:09.300]  敬乾的猶太人家庭
[00:03:09.300 --> 00:03:10.900]  這個我們知道的
[00:03:10.900 --> 00:03:12.500]  因為之後她所講的東西
[00:03:12.500 --> 00:03:14.000]  或者她唱的讚美詩
[00:03:14.000 --> 00:03:16.700]  都是一些經典的詩篇,是不是?
[00:03:16.700 --> 00:03:17.700]  那麼她應該很明白
[00:03:17.700 --> 00:03:19.900]  舊約裡面一些的應許
[00:03:19.900 --> 00:03:21.500]  譬如大衛加的應許
[00:03:21.500 --> 00:03:22.800]  大衛國度
[00:03:22.800 --> 00:03:24.900]  以色列的君王要嫁到
[00:03:24.900 --> 00:03:26.300]  等等這些這樣的盼望
[00:03:26.300 --> 00:03:27.800]  這些這樣的promises
[00:03:27.800 --> 00:03:29.300]  瑪利亞應該很清楚
[00:03:29.300 --> 00:03:31.000]  因為她是一個敬乾的
[00:03:31.000 --> 00:03:33.200]  猶太人的家庭出來
[00:03:33.200 --> 00:03:34.700]  想問一下你
[00:03:34.700 --> 00:03:36.900]  特別當耶穌出生之後
[00:03:36.900 --> 00:03:40.400]  她帶耶穌去到耶穌先生的聖殿
[00:03:40.400 --> 00:03:43.400]  她所獻的祭物
[00:03:43.400 --> 00:03:46.900]  是兩隻的班溝或者雛甲
[00:03:46.900 --> 00:03:49.300]  那麼按照摩西的律法你就知道了
[00:03:49.300 --> 00:03:51.900]  如果只是獻兩隻雛甲
[00:03:51.900 --> 00:03:53.400]  那是什麼呢?
[00:03:53.400 --> 00:03:56.600]  就是貧苦大眾
[00:03:56.600 --> 00:03:58.400]  因為摩西的律法裡面說到
[00:03:58.400 --> 00:03:59.600]  如果你負擔不了的話
[00:03:59.600 --> 00:04:02.900]  你就獻上兩隻雛甲
[00:04:02.900 --> 00:04:06.700]  另外瑪利亞的年紀有多大?
[00:04:06.700 --> 00:04:10.100]  這裡大概有多大?
[00:04:10.100 --> 00:04:12.400]  我們個個都比她大
[00:04:12.400 --> 00:04:14.700]  應該只有十二三歲
[00:04:14.700 --> 00:04:16.500]  可能是十四五歲
[00:04:16.500 --> 00:04:18.200]  為什麼?因為以前的人
[00:04:18.200 --> 00:04:22.000]  到了她十二三歲的時候
[00:04:22.000 --> 00:04:24.500]  他們就會談婚論嫁
[00:04:24.500 --> 00:04:27.400]  然後建立家庭
[00:04:27.400 --> 00:04:29.500]  是不是比我們大?
[00:04:29.500 --> 00:04:30.600]  比我們小
[00:04:30.600 --> 00:04:31.900]  比我們小很多
[00:04:31.900 --> 00:04:32.500]  是不是?
[00:04:32.500 --> 00:04:36.800]  所以是一個high school girl
[00:04:36.800 --> 00:04:39.500]  可能是junior high
[00:04:39.500 --> 00:04:48.600]  但是居然她接受了這個報喜
