
[00:00:00.000 --> 00:00:02.840]  今天講到的題目是
[00:00:02.840 --> 00:00:04.800]  缺乏的十個原因
[00:00:04.800 --> 00:00:08.740]  引用詩篇是二十三篇一至三節
[00:00:08.740 --> 00:00:11.080]  剛才大家讀了一次
[00:00:11.080 --> 00:00:14.060]  我特別想提的是第一句
[00:00:14.060 --> 00:00:16.660]  我們試試再讀第一句一次
[00:00:16.660 --> 00:00:25.040]  第一句而已
[00:00:25.040 --> 00:00:27.740]  為什麼要再讀第一句呢?
[00:00:27.740 --> 00:00:30.280]  因為第一句你再讀幾次的時候
[00:00:30.280 --> 00:00:32.720]  這句是不簡單的一句話
[00:00:32.720 --> 00:00:40.200]  "耶和說:是我的目者,我必不自缺乏"
[00:00:40.200 --> 00:00:42.820]  那就要想想了
[00:00:42.820 --> 00:00:44.800]  這個寫法
[00:00:44.800 --> 00:00:46.540]  《聖經》有很多版本
[00:00:46.540 --> 00:00:49.940]  其中一個我們經常會看來參考的
[00:00:49.940 --> 00:00:52.260]  是《現代中文日本》
[00:00:52.260 --> 00:00:54.300]  它說"必不自缺乏"
[00:00:54.300 --> 00:00:57.120]  它就說"我一無所缺"
[00:00:58.080 --> 00:00:59.680]  《新易本》的《聖經》
[00:00:59.680 --> 00:01:04.580]  差不多也是"我必不會缺乏"
[00:01:04.580 --> 00:01:07.100]  有些英文《聖經》我們常看的
[00:01:07.100 --> 00:01:10.540]  NIV就說"I lack nothing"
[00:01:10.540 --> 00:01:13.200]  King James Version
[00:01:13.200 --> 00:01:14.540]  我經常說很古老
[00:01:14.540 --> 00:01:16.940]  但是我很喜歡的版本
[00:01:16.940 --> 00:01:18.800]  它有很特別的句譯
[00:01:18.800 --> 00:01:21.640]  "I shall not want"
[00:01:21.640 --> 00:01:25.760]  綜合了這麼多個版本
[00:01:25.760 --> 00:01:27.020]  就是說什麼呢?
[00:01:27.020 --> 00:01:29.340]  就是說其實真的是無缺乏
[00:01:29.340 --> 00:01:31.960]  什麼需要都沒有
[00:01:31.960 --> 00:01:33.160]  我沒什麼需要
[00:01:33.160 --> 00:01:35.220]  有時候有些人生日
[00:01:35.220 --> 00:01:37.000]  你會問他
[00:01:37.000 --> 00:01:40.040]  你生日想要什麼呢?
[00:01:40.040 --> 00:01:42.000]  他真的什麼都有
[00:01:42.000 --> 00:01:44.020]  他說想不到
[00:01:44.020 --> 00:01:45.920]  我沒什麼需要
[00:01:45.920 --> 00:01:46.860]  有沒有試過?
[00:01:46.860 --> 00:01:47.460]  有
[00:01:47.460 --> 00:01:48.780]  這樣是最麻煩的
[00:01:48.780 --> 00:01:50.360]  你要幫他想
[00:01:50.360 --> 00:01:52.320]  不要想這麼行貨
[00:01:52.320 --> 00:01:53.580]  要真的適合他使
[00:01:53.580 --> 00:01:55.920]  讓他收到的時候的驚喜
[00:01:55.920 --> 00:01:57.080]  所以
[00:01:57.080 --> 00:01:59.460]  如果頭一句
[00:01:59.460 --> 00:02:01.160]  耶和華是我的目者
[00:02:01.160 --> 00:02:02.840]  後面的結果就很好
[00:02:02.840 --> 00:02:04.880]  "我必不自缺乏"
[00:02:04.880 --> 00:02:06.260]  你就問問大家
[00:02:06.260 --> 00:02:07.480]  這些不用回答的
[00:02:07.480 --> 00:02:09.080]  真的想回答也不要回答
[00:02:09.080 --> 00:02:10.580]  因為你回答了別人沒有回答
[00:02:10.580 --> 00:02:12.060]  你就顯得別人沒有回答
[00:02:12.060 --> 00:02:14.340]  如果你不好意思回答
[00:02:14.340 --> 00:02:15.400]  就更加不要回答了
[00:02:15.400 --> 00:02:16.900]  我也循例地問
[00:02:16.900 --> 00:02:20.180]  其實你現在覺得自己有沒有缺乏呢?
[00:02:20.180 --> 00:02:21.760]  要想一想
[00:02:21.760 --> 00:02:23.640]  其實我自己有沒有缺乏呢?
[00:02:23.640 --> 00:02:28.840]  當然這不僅是指生活上有沒有錢
[00:02:28.840 --> 00:02:30.280]  是否豐富
[00:02:30.280 --> 00:02:32.980]  不是這麼淺薄
[00:02:32.980 --> 00:02:35.520]  在你心靈上
[00:02:35.520 --> 00:02:38.000]  在你情緒上
[00:02:38.000 --> 00:02:41.080]  你有沒有覺得不足夠呢?
[00:02:41.080 --> 00:02:42.440]  有沒有覺得缺乏呢?
[00:02:42.440 --> 00:02:44.940]  我們經常提到的
[00:02:44.940 --> 00:02:46.600]  你有沒有那份平安呢?
[00:02:46.600 --> 00:02:47.900]  你有沒有盼望呢?
[00:02:49.500 --> 00:02:55.620]  你有沒有信得過神跟你一同經歷各樣的事情呢?
[00:02:55.620 --> 00:02:59.080]  如果這些都是正面的話
[00:02:59.080 --> 00:03:02.120]  你就差不多沒有什麼缺乏了
[00:03:02.120 --> 00:03:04.780]  但是如果在這些方面你也覺得
[00:03:04.780 --> 00:03:08.120]  其實也真的差一點點
[00:03:08.120 --> 00:03:10.100]  那就是你有缺乏了
[00:03:10.100 --> 00:03:11.440]  那你有缺乏的話
[00:03:11.440 --> 00:03:12.940]  看回經文
[00:03:12.940 --> 00:03:14.840]  就更加要想清楚了
[00:03:14.840 --> 00:03:18.380]  明明說我必不自缺乏
[00:03:19.200 --> 00:03:20.900]  兩樣的問題而已
[00:03:20.900 --> 00:03:22.800]  要麼就是聖經所說的不真
[00:03:22.800 --> 00:03:25.400]  要麼就是你自己有些問題
[00:03:25.400 --> 00:03:27.640]  那你覺得是聖經不真呢?
[00:03:27.640 --> 00:03:29.180]  還是自己有些問題呢?
[00:03:29.180 --> 00:03:31.480]  當然是自己有些問題
[00:03:31.480 --> 00:03:33.180]  聖經不會不真的
[00:03:33.180 --> 00:03:35.700]  所以結論很簡單
[00:03:35.700 --> 00:03:36.860]  是我們有些問題
[00:03:36.860 --> 00:03:39.640]  這些也是有時候
[00:03:39.640 --> 00:03:43.720]  我們看聖經或者看一些普通的話
[00:03:43.720 --> 00:03:46.400]  我們那時候學一些基本的數學
[00:03:46.400 --> 00:03:48.000]  有一些叫做基本邏輯
[00:03:48.640 --> 00:03:50.620]  基本邏輯就是
[00:03:50.620 --> 00:03:52.300]  他們用的用詞我不用了
[00:03:52.300 --> 00:03:53.480]  我用甲和乙
[00:03:53.480 --> 00:03:57.920]  就是說如果甲這樣的東西成立
[00:03:57.920 --> 00:04:02.240]  就必定會帶來乙那樣的結果
[00:04:02.240 --> 00:04:03.840]  很簡單吧
[00:04:03.840 --> 00:04:05.160]  就好像這一句
[00:04:05.160 --> 00:04:07.160]  "耶和華是我的目者"
[00:04:07.160 --> 00:04:08.120]  放在前面
[00:04:08.120 --> 00:04:10.140]  接著的結果就是
[00:04:10.140 --> 00:04:11.760]  "我必不自缺乏"
[00:04:11.760 --> 00:04:12.900]  是不是?
[00:04:12.900 --> 00:04:14.460]  好了
[00:04:14.460 --> 00:04:15.000]  現在的問題
[00:04:15.000 --> 00:04:18.120]  我們剛才問了一些自己的說話
[00:04:18.120 --> 00:04:18.900]  就是說
[00:04:18.900 --> 00:04:20.720]  其實我們也覺得有些缺乏
[00:04:20.720 --> 00:04:22.840]  就是說後面那件事
[00:04:22.840 --> 00:04:24.080]  不對
[00:04:24.080 --> 00:04:27.040]  那邏輯很重要
[00:04:27.040 --> 00:04:28.140]  就是說什麼呢?
[00:04:28.140 --> 00:04:30.460]  如果後面那件事不成立
[00:04:30.460 --> 00:04:33.980]  就是前面那件事也不成立了
[00:04:33.980 --> 00:04:35.700]  行不行?
[00:04:35.700 --> 00:04:38.560]  就是說我們如果有缺乏
[00:04:38.560 --> 00:04:40.620]  就是前面那句
[00:04:40.620 --> 00:04:42.500]  "耶和華是我的目者"
