
[00:00:00.000 --> 00:00:02.420]  可能在接下來的一個星期
[00:00:02.420 --> 00:00:04.780]  我們陸續在電視裏面
[00:00:04.780 --> 00:00:07.080]  可能會見到一些人物
[00:00:07.080 --> 00:00:08.860]  開始去評論
[00:00:08.860 --> 00:00:13.300]  接下來一年馬年運程如何
[00:00:13.300 --> 00:00:17.200]  我不知道大家對新一年有甚麼期盼
[00:00:17.200 --> 00:00:20.720]  但總是有人會出來評論
[00:00:20.720 --> 00:00:23.720]  新的時代、新的開始
[00:00:23.720 --> 00:00:27.180]  會有甚麼事情、有甚麼好處
[00:00:27.180 --> 00:00:28.340]  不過我經常說笑
[00:00:28.340 --> 00:00:30.920]  可能今年沒有政府官員
[00:00:30.920 --> 00:00:35.580]  年初三夠膽去車公廟求籤
[00:00:35.580 --> 00:00:36.580]  對我們來說
[00:00:36.580 --> 00:00:39.460]  這些事情不會影響我們
[00:00:39.460 --> 00:00:41.020]  但我們卻知道
[00:00:41.020 --> 00:00:43.380]  在我們處於這個環境
[00:00:43.380 --> 00:00:45.580]  所發生的所有事情
[00:00:45.580 --> 00:00:48.580]  其實與我們息息相關
[00:00:48.580 --> 00:00:50.100]  我們信靠上帝
[00:00:50.100 --> 00:00:53.020]  我們不被這些說話影響
[00:00:53.020 --> 00:00:58.660]  但我們卻在這個氣氛、環境裏面
[00:00:58.660 --> 00:01:02.540]  我不知道大家對新年代有甚麼看法
[00:01:02.540 --> 00:01:03.700]  二十一世紀
[00:01:03.700 --> 00:01:07.940]  你會覺得是一個文明、先進
[00:01:07.940 --> 00:01:10.540]  亦是科技發達的時代
[00:01:10.540 --> 00:01:13.900]  還是你會覺得有些惋惜
[00:01:13.900 --> 00:01:17.020]  過往我們很享受、很體重的一些
[00:01:17.020 --> 00:01:19.140]  生命裏面的素質
[00:01:19.140 --> 00:01:21.260]  或者一些傳統
[00:01:21.260 --> 00:01:24.660]  甚至是一些道德的標準
[00:01:24.660 --> 00:01:26.420]  可能我們都會覺得
[00:01:26.420 --> 00:01:28.180]  比以前是信息
[00:01:28.180 --> 00:01:30.540]  似乎都是失落
[00:01:30.540 --> 00:01:33.820]  二十一世紀有人說是一個IT的年代
[00:01:33.820 --> 00:01:35.540]  科技發達
[00:01:35.540 --> 00:01:37.020]  我們同意的
[00:01:37.020 --> 00:01:38.460]  但這個科技的發達
[00:01:38.460 --> 00:01:42.900]  是否帶給我們更多的祝福呢?
[00:01:42.900 --> 00:01:46.900]  我今早在旺角搭地鐵過來觀塘
[00:01:46.900 --> 00:01:49.700]  在我所坐的一格裏面
[00:01:49.700 --> 00:01:50.620]  有十個人
[00:01:50.620 --> 00:01:52.380]  我很刻意去看看
[00:01:52.380 --> 00:01:53.060]  十個人裏面
[00:01:53.060 --> 00:01:58.060]  你估計有多少人看著手機呢?
[00:01:58.060 --> 00:01:59.180]  六個
[00:01:59.180 --> 00:02:01.620]  即是超過一半
[00:02:01.620 --> 00:02:03.740]  包括有年長的
[00:02:03.740 --> 00:02:05.380]  有年輕的
[00:02:05.380 --> 00:02:06.620]  有香港人
[00:02:06.620 --> 00:02:09.180]  有外籍人士
[00:02:09.180 --> 00:02:11.700]  我都八卦偷裝一下
[00:02:11.700 --> 00:02:14.380]  究竟他們的手機畫面是甚麼呢?
[00:02:14.380 --> 00:02:16.700]  有在打WhatsApp的
[00:02:16.700 --> 00:02:18.580]  有在玩遊戲的
[00:02:18.580 --> 00:02:20.700]  有在煲劇的
[00:02:20.700 --> 00:02:23.820]  這個可能就是香港現在很普遍的情況
[00:02:23.820 --> 00:02:25.100]  所以你搭地鐵
[00:02:25.100 --> 00:02:26.460]  你留意一下
[00:02:26.460 --> 00:02:28.620]  有一段廣播是甚麼
[00:02:28.620 --> 00:02:30.540]  大家上落電梯
[00:02:30.540 --> 00:02:32.620]  請留意地面
