
[00:00:00.000 --> 00:00:03.160]  很多年前我在香港認識了一個朋友
[00:00:03.160 --> 00:00:05.160]  他是開眼鏡店的
[00:00:05.160 --> 00:00:13.600]  他就要求他的員工全部都要穿一件白色的醫生袍
[00:00:13.600 --> 00:00:15.360]  我跟他開個幻想
[00:00:15.360 --> 00:00:17.200]  嘩 你這間店真的不錯
[00:00:17.200 --> 00:00:20.160]  連醫生都來你的店做兼職
[00:00:20.160 --> 00:00:22.800]  他就說 你不知道的了
[00:00:22.800 --> 00:00:25.960]  我的員工如果穿了一件醫生袍的話
[00:00:25.960 --> 00:00:28.760]  客人對他的信心就會大增
[00:00:28.760 --> 00:00:31.800]  生意額也會高一些
[00:00:31.800 --> 00:00:34.360]  這樣想也挺有道理的
[00:00:34.360 --> 00:00:35.720]  人總是很有趣的
[00:00:35.720 --> 00:00:39.400]  人總是覺得穿了某些制服之後
[00:00:39.400 --> 00:00:41.400]  那些制服無論是醫生也好
[00:00:41.400 --> 00:00:43.920]  或者是警察、消防員等等
[00:00:43.920 --> 00:00:45.920]  你穿了那套制服之後
[00:00:45.920 --> 00:00:48.920]  我們對他的信心就會大一些
[00:00:48.920 --> 00:00:52.920]  我們就會覺得他有某些行為表現
[00:00:52.920 --> 00:00:55.960]  都會合乎他的制服
[00:00:55.960 --> 00:00:58.360]  我想問大家
[00:00:58.360 --> 00:01:00.960]  基督徒有沒有制服的呢?
[00:01:00.960 --> 00:01:02.960]  我們有沒有的?
[00:01:02.960 --> 00:01:07.160]  不知道大家有沒有覺得
[00:01:07.160 --> 00:01:13.200]  人其實對基督徒都有某些行為上的期待
[00:01:13.200 --> 00:01:16.520]  在今天的經文裏面
[00:01:16.520 --> 00:01:18.520]  保羅就告訴我們
[00:01:18.520 --> 00:01:21.880]  我們作為基督徒的行為表現
[00:01:21.880 --> 00:01:24.920]  需要與我們蒙召的恩相稱
[00:01:24.920 --> 00:01:27.160]  大家覺不覺得做基督徒
[00:01:27.160 --> 00:01:29.400]  在我們的言談舉止
[00:01:29.400 --> 00:01:31.120]  我們的一言一行
[00:01:31.120 --> 00:01:33.720]  都有某些別人對我們的期望
[00:01:33.720 --> 00:01:37.080]  或者我們都應該有一些準則的
[00:01:37.080 --> 00:01:40.080]  大家有沒有試過與某些你所認識的人說
[00:01:40.080 --> 00:01:41.720]  我是基督徒的時候
[00:01:41.720 --> 00:01:43.440]  他們是怎樣反應的?
[00:01:43.440 --> 00:01:46.720]  你不用說我也知道你是基督徒
[00:01:46.720 --> 00:01:48.040]  又或者會不會是
[00:01:48.040 --> 00:01:51.400]  你是基督徒來的?
[00:01:51.400 --> 00:01:53.400]  大家是屬於哪一種?
[00:01:53.400 --> 00:01:55.520]  今天我們所讀的經文
[00:01:55.520 --> 00:01:58.640]  不斷告訴我們在教會裏面的合一
[00:01:58.640 --> 00:02:00.600]  其實在聖經裏面不斷的說
[00:02:00.600 --> 00:02:02.240]  不斷的強調
[00:02:02.240 --> 00:02:05.080]  究竟甚麼是合一呢?
[00:02:05.080 --> 00:02:07.200]  合一通常來說
[00:02:07.200 --> 00:02:09.560]  應該是指我們一班人
[00:02:09.560 --> 00:02:11.840]  為了某些共同的目標
[00:02:11.840 --> 00:02:13.080]  一同的努力
[00:02:13.080 --> 00:02:15.800]  這個就叫做合一
[00:02:15.800 --> 00:02:19.320]  在很多的機構裏面
[00:02:19.320 --> 00:02:21.680]  一個共同的目標是很清晰的
[00:02:21.680 --> 00:02:23.160]  很明顯的
[00:02:23.160 --> 00:02:24.080]  舉個例子
[00:02:24.080 --> 00:02:26.080]  商業的機構
[00:02:26.080 --> 00:02:27.760]  他們的共同目標是甚麼?
