
[00:00:00.000 --> 00:00:01.720]  請給生命時間
[00:00:01.720 --> 00:00:03.120]  這是一個祈禱
[00:00:03.120 --> 00:00:06.520]  當我們看詩篇九十篇的時候
[00:00:06.520 --> 00:00:09.800]  我們就很清楚這是神人摩西的祈禱
[00:00:09.800 --> 00:00:12.520]  我們又可以看到
[00:00:12.520 --> 00:00:14.440]  如果你看得仔細一點
[00:00:14.440 --> 00:00:17.480]  摩西的生命都很灰
[00:00:17.480 --> 00:00:22.800]  摩西的生活都很多勞苦
[00:00:22.800 --> 00:00:27.760]  120歲人所經歷的很多痛苦
[00:00:28.560 --> 00:00:31.960]  帶領這些人一出埃及去到曠野
[00:00:31.960 --> 00:00:36.280]  最後要帶他們入迦南
[00:00:36.280 --> 00:00:37.920]  我自己都進不去
[00:00:37.920 --> 00:00:39.320]  人世間的生活
[00:00:39.320 --> 00:00:43.520]  需要我們多一點時間去經歷
[00:00:43.520 --> 00:00:46.800]  但是時間多是不是就有用呢
[00:00:46.800 --> 00:00:48.560]  有些人每一天的生活
[00:00:48.560 --> 00:00:50.120]  就重複前一天的生活
[00:00:50.120 --> 00:00:53.400]  每一年的生命就重複上一年的生命
[00:00:53.400 --> 00:00:55.920]  給多都沒有用
[00:00:55.920 --> 00:00:59.160]  全部都是copy and paste
[00:00:59.160 --> 00:01:02.000]  意思就是說電腦的程式
[00:01:02.000 --> 00:01:03.920]  你要那段文字出來
[00:01:03.920 --> 00:01:05.640]  抄了它然後貼上去
[00:01:05.640 --> 00:01:07.000]  抄了它貼上去
[00:01:07.000 --> 00:01:11.120]  我們的生命是不是抄了它貼上去呢
[00:01:11.120 --> 00:01:12.320]  當然不是
[00:01:12.320 --> 00:01:15.560]  原來我們有一天的生活
[00:01:15.560 --> 00:01:16.960]  有一天的生命
[00:01:16.960 --> 00:01:18.960]  我們的經歷都可以不一樣
[00:01:18.960 --> 00:01:24.120]  所以我們今天坐在我們當中的有七六八十
