
[00:00:00.000 --> 00:00:03.000]  大家聖誕準備平安了嗎?
[00:00:03.000 --> 00:00:04.000]  好 平安
[00:00:04.000 --> 00:00:07.000]  一個星期後就是甚麼事?
[00:00:07.000 --> 00:00:09.000]  差不多是聖誕節了
[00:00:09.000 --> 00:00:10.000]  其實聖誕是甚麼呢?
[00:00:10.000 --> 00:00:12.000]  聖嬰的誕生
[00:00:12.000 --> 00:00:16.000]  其實亦都是道成肉身
[00:00:16.000 --> 00:00:19.000]  道成肉身可以說是宣教的故事
[00:00:19.000 --> 00:00:21.000]  因為上帝來到世間
[00:00:21.000 --> 00:00:23.000]  今天想和大家討論的題目
[00:00:23.000 --> 00:00:27.000]  就是受託的天人
[00:00:27.000 --> 00:00:29.000]  這個有兩個意思
[00:00:29.000 --> 00:00:30.000]  如果在英文裏面
[00:00:30.000 --> 00:00:32.000]  天是年輕人
[00:00:32.000 --> 00:00:35.000]  即是神將一個重任
[00:00:35.000 --> 00:00:36.000]  聖嬰的誕生
[00:00:36.000 --> 00:00:38.000]  受託一個年輕人
[00:00:38.000 --> 00:00:39.000]  或者一對夫婦
[00:00:39.000 --> 00:00:40.000]  稍後我會說
[00:00:40.000 --> 00:00:42.000]  但另一個講音
[00:00:42.000 --> 00:00:43.000]  如果你不好看
[00:00:43.000 --> 00:00:45.000]  神受託天人
[00:00:45.000 --> 00:00:46.000]  那你受託甚麼?
[00:00:46.000 --> 00:00:48.000]  天上的人
[00:00:48.000 --> 00:00:49.000]  每一個信耶穌的
[00:00:49.000 --> 00:00:50.000]  楊寬香告訴我
[00:00:50.000 --> 00:00:52.000]  凡信耶穌的
[00:00:52.000 --> 00:00:53.000]  就是神的兒子
[00:00:53.000 --> 00:00:54.000]  所有都是神的兒子
[00:00:54.000 --> 00:00:55.000]  都是天人
[00:00:55.000 --> 00:00:58.000]  如果這裏暫時有人未信耶穌
[00:00:58.000 --> 00:01:00.000]  那我希望你今天成為甚麼?
[00:01:00.000 --> 00:01:01.000]  天人
[00:01:01.000 --> 00:01:03.000]  今天想和大家討論
[00:01:03.000 --> 00:01:06.000]  天是甚麼?
[00:01:06.000 --> 00:01:07.000]  是年輕
[00:01:07.000 --> 00:01:09.000]  對於提摩泰來說
[00:01:09.000 --> 00:01:12.000]  他說不如叫人小看你年輕的時候
[00:01:12.000 --> 00:01:14.000]  當保羅和他的屬靈兒子
[00:01:14.000 --> 00:01:15.000]  叫他年輕的時候
[00:01:15.000 --> 00:01:18.000]  其實提摩泰已經四十歲了
[00:01:18.000 --> 00:01:19.000]  差不多四十歲了
[00:01:19.000 --> 00:01:22.000]  所以四十歲的人都是甚麼人?
[00:01:22.000 --> 00:01:23.000]  你們真是好
[00:01:23.000 --> 00:01:24.000]  給點掌聲隔離
[00:01:24.000 --> 00:01:25.000]  你們都是年輕人
[00:01:25.000 --> 00:01:28.000]  莫子我不是了
[00:01:28.000 --> 00:01:30.000]  不是年輕人就是甚麼?
[00:01:30.000 --> 00:01:31.000]  天上的人
[00:01:31.000 --> 00:01:32.000]  所以今天訊息是和大家討論
[00:01:32.000 --> 00:01:35.000]  不過從宣教開始
[00:01:35.000 --> 00:01:36.000]  由十八世紀
[00:01:36.000 --> 00:01:38.000]  神一直是一個事實
[00:01:38.000 --> 00:01:40.000]  一直在找年輕人
[00:01:40.000 --> 00:01:41.000]  這個年輕人
[00:01:41.000 --> 00:01:42.000]  可能有些人認識
[00:01:42.000 --> 00:01:44.000]  他叫戴德森
[00:01:44.000 --> 00:01:45.000]  他被呼召的時候
[00:01:45.000 --> 00:01:47.000]  在英國來中國
[00:01:47.000 --> 00:01:50.000]  他已經是年輕的時候
[00:01:50.000 --> 00:01:52.000]  戴德森有一個很出名的名言
[00:01:52.000 --> 00:01:54.000]  大家知不知道?
[00:01:54.000 --> 00:01:57.000]  他說如果我有千磅英磅
[00:01:57.000 --> 00:01:59.000]  我會給誰?
[00:01:59.000 --> 00:02:00.000]  中國人
[00:02:00.000 --> 00:02:02.000]  如果我有千條性命
[00:02:02.000 --> 00:02:03.000]  我都給誰?
[00:02:03.000 --> 00:02:05.000]  都是中國人
[00:02:05.000 --> 00:02:06.000]  所以這個人
[00:02:06.000 --> 00:02:07.000]  如果你是中國人
[00:02:07.000 --> 00:02:09.000]  要稍為咆哮一下
[00:02:09.000 --> 00:02:10.000]  不咆哮也不要緊
[00:02:10.000 --> 00:02:11.000]  去回那張花瓣
[00:02:11.000 --> 00:02:12.000]  反正都沒有人看
[00:02:12.000 --> 00:02:13.000]  在旁邊
[00:02:13.000 --> 00:02:14.000]  所以樓上樓下都看到
[00:02:14.000 --> 00:02:16.000]  我們在當中
[00:02:16.000 --> 00:02:17.000]  要記得戴德森
[00:02:17.000 --> 00:02:18.000]  這是他的兒子
[00:02:18.000 --> 00:02:19.000]  我不知道他的名字
[00:02:19.000 --> 00:02:20.000]  這是他的孫
[00:02:20.000 --> 00:02:21.000]  但是他的曾孫我知道了
[00:02:21.000 --> 00:02:22.000]  叫甚麼?
[00:02:22.000 --> 00:02:24.000]  戴紹增
[00:02:24.000 --> 00:02:25.000]  這個叫戴繼宗
[00:02:25.000 --> 00:02:27.000]  曾經幾年前
[00:02:27.000 --> 00:02:29.000]  講過培靈經大會
[00:02:29.000 --> 00:02:30.000]  他是講完
