
[00:00:00.000 --> 00:00:02.580]  今早我要和大家分享一個題目
[00:00:02.580 --> 00:00:06.220]  「主復活,為我為你」
[00:00:06.220 --> 00:00:11.400]  經文出自《羅馬書》四章二十五節
[00:00:11.400 --> 00:00:14.900]  這節經文是這樣說的
[00:00:14.900 --> 00:00:17.140]  我們可否一起讀出來
[00:00:17.140 --> 00:00:18.900]  請大家同聲讀出
[00:00:18.900 --> 00:00:22.080]  《羅馬書》四章二十五節,請讀
[00:00:22.080 --> 00:00:26.940]  耶穌被交給人,是為我們的過凡
[00:00:26.940 --> 00:00:32.680]  「復活,是為叫我們清怡」
[00:00:32.680 --> 00:00:36.100]  聖經這裡說,主耶穌基督被「交給人」
[00:00:36.100 --> 00:00:41.560]  指的是祂被交給這些誣告祂的人
[00:00:41.560 --> 00:00:43.100]  陷害祂的、審判祂的
[00:00:43.100 --> 00:00:47.980]  和最後將祂定死刑釘在十字架的這些人
[00:00:47.980 --> 00:00:50.360]  被「交給人」
[00:00:50.360 --> 00:00:52.880]  似乎好像是被動的
[00:00:52.880 --> 00:00:57.360]  被交給這些人,最後死在他們手上
[00:00:57.360 --> 00:01:00.860]  但是我們看到,原來聖經裡很清楚告訴你
[00:01:00.860 --> 00:01:03.340]  祂是有一個目的、有一個原因的
[00:01:03.340 --> 00:01:06.140]  證明這是神的計劃
[00:01:06.140 --> 00:01:11.420]  是神的計劃讓耶穌基督經歷死亡
[00:01:11.420 --> 00:01:14.220]  最終從死裡復活
[00:01:14.220 --> 00:01:15.820]  所以這裡提到
[00:01:15.820 --> 00:01:17.860]  為我們的過犯被交給人
[00:01:17.860 --> 00:01:24.300]  但是為我們的清怡,即是得救、成性、清怡
[00:01:24.300 --> 00:01:27.200]  祂來到復活
[00:01:27.200 --> 00:01:30.480]  復活節在世界各地都有很多慶祝
[00:01:30.480 --> 00:01:32.500]  雖然不同的時間、不同的時差
[00:01:32.500 --> 00:01:37.200]  但是也有世界各地的人慶祝復活節
[00:01:37.200 --> 00:01:43.900]  當然復活節是給商人利用機會推銷商品
[00:01:43.900 --> 00:01:48.660]  但是大部分的人都知道復活節是一個宗教的節日
[00:01:48.660 --> 00:01:52.140]  特別是在美國統計
[00:01:52.140 --> 00:01:54.420]  絕大部分的人都明白
[00:01:54.420 --> 00:01:59.380]  復活節是關乎耶穌基督的復活
[00:01:59.380 --> 00:02:01.700]  是紀念這位基督
[00:02:01.700 --> 00:02:06.300]  勝過死亡、復活的一個節日
[00:02:06.300 --> 00:02:07.100]  為什麼呢?
[00:02:07.100 --> 00:02:09.700]  因為我們知道這是一個事實
[00:02:09.700 --> 00:02:12.100]  不是一種虛構故事
[00:02:12.100 --> 00:02:14.100]  是經歷過歷史的考究
[00:02:14.100 --> 00:02:16.100]  經歷過這些考古的研究
[00:02:16.100 --> 00:02:19.900]  經歷過多方面的挑戰
[00:02:19.900 --> 00:02:24.500]  而仍然屹立不倒的真理
[00:02:24.500 --> 00:02:28.340]  幾千年來有很多人想試圖推翻基督復活的事
