
[00:00:00.000 --> 00:00:05.000]  感謝上帝,我們也感謝捷琪的師班
[00:00:05.000 --> 00:00:09.000]  今天將這麼優美的John Peterson
[00:00:09.000 --> 00:00:12.000]  一個很著名的Cantata
[00:00:12.000 --> 00:00:15.000]  每年在壽苦節、復活節期間
[00:00:15.000 --> 00:00:19.000]  世界各地都有不同教會的師班
[00:00:19.000 --> 00:00:25.000]  去頌唱這首可以說是一個經典的Cantata
[00:00:25.000 --> 00:00:31.000]  是剛才師班所唱出來的,不知道大家有沒有留心那些歌詞
[00:00:31.000 --> 00:00:36.000]  他是將耶穌的生平已經很清晰的跟我們說出來
[00:00:36.000 --> 00:00:41.000]  這位義僕耶穌,他甘願書專降貴
[00:00:41.000 --> 00:00:46.000]  進入人間,為我們來受死
[00:00:46.000 --> 00:00:49.000]  人在他身上找不到半點的罪
[00:00:49.000 --> 00:00:52.000]  但竟然要將他置於死地
[00:00:52.000 --> 00:00:56.000]  這個背景,這個歷史的真相
[00:00:56.000 --> 00:01:01.000]  我們今天全世界不同的地方都有人去紀念主
[00:01:01.000 --> 00:01:05.000]  我們剛剛兩天前在壽苦節晚上
[00:01:05.000 --> 00:01:10.000]  跟大家看過基督耶穌那個沉默的愛
[00:01:10.000 --> 00:01:17.000]  但是滿有能力,也都滿有恩典和饒恕的這種力量
[00:01:17.000 --> 00:01:25.000]  今天在父節這個主日,很想跟大家從另外一個角度去思想
[00:01:25.000 --> 00:01:28.000]  就是我們作為神的兒女
[00:01:28.000 --> 00:01:32.000]  我們今天對上帝的愛這份恩典
[00:01:32.000 --> 00:01:35.000]  有沒有這份真正的回應
[00:01:35.000 --> 00:01:39.000]  我們需要的是一個更新了的一種的愛
[00:01:39.000 --> 00:01:47.000]  話說有一對夫婦去以色列旅行
[00:01:47.000 --> 00:01:55.000]  在當中很不幸,這位太太忽然離世
[00:01:55.000 --> 00:02:00.000]  當地的以色列有一些殯儀的職員
[00:02:00.000 --> 00:02:11.000]  就說先生,我們很遺憾,現在我們幫你辦這些殯儀的事情
[00:02:11.000 --> 00:02:14.000]  他說你有兩個選擇
[00:02:14.000 --> 00:02:19.000]  一是你給一萬元美金
[00:02:19.000 --> 00:02:22.000]  是一萬元,聽清楚
[00:02:22.000 --> 00:02:27.000]  一萬元美金,我們可以將你太太的遺體處理好
[00:02:27.000 --> 00:02:30.000]  送回美國
[00:02:30.000 --> 00:02:32.000]  這對夫婦是從美國來的
[00:02:32.000 --> 00:02:38.000]  另外一個選擇就是你可以將你太太的遺體
[00:02:38.000 --> 00:02:40.000]  墓葬在以色列
[00:02:40.000 --> 00:02:43.000]  有很多人可能是妄為意求
[00:02:43.000 --> 00:02:45.000]  在聖地裏面
[00:02:45.000 --> 00:02:47.000]  價錢便宜很多
[00:02:47.000 --> 00:02:49.000]  是一千五百元美金
[00:02:49.000 --> 00:02:51.000]  任君選擇
[00:02:51.000 --> 00:02:55.000]  你猜那個先生選擇了什麼呢
[00:02:55.000 --> 00:02:57.000]  他二話不說
[00:02:57.000 --> 00:03:02.000]  我要將我太太的遺體運回美國
[00:03:02.000 --> 00:03:05.000]  為什麼呢
[00:03:05.000 --> 00:03:10.000]  你真的對你的太太情深似海
[00:03:10.000 --> 00:03:13.000]  你不用金錢的價值去衡量
[00:03:13.000 --> 00:03:16.000]  你願意付更高的代價
[00:03:16.000 --> 00:03:19.000]  要付一萬元美金
[00:03:19.000 --> 00:03:22.000]  都要將太太的遺體運回美國
[00:03:22.000 --> 00:03:25.000]  我聽聞二千年前
[00:03:25.000 --> 00:03:26.000]  在這個地方
[00:03:26.000 --> 00:03:28.000]  有一個人
[00:03:28.000 --> 00:03:30.000]  他死了
[00:03:30.000 --> 00:03:31.000]  葬了
[00:03:31.000 --> 00:03:38.000]  但他三天後便復活了
[00:03:38.000 --> 00:03:43.000]  所以我還是要將我太太運回美國
[00:03:43.000 --> 00:03:45.000]  有些人聽完這個故事
[00:03:45.000 --> 00:03:47.000]  會心微笑
[00:03:47.000 --> 00:03:52.000]  但我覺得這是一個提醒
[00:03:52.000 --> 00:03:56.000]  今天你自己檢查一下
[00:03:56.000 --> 00:03:59.000]  你生命裏有任何的關係
[00:03:59.000 --> 00:04:01.000]  你不要習以為常
[00:04:01.000 --> 00:04:03.000]  take it for granted
[00:04:03.000 --> 00:04:05.000]  無論是你和你的配偶
[00:04:05.000 --> 00:04:07.000]  或者你和你的兒女
[00:04:07.000 --> 00:04:10.000]  或者你和你的同事
[00:04:10.000 --> 00:04:13.000]  我們有時會太過習以為常
[00:04:13.000 --> 00:04:18.000]  以為一個關係是自然的
