
[00:00:00.000 --> 00:00:03.620]  不知道大家是否相信天堂的存在呢?
[00:00:03.620 --> 00:00:07.080]  有沒有搞錯?基督徒當然是相信天堂的存在
[00:00:07.080 --> 00:00:10.680]  不過很奇怪,根據美國的一個調查
[00:00:10.680 --> 00:00:12.880]  其實是去年的調查
[00:00:12.880 --> 00:00:14.280]  這個調查發現
[00:00:14.280 --> 00:00:17.400]  自稱為基督徒的人其實不是每個人都相信有天堂的存在
[00:00:17.400 --> 00:00:20.740]  只有92%相信
[00:00:20.740 --> 00:00:23.880]  不過我相信無論信與不信天堂的存在
[00:00:23.880 --> 00:00:27.560]  我相信人總是好奇有沒有天堂的呢?
[00:00:27.560 --> 00:00:29.620]  人總是好奇如果有天堂的話
[00:00:29.620 --> 00:00:32.080]  這個天堂是怎樣的呢?
[00:00:32.080 --> 00:00:37.280]  特別是當我們越來越多
[00:00:37.280 --> 00:00:40.920]  很多人有臨死的經驗
[00:00:40.920 --> 00:00:42.280]  死了一段很少的時間
[00:00:42.280 --> 00:00:43.920]  搶救隊幫他搶救回來
[00:00:43.920 --> 00:00:47.000]  生命回來的時候
[00:00:47.000 --> 00:00:50.480]  他們就說他們在短暫的死亡過程裡面
[00:00:50.480 --> 00:00:52.640]  究竟是經歷了什麼事情
[00:00:52.640 --> 00:00:56.640]  有很多這種人回來之後寫書
[00:00:56.640 --> 00:00:57.840]  接受訪問
[00:00:57.840 --> 00:01:03.560]  或者上電視分享他們在短暫死亡的時間
[00:01:03.560 --> 00:01:05.400]  他們究竟發生了什麼事情
[00:01:05.400 --> 00:01:07.840]  其中有一個更加是牧師
[00:01:07.840 --> 00:01:10.640]  很多年前他有這樣的經驗之後
[00:01:10.640 --> 00:01:11.320]  康復了
[00:01:11.320 --> 00:01:13.920]  就寫了一本書叫做《死亡90分鐘》
[00:01:13.920 --> 00:01:16.360]  可能大家在這裡也有看過
[00:01:16.360 --> 00:01:18.240]  我自己也有看過
[00:01:18.240 --> 00:01:23.560]  有很多人就建基於這種人的報告
[00:01:23.560 --> 00:01:27.560]  也是去對天堂理解的
[00:01:27.560 --> 00:01:30.720]  也有一些人對天堂的理解是來自哪裡呢?
[00:01:30.720 --> 00:01:32.960]  來自他們看電視、看媒體
[00:01:32.960 --> 00:01:35.040]  不過很不幸的就是
[00:01:35.040 --> 00:01:38.520]  很多時候電視講的天堂是怎樣的?
[00:01:38.520 --> 00:01:40.440]  很多時候我們理解天堂的時候
[00:01:40.440 --> 00:01:43.520]  看電視的時候都是大部分是卡通
[00:01:43.520 --> 00:01:46.000]  卡通就是有些人穿著白色袍
[00:01:46.000 --> 00:01:46.720]  有翅膀
[00:01:46.720 --> 00:01:48.200]  在雲裡飛來飛去
[00:01:48.200 --> 00:01:50.600]  甚至是彈著洋琴
[00:01:50.600 --> 00:01:51.960]  人們對天堂的理解
[00:01:51.960 --> 00:01:55.480]  很多時候都是來自這些地方
[00:01:55.480 --> 00:01:59.080]  那麼究竟天堂是不是真的這樣的呢?
[00:01:59.080 --> 00:02:01.320]  天堂是究竟怎樣的呢?
[00:02:01.320 --> 00:02:03.320]  今天這段經文
[00:02:03.320 --> 00:02:06.040]  使徒約翰在他的異象裡面
[00:02:06.040 --> 00:02:07.840]  要告訴我們
[00:02:07.840 --> 00:02:09.280]  當有一天
[00:02:09.280 --> 00:02:12.840]  地上的世界完結之後
[00:02:12.840 --> 00:02:15.520]  將會有一個新天新地
[00:02:15.520 --> 00:02:18.920]  這個就是我們所叫的天堂
[00:02:18.920 --> 00:02:20.480]  我自己就覺得
[00:02:20.480 --> 00:02:24.920]  從聖經裡面得知將來的天堂是怎樣
[00:02:24.920 --> 00:02:27.320]  總是比起從電視
[00:02:27.320 --> 00:02:31.080]  或者一些片面人的經驗
[00:02:31.080 --> 00:02:32.840]  所知道的天堂是怎樣
[00:02:32.840 --> 00:02:34.480]  是來得更加的準確
[00:02:34.480 --> 00:02:36.200]  更加的可信,是不是?
[00:02:36.200 --> 00:02:38.160]  好了,我們看看這段經文
[00:02:38.160 --> 00:02:39.760]  經文的第一節
[00:02:39.760 --> 00:02:41.160]  就告訴我們
[00:02:41.160 --> 00:02:44.280]  使徒約翰見到一個新天新地
[00:02:44.280 --> 00:02:49.440]  這個新天新地將會取代我們現今所處的世界
[00:02:49.440 --> 00:02:50.960]  為什麼要取代呢?
[00:02:50.960 --> 00:02:52.080]  如果大家
[00:02:52.080 --> 00:02:53.400]  之前那幾個星期
[00:02:53.400 --> 00:02:56.840]  我們都一直說到將來這個世界完結的時候
[00:02:56.840 --> 00:02:57.840]  是會經歷
[00:02:57.840 --> 00:02:58.400]  什麼?
[00:02:58.400 --> 00:02:59.120]  七年
[00:02:59.120 --> 00:03:01.960]  或者七個年期的大災難
[00:03:01.960 --> 00:03:03.400]  在這個大災難完結的時候
[00:03:03.400 --> 00:03:05.960]  大概這個世界都完蛋了
[00:03:05.960 --> 00:03:09.640]  都不再適合這個人的居住
[00:03:09.640 --> 00:03:11.800]  就好像希伯來書所說
[00:03:11.800 --> 00:03:13.440]  希伯來書怎麼說呢?
[00:03:13.440 --> 00:03:18.600]  他說天地都要將衣服佔佔夠了
[00:03:18.600 --> 00:03:20.560]  你,就是指到神了
[00:03:20.560 --> 00:03:22.360]  要將天地捲起來
[00:03:22.360 --> 00:03:23.400]  好像一件外衣
[00:03:23.400 --> 00:03:27.080]  天地就都改變了
[00:03:27.080 --> 00:03:28.440]  這個新天新地
[00:03:28.440 --> 00:03:31.640]  不單止是約翰在他的異象裡面看到
[00:03:31.640 --> 00:03:33.640]  如果我們看其他的經文
[00:03:33.640 --> 00:03:38.040]  遠至距離今天二千七百年的一個先知
[00:03:38.040 --> 00:03:40.160]  叫做以塞亞
[00:03:40.160 --> 00:03:41.640]  那裡呢
[00:03:41.640 --> 00:03:45.640]  他們也說
[00:03:45.640 --> 00:03:50.040]  他說神就要做一個新天新地
[00:03:50.040 --> 00:03:54.200]  這個新天新地怎麼在神的面前長存呢?
[00:03:54.200 --> 00:03:58.040]  以色列的後裔
[00:03:58.040 --> 00:03:59.440]  以及他們的明智
[00:03:59.440 --> 00:04:02.200]  都會照樣長存
[00:04:02.200 --> 00:04:04.000]  就是說
[00:04:04.000 --> 00:04:05.520]  這裡告訴我們
[00:04:05.520 --> 00:04:08.520]  將來的新天新地有兩個特質
[00:04:08.520 --> 00:04:09.040]  什麼特質呢?
[00:04:09.040 --> 00:04:09.760]  第一個特質
[00:04:09.760 --> 00:04:11.320]  在神面前是長存的
[00:04:11.320 --> 00:04:12.640]  就是一直都會存在的
[00:04:12.640 --> 00:04:14.120]  而神的選民
[00:04:14.120 --> 00:04:15.640]  神的子民
[00:04:15.640 --> 00:04:21.400]  也都會在這個永遠長存的新天地裡面居住
[00:04:21.400 --> 00:04:23.400]  另外一個使徒
[00:04:23.400 --> 00:04:24.640]  使徒彼得
[00:04:24.640 --> 00:04:27.760]  也都在一個書信裡面提及
[00:04:27.760 --> 00:04:28.440]  他怎麼說呢?
[00:04:28.440 --> 00:04:30.120]  他說當主的日子
[00:04:30.120 --> 00:04:31.560]  好像賊一樣來到
[00:04:31.560 --> 00:04:33.400]  就是沒有人知道什麼時候
[00:04:33.400 --> 00:04:34.240]  當他來到的時候
[00:04:34.240 --> 00:04:34.920]  在那一天
[00:04:34.920 --> 00:04:37.600]  天必大有響聲沸去
[00:04:37.600 --> 00:04:40.880]  然後有形質的都要被烈火熔化
[00:04:40.880 --> 00:04:42.280]  就是什麼都沒有了
[00:04:42.280 --> 00:04:44.640]  地和其上的物都要怎樣呢?
[00:04:44.640 --> 00:04:46.960]  都要燒盡了
[00:04:46.960 --> 00:04:47.840]  接著
[00:04:47.840 --> 00:04:50.120]  新天新地就臨到
[00:04:50.120 --> 00:04:54.520]  然後二人就居在其中
[00:04:54.520 --> 00:04:56.160]  在這兩字的經文裡面
[00:04:56.160 --> 00:04:57.680]  大概我們都可以知道
[00:04:57.680 --> 00:05:00.680]  新天新地的其他兩個特徵
[00:05:00.680 --> 00:05:02.520]  有什麼特徵呢?
[00:05:02.520 --> 00:05:04.200]  這個是神的應許
[00:05:04.200 --> 00:05:05.640]  新天新地是神的應許
[00:05:05.640 --> 00:05:06.560]  以及什麼呢?
[00:05:06.560 --> 00:05:11.080]  以及二人將會住在其中
[00:05:11.080 --> 00:05:12.080]  很穩妥
[00:05:12.080 --> 00:05:12.720]  為什麼呢?
[00:05:12.720 --> 00:05:15.280]  我們都知道神的應許
[00:05:15.280 --> 00:05:16.720]  從不落空
[00:05:16.720 --> 00:05:17.560]  神講過的東西
[00:05:17.560 --> 00:05:18.720]  神應許的東西
[00:05:18.720 --> 00:05:21.160]  必定會發生
[00:05:21.160 --> 00:05:24.960]  而啟示裡面的約翰
[00:05:24.960 --> 00:05:26.720]  通過這個異象
[00:05:26.720 --> 00:05:31.240]  可以說是看到神的應許的兌現
[00:05:31.240 --> 00:05:32.240]  林蘭姐說
[00:05:32.240 --> 00:05:35.120]  約翰看完新天新地之後
[00:05:35.120 --> 00:05:36.720]  他也看到另一樣東西
[00:05:36.720 --> 00:05:37.680]  他看到
[00:05:37.680 --> 00:05:43.920]  「聖城新耶路撒冷,由天而降」
[00:05:43.920 --> 00:05:46.680]  我們遲些才講到這個新耶路撒冷
[00:05:46.680 --> 00:05:48.440]  現在提供我們首先去看看
[00:05:48.440 --> 00:05:50.800]  在這個神的寶座
[00:05:50.800 --> 00:05:53.240]  發出了一個宣告
[00:05:53.240 --> 00:05:55.680]  我先看看這個宣告是什麼宣告
[00:05:55.680 --> 00:05:57.320]  那裡有大聲音說
