
[00:00:00.000 --> 00:00:01.860]  不如跟旁邊的人說聲聖誕快樂,好嗎?
[00:00:01.860 --> 00:00:03.580]  聖誕快樂
[00:00:03.580 --> 00:00:08.280]  聖誕快樂,平安夜快樂
[00:00:08.280 --> 00:00:11.980]  等一下,等一下
[00:00:11.980 --> 00:00:14.560]  為何聖誕節要說快樂?
[00:00:14.560 --> 00:00:17.880]  有沒有想過為何聖誕節要說聖誕快樂?
[00:00:17.880 --> 00:00:21.400]  為何要有聖誕快樂?
[00:00:21.400 --> 00:00:23.720]  如果你打開聖經,你有沒有見到聖經裡面
[00:00:23.720 --> 00:00:26.180]  突然有人走出來跟耶穌說聖誕快樂?
[00:00:26.180 --> 00:00:28.380]  好像我又沒有見到
[00:00:29.100 --> 00:00:32.040]  聖誕節當然我們會很開心,因為有機會見面
[00:00:32.040 --> 00:00:34.780]  有機會可能有聚餐
[00:00:34.780 --> 00:00:37.360]  雖然今年疫情也開始可以吃一下飯
[00:00:37.360 --> 00:00:40.200]  有機會可以在聖誕節裡回來教會
[00:00:40.200 --> 00:00:43.120]  有機會一會兒去參與,一起點蠟燭去禱告
[00:00:43.120 --> 00:00:45.220]  去期盼納治許願
[00:00:45.220 --> 00:00:48.600]  不過聖誕節,或者聖誕快樂這句話
[00:00:48.600 --> 00:00:52.240]  每次說的時候,你帶著甚麼想法或心情呢?
[00:00:52.240 --> 00:00:55.760]  是否就是一個跟一般人去慶祝
[00:00:55.760 --> 00:00:59.120]  就好像那一句話,生日快樂,新年快樂
[00:00:59.120 --> 00:01:01.820]  聖誕快樂,在節日裡面開心呢?
[00:01:01.820 --> 00:01:05.140]  甚至現在開始很多地方都不說節日這件事
[00:01:05.140 --> 00:01:07.800]  由Merry Christmas變成甚麼Season's Greetings
[00:01:07.800 --> 00:01:10.780]  甚至我還見到有些,只是有個開心的符號
[00:01:10.780 --> 00:01:12.920]  都不知道是甚麼原因
[00:01:12.920 --> 00:01:15.240]  到底聖誕節我們為何要快樂呢?
[00:01:15.240 --> 00:01:19.720]  今天福音書經課給了我們一個很精彩的畫面
[00:01:19.720 --> 00:01:23.240]  特別是在路加福音二章十三十四節
[00:01:23.440 --> 00:01:27.060]  天使天兵那個報信的宣告
[00:01:27.060 --> 00:01:29.960]  剛才聽到牧師跟我們講到的
[00:01:29.960 --> 00:01:32.960]  忽然有一大隊天兵和那位天使
[00:01:32.960 --> 00:01:34.760]  就讚美上帝說
[00:01:34.760 --> 00:01:37.880]  在至高之處,榮耀歸給上帝
[00:01:37.880 --> 00:01:42.860]  在地上平安歸於他所棄的人
[00:01:42.860 --> 00:01:45.400]  想起聖誕節,想起平安夜
[00:01:45.400 --> 00:01:47.340]  你可能有很多想像的畫面
[00:01:47.340 --> 00:01:50.500]  有很美妙的詩歌,想我們唱平安夜
[00:01:50.500 --> 00:01:53.100]  其實我小時候都不太明白為何要唱平安夜
[00:01:53.100 --> 00:01:57.580]  明明那天是聖誕節,聖誕一天,前夕而已
[00:01:57.580 --> 00:01:59.460]  為何要這麼平安呢?
[00:01:59.460 --> 00:02:01.040]  但是那些人又狂歡的
[00:02:01.040 --> 00:02:03.100]  又喝得很醉,玩得很晚
[00:02:03.100 --> 00:02:05.600]  一個平安的晚上你又去狂歡的
[00:02:05.600 --> 00:02:08.500]  到底這個平安夜
[00:02:08.500 --> 00:02:12.120]  或者這個我們想像的聖誕節發生的事情
[00:02:12.120 --> 00:02:15.460]  跟我們想像的有甚麼不同呢?
[00:02:15.460 --> 00:02:18.700]  當天使去宣告的背景
[00:02:18.700 --> 00:02:22.620]  可能是跟你和我過去的想像有很大的分別
