
[00:00:00.000 --> 00:00:05.000]  主的道在以弗所大,大興旺,而且得誠
[00:00:05.000 --> 00:00:07.800]  主的道是如何開始的呢?
[00:00:07.800 --> 00:00:12.600]  《聖行傳》第十九章提到保羅去到以弗所的地方
[00:00:12.600 --> 00:00:15.900]  他首先見到一些門徒
[00:00:15.900 --> 00:00:19.600]  這裡提到有十二個人
[00:00:19.600 --> 00:00:23.000]  但是這幾個門徒
[00:00:23.000 --> 00:00:26.300]  原來他們不是耶穌基督的門徒
[00:00:26.300 --> 00:00:29.700]  他們是施浸約翰的門徒
[00:00:29.700 --> 00:00:32.200]  所以好像有些人在那裡
[00:00:32.200 --> 00:00:38.000]  但是這些人又不是實質上基督徒
[00:00:38.000 --> 00:00:40.400]  或者是跟從基督的人
[00:00:40.400 --> 00:00:45.600]  他們只不過是接受了約翰的浸禮
[00:00:45.600 --> 00:00:47.200]  約翰的浸禮是什麼呢?
[00:00:47.200 --> 00:00:50.600]  約翰的浸禮是一個悔改的浸禮
[00:00:50.600 --> 00:00:55.400]  《方書》記載施浸約翰出來呼籲以色列人悔改
[00:00:55.400 --> 00:00:57.000]  呼籲他們回轉
[00:00:57.000 --> 00:00:59.900]  很多以色列人有回應的
[00:00:59.900 --> 00:01:02.900]  我們不要以為悔改就是基督徒
[00:01:02.900 --> 00:01:04.900]  開報道會才叫人悔改
[00:01:04.900 --> 00:01:09.400]  因為猶太人從來都有這種悔改的傳統
[00:01:09.400 --> 00:01:13.600]  因為猶太人他們覺得自己是有罪的
[00:01:13.600 --> 00:01:18.600]  他們不能夠符合這個律法的要求
[00:01:18.600 --> 00:01:25.200]  所以他們經常要藉著憲制來遮蓋自己的罪
[00:01:25.200 --> 00:01:29.600]  來承認自己的問題
[00:01:29.600 --> 00:01:35.700]  所以後來在舊約也經常呼籲以色列人悔改
[00:01:35.700 --> 00:01:40.900]  叫他們轉來順從律法而行事
[00:01:40.900 --> 00:01:43.800]  來跟隨律法而行
[00:01:43.800 --> 00:01:49.800]  約翰來呼籲以色列人悔改
[00:01:49.800 --> 00:01:51.800]  以色列人是很明白他說什麼的
[00:01:51.800 --> 00:01:58.800]  因為他們知道他們是沒有辦法遵守舊約的教導
[00:01:58.800 --> 00:02:00.800]  特別是在新約的時代
[00:02:00.800 --> 00:02:02.800]  他們是很難遵守的
[00:02:02.800 --> 00:02:04.800]  因為在羅馬人的統治下
[00:02:04.800 --> 00:02:08.800]  社會的環境令到一般的猶太人
[00:02:08.800 --> 00:02:12.800]  是沒有辦法遵守律法所有的教導
[00:02:12.800 --> 00:02:14.800]  例如守安息日的教導
[00:02:14.800 --> 00:02:15.800]  是很難做的
[00:02:15.800 --> 00:02:18.800]  因為羅馬人不會守安息日的
[00:02:18.800 --> 00:02:20.800]  所以你幫羅馬人打工
[00:02:20.800 --> 00:02:22.800]  店舖一星期開七天
[00:02:22.800 --> 00:02:24.800]  那你要什麼安息日呢?
[00:02:24.800 --> 00:02:26.800]  我要一天放假
[00:02:26.800 --> 00:02:27.800]  拼命而已
[00:02:27.800 --> 00:02:28.800]  是不可能的
[00:02:28.800 --> 00:02:30.800]  所以他們很清楚知道
[00:02:30.800 --> 00:02:31.800]  自己是守不到
[00:02:31.800 --> 00:02:33.800]  所以他們很願意來悔改
[00:02:33.800 --> 00:02:35.800]  但是純悔改是沒有用的
[00:02:35.800 --> 00:02:38.800]  就是說知道自己錯
[00:02:38.800 --> 00:02:40.800]  只會不斷的懊悔
[00:02:40.800 --> 00:02:42.800]  只會不斷的悔改
[00:02:42.800 --> 00:02:45.800]  不斷的說我做好一點
[00:02:45.800 --> 00:02:48.800]  這些就只不過好像有一班人在
[00:02:48.800 --> 00:02:52.800]  這班人實質上並不是來相信耶穌
[00:02:52.800 --> 00:02:55.800]  和接受耶穌基督的救恩
[00:02:55.800 --> 00:03:00.800]  今天我們和猶太人有點相似
[00:03:00.800 --> 00:03:03.800]  猶太人普遍都承認自己是罪人
[00:03:03.800 --> 00:03:06.800]  我們中國人又不是這麼認的
[00:03:06.800 --> 00:03:09.800]  因為我們覺得自己都做得很好
[00:03:09.800 --> 00:03:12.800]  但我們相似就是我們都想做好
[00:03:12.800 --> 00:03:14.800]  我們都有些規矩要守
[00:03:14.800 --> 00:03:16.800]  我們的傳統規矩
[00:03:16.800 --> 00:03:18.800]  和猶太人不是很相似
[00:03:18.800 --> 00:03:21.800]  他們的規矩是比較禮儀上的
[00:03:21.800 --> 00:03:25.800]  他們的規矩是比較一些所謂
[00:03:25.800 --> 00:03:28.800]  一些宗教生活上的要求
[00:03:28.800 --> 00:03:32.800]  獻祭、守安息日、不要吃豬肉
[00:03:32.800 --> 00:03:35.800]  中國人的規矩是比較道德的
[00:03:35.800 --> 00:03:37.800]  我們比較在行事為人
[00:03:37.800 --> 00:03:40.800]  我們都有些目標的
[00:03:40.800 --> 00:03:44.800]  我們希望做一個頂天立地的人
[00:03:44.800 --> 00:03:48.800]  我們能夠做一些事情出來
[00:03:48.800 --> 00:03:50.800]  是別人會珍賞的
[00:03:50.800 --> 00:03:53.800]  是能夠對得起其他人的
[00:03:53.800 --> 00:03:56.800]  我們都有一個說法就是
[00:03:56.800 --> 00:04:02.800]  知錯能改,過而改之,善莫大焉
[00:04:02.800 --> 00:04:05.800]  最好的好事就是去改過
[00:04:05.800 --> 00:04:07.800]  所以對我們來說
[00:04:07.800 --> 00:04:10.800]  我們告訴別人,人是有錯誤的
[00:04:10.800 --> 00:04:13.800]  他應該改變,很多人都接受的
[00:04:13.800 --> 00:04:17.800]  除非那些嚴重地覺得自己是好人
[00:04:17.800 --> 00:04:21.800]  一般來說我們都覺得自己有很多東西未達到標準
[00:04:21.800 --> 00:04:24.800]  因為孫教授來中國的時候
[00:04:24.800 --> 00:04:27.800]  就很怕和中國人起衝突
[00:04:27.800 --> 00:04:30.800]  所以講一些比較中國人接受的東西
[00:04:30.800 --> 00:04:33.800]  就告訴我們我們有很多的行為
[00:04:33.800 --> 00:04:35.800]  是未達到標準的
[00:04:35.800 --> 00:04:37.800]  我們需要來認錯的
[00:04:37.800 --> 00:04:39.800]  很多人都接受的
[00:04:39.800 --> 00:04:43.800]  所以我們很容易變成若翰的門徒
[00:04:43.800 --> 00:04:45.800]  我們只知道悔改
[00:04:45.800 --> 00:04:47.800]  就是說我們承認我們有錯
[00:04:47.800 --> 00:04:49.800]  我們決定做好一點
[00:04:49.800 --> 00:04:51.800]  很多人來到教會
[00:04:51.800 --> 00:04:54.800]  我們透過聖經,透過聖經的說話
[00:04:54.800 --> 00:04:57.800]  讓我們知道原來我們有很多問題
[00:04:57.800 --> 00:04:59.800]  好,我今天就後悔了
[00:04:59.800 --> 00:05:03.800]  我今天認錯了,我準備改過了
[00:05:03.800 --> 00:05:06.800]  這樣只不過是若翰的福音
[00:05:06.800 --> 00:05:09.800]  這不是耶穌基督的福音
[00:05:09.800 --> 00:05:11.800]  如果教會只是停留在這個地步
[00:05:11.800 --> 00:05:16.800]  我們所有的人都只是若翰的門徒
[00:05:16.800 --> 00:05:18.800]  我們不是耶穌基督的門徒
[00:05:18.800 --> 00:05:20.800]  耶穌基督說什麼呢?
[00:05:20.800 --> 00:05:24.800]  天國近了,你們應當悔改,信福音
[00:05:24.800 --> 00:05:26.800]  我們悔改了,但我們沒有信福音
[00:05:26.800 --> 00:05:28.800]  福音是什麼呢?
[00:05:28.800 --> 00:05:32.800]  就是靠著耶穌基督,我們的罪能夠得以赦免
[00:05:32.800 --> 00:05:36.800]  靠著耶穌基督,我們能夠脫離罪惡
[00:05:36.800 --> 00:05:39.800]  我們不是靠自己去做一個好人
[00:05:39.800 --> 00:05:41.800]  我們怎樣做都做不到
[00:05:41.800 --> 00:05:43.800]  耶穌基督赦免我們
[00:05:43.800 --> 00:05:45.800]  我們來到神的面前,我們悔改
[00:05:45.800 --> 00:05:48.800]  我們知道自己有錯,我們不符合上帝的心意
[00:05:48.800 --> 00:05:51.800]  所以我們需要依靠耶穌基督
[00:05:51.800 --> 00:05:53.800]  那個決定是很重要的
[00:05:53.800 --> 00:05:55.800]  那個迴轉不是說我有錯
[00:05:55.800 --> 00:05:57.800]  所以我現在決定努力做好一點
[00:05:57.800 --> 00:06:00.800]  這個是猶太人或者若翰的福音
[00:06:00.800 --> 00:06:02.800]  這個是中國人的福音
[00:06:02.800 --> 00:06:04.800]  耶穌基督方說,我知道我錯了
[00:06:04.800 --> 00:06:06.800]  所以我做不好了
[00:06:06.800 --> 00:06:08.800]  我們靠耶穌基督來赦免我
[00:06:08.800 --> 00:06:10.800]  靠耶穌基督來拯救我
[00:06:10.800 --> 00:06:14.800]  這個才是一件重要的事
[00:06:14.800 --> 00:06:18.800]  否則我們只是繼續在罪惡裡面
[00:06:18.800 --> 00:06:20.800]  我們不斷的悔改
[00:06:20.800 --> 00:06:22.800]  我們其實做不到,我們改變不了
[00:06:22.800 --> 00:06:24.800]  如果我們能夠改變的話
