
[00:00:00.000 --> 00:00:03.000]  各位恩傳、善信的弟兄姊妹、好朋友
[00:00:03.000 --> 00:00:05.000]  父親節平安 平安
[00:00:05.000 --> 00:00:07.000]  感謝我們的天父
[00:00:07.000 --> 00:00:10.000]  今天一早起床 藍天白雲
[00:00:10.000 --> 00:00:12.000]  真是天朗氣清
[00:00:12.000 --> 00:00:15.000]  來敬拜這位創造天地萬物的主
[00:00:15.000 --> 00:00:17.000]  第一 是不是要先感謝這位天父
[00:00:17.000 --> 00:00:19.000]  給我們天父一點掌聲
[00:00:19.000 --> 00:00:24.000]  我知道 昨晚開始
[00:00:24.000 --> 00:00:27.000]  很多爸爸收到很多WhatsApp
[00:00:27.000 --> 00:00:30.000]  可能爸爸收到很多功學的父親節WhatsApp
[00:00:30.000 --> 00:00:32.000]  舉手
[00:00:32.000 --> 00:00:34.000]  有些沒有 很慘
[00:00:34.000 --> 00:00:37.000]  我收到一個這樣的WhatsApp
[00:00:37.000 --> 00:00:39.000]  它又說
[00:00:39.000 --> 00:00:42.000]  Don't forget this Sunday is Father's Day
[00:00:42.000 --> 00:00:46.000]  However, the rest of the year is Mother's Day
[00:00:46.000 --> 00:00:51.000]  我們父親節有時都又開心
[00:00:51.000 --> 00:00:53.000]  又有些傷感
[00:00:53.000 --> 00:00:56.000]  我們覺得我們做父親應該是多些鼓勵的
[00:00:58.000 --> 00:01:00.000]  我想做一個動作
[00:01:00.000 --> 00:01:02.000]  希望姐妹們
[00:01:02.000 --> 00:01:04.000]  The rest 就是你們的日子了
[00:01:04.000 --> 00:01:06.000]  今天是Father's Day
[00:01:06.000 --> 00:01:08.000]  我想請所有姐妹起床
[00:01:08.000 --> 00:01:10.000]  你很聰明的
[00:01:10.000 --> 00:01:11.000]  還有很有笑容的
[00:01:11.000 --> 00:01:13.000]  和你後面那個男士說一聲
[00:01:13.000 --> 00:01:15.000]  Happy Father's Day 可以嗎
[00:01:15.000 --> 00:01:17.000]  只是今天 遲些就沒有了
[00:01:17.000 --> 00:01:21.000]  對 鼓勵一下
[00:01:21.000 --> 00:01:23.000]  笑一點
[00:01:23.000 --> 00:01:25.000]  對 這樣才對
[00:01:28.000 --> 00:01:32.000]  其實 Father's Day 我們是這樣的
[00:01:32.000 --> 00:01:35.000]  今晚出去吃飯
[00:01:35.000 --> 00:01:37.000]  其實都是他付錢的
[00:01:37.000 --> 00:01:39.000]  所以你去開心一點
[00:01:39.000 --> 00:01:41.000]  就吃得好一點
[00:01:41.000 --> 00:01:45.000]  所以我們真的做爸爸的一年有一天
[00:01:45.000 --> 00:01:47.000]  我們其實在加拿大
[00:01:47.000 --> 00:01:49.000]  除了天氣好之外
[00:01:49.000 --> 00:01:51.000]  都有很多東西吃得感恩的
[00:01:51.000 --> 00:01:52.000]  差不多在加拿大
[00:01:52.000 --> 00:01:54.000]  每個月都有這個節期
[00:01:54.000 --> 00:01:57.000]  一月份有新年
[00:01:57.000 --> 00:02:00.000]  二月份有情人節
[00:02:00.000 --> 00:02:03.000]  三月份有復活節
[00:02:03.000 --> 00:02:06.000]  四月份有什麼
[00:02:06.000 --> 00:02:08.000]  四月休餘人節
[00:02:08.000 --> 00:02:10.000]  還有兒童節
[00:02:10.000 --> 00:02:12.000]  五月份是Mother's Day
[00:02:12.000 --> 00:02:15.000]  六月份都留到我們了
[00:02:15.000 --> 00:02:16.000]  Father's Day
[00:02:16.000 --> 00:02:18.000]  在這裡做一次
[00:02:18.000 --> 00:02:22.000]  當中做了爸爸爺爺公公的男士們
[00:02:22.000 --> 00:02:24.000]  為你們感恩
[00:02:24.000 --> 00:02:26.000]  再給他們掌聲
[00:02:26.000 --> 00:02:34.000]  其實做男士的小朋友
[00:02:34.000 --> 00:02:36.000]  特別是十二歲以下的小朋友
[00:02:36.000 --> 00:02:38.000]  眼中就是英雄
[00:02:38.000 --> 00:02:41.000]  因為我們的小朋友
[00:02:41.000 --> 00:02:43.000]  他們覺得我們爸爸是很成功的
[00:02:43.000 --> 00:02:45.000]  每個人都可以的
[00:02:45.000 --> 00:02:47.000]  有三個小學生
[00:02:47.000 --> 00:02:49.000]  有一次小息的時候
[00:02:49.000 --> 00:02:50.000]  大家認得了
[00:02:50.000 --> 00:02:52.000]  誰比我威風
[00:02:52.000 --> 00:02:54.000]  他說我爸爸最威風
[00:02:54.000 --> 00:02:56.000]  他說你爸爸怎麼威風
[00:02:56.000 --> 00:02:58.000]  我爸爸厲害了
[00:02:58.000 --> 00:02:59.000]  賺錢最多
[00:02:59.000 --> 00:03:01.000]  我爸爸是中醫師
[00:03:01.000 --> 00:03:04.000]  每個星期他看不少病人
[00:03:04.000 --> 00:03:05.000]  每一個看半個小時
[00:03:05.000 --> 00:03:07.000]  每個人都給他一百塊錢
[00:03:07.000 --> 00:03:09.000]  所以我爸爸賺錢最多
[00:03:09.000 --> 00:03:11.000]  我爸爸最威風
[00:03:11.000 --> 00:03:13.000]  另一個小朋友說
[00:03:13.000 --> 00:03:15.000]  不 你爸爸不比我爸爸威風
[00:03:15.000 --> 00:03:16.000]  你爸爸是中醫師
[00:03:16.000 --> 00:03:18.000]  我爸爸是律師
[00:03:18.000 --> 00:03:20.000]  每個人看他十五分鐘
[00:03:20.000 --> 00:03:22.000]  給他一千塊錢
[00:03:22.000 --> 00:03:24.000]  這麼威風
[00:03:24.000 --> 00:03:25.000]  三個小朋友說
[00:03:25.000 --> 00:03:27.000]  不 你爸爸不比我爸爸威風
[00:03:27.000 --> 00:03:28.000]  你爸爸做什麼
[00:03:28.000 --> 00:03:30.000]  我爸爸是牧師
[00:03:30.000 --> 00:03:32.000]  他一個星期只做半個小時的事
[00:03:32.000 --> 00:03:35.000]  有幾百人收錢給他
[00:03:35.000 --> 00:03:37.000]  我爸爸最威風
[00:03:37.000 --> 00:03:39.000]  先給牧師掌聲
[00:03:39.000 --> 00:03:42.000]  當然
[00:03:42.000 --> 00:03:44.000]  牧師不會拿光這些奉獻
[00:03:46.000 --> 00:03:48.000]  在這樣的比喻當中
[00:03:48.000 --> 00:03:50.000]  我們看到原來我們的小朋友
[00:03:50.000 --> 00:03:52.000]  希望我們成功
[00:03:52.000 --> 00:03:55.000]  我們也希望我們自己成功
[00:03:55.000 --> 00:03:57.000]  因為我們是一家之主
[00:03:57.000 --> 00:03:59.000]  但是怎樣才能夠真正的成功呢
[00:03:59.000 --> 00:04:01.000]  剛才所讀的經文
[00:04:01.000 --> 00:04:04.000]  就記載了一個在事業上非常成功的人
[00:04:04.000 --> 00:04:06.000]  剛才大家讀了
[00:04:06.000 --> 00:04:08.000]  這個聖經記載了一個什麼
[00:04:08.000 --> 00:04:10.000]  記載了一個大神
[00:04:10.000 --> 00:04:12.000]  一個大官
[00:04:12.000 --> 00:04:14.000]  或者英文聖經叫Noble One
[00:04:14.000 --> 00:04:16.000]  即是一個皇家裏面的人
[00:04:16.000 --> 00:04:18.000]  一個這樣的人成不成功
[00:04:18.000 --> 00:04:20.000]  最賺錢就是政府工
[00:04:20.000 --> 00:04:22.000]  羅馬官
[00:04:22.000 --> 00:04:24.000]  一個羅馬官
[00:04:24.000 --> 00:04:26.000]  他就有一次
[00:04:26.000 --> 00:04:28.000]  遇到一些困難
