
[00:00:00.000 --> 00:00:03.500]  整個世界過去兩年
[00:00:03.500 --> 00:00:07.500]  我們都受住新冠肺炎疫情的影響
[00:00:07.500 --> 00:00:13.000]  好多國家都未能夠如常放寬旅客出入
[00:00:13.000 --> 00:00:16.000]  特別是一些長的假期
[00:00:16.000 --> 00:00:20.500]  我們都減少了外出旅遊的機會
[00:00:20.500 --> 00:00:26.000]  但相信大家都會有往外地旅遊的經驗
[00:00:26.000 --> 00:00:29.500]  當飛機到達目的地之後
[00:00:29.500 --> 00:00:34.500]  我們開始聽到很多開手機的鈴聲
[00:00:34.500 --> 00:00:38.500]  好多人都已經準備去換相
[00:00:38.500 --> 00:00:43.500]  他們已經早已預備購買當地的電話儲值卡
[00:00:43.500 --> 00:00:46.500]  又或者在等行李的期間
[00:00:46.500 --> 00:00:50.500]  他們來到便利店購買
[00:00:50.500 --> 00:00:54.500]  這些都是為了方便之後
[00:00:54.500 --> 00:00:58.500]  他們去聯絡當地的司機、朋友、家人
[00:00:58.500 --> 00:01:02.500]  又或者尋找他們將要前往的目的地
[00:01:02.500 --> 00:01:06.500]  我們看到網絡、Wi-Fi
[00:01:06.500 --> 00:01:10.500]  在我們生活來說真是非常重要
[00:01:10.500 --> 00:01:12.500]  在我成長的年代
[00:01:12.500 --> 00:01:17.500]  手提電話好像覺得是奢侈品
[00:01:17.500 --> 00:01:21.500]  現在已經成為我們生活的必需品
[00:01:21.500 --> 00:01:22.500]  我們不用外出
[00:01:22.500 --> 00:01:24.500]  我們拿著手提電話
[00:01:24.500 --> 00:01:27.500]  我們已經可以處理好多事情
[00:01:27.500 --> 00:01:29.500]  我們可以在家工作
[00:01:29.500 --> 00:01:33.500]  我們可以網上購物過數
[00:01:33.500 --> 00:01:35.500]  交付不同的費用
[00:01:35.500 --> 00:01:37.500]  我們出門的時候
[00:01:37.500 --> 00:01:39.500]  我們去登記安心出行
[00:01:39.500 --> 00:01:42.500]  甚至顯示疫苗記錄卡等
[00:01:42.500 --> 00:01:45.500]  手提電話已經成為我們的生活
[00:01:45.500 --> 00:01:49.500]  好像一個不可或缺的工具
[00:01:49.500 --> 00:01:51.500]  在過去兩年多
[00:01:51.500 --> 00:01:57.500]  整個世界、社會經歷很大的轉變
[00:01:57.500 --> 00:02:01.500]  從前我們覺得沒有可能的事
[00:02:01.500 --> 00:02:07.500]  現在已經可能成為我們常態地出現
[00:02:07.500 --> 00:02:12.500]  現在與兩年前相比
[00:02:12.500 --> 00:02:14.500]  我們熟練的生命
[00:02:14.500 --> 00:02:17.500]  我們生命優先的次序
[00:02:17.500 --> 00:02:21.500]  有沒有經歷過一些轉變呢?
[00:02:21.500 --> 00:02:25.500]  今天願意藉著以斯拉記三章
[00:02:25.500 --> 00:02:30.500]  讓我們從一群歸回的猶太人身上去看一看
[00:02:30.500 --> 00:02:35.500]  他們經歷了70年亡國被擄之後
[00:02:35.500 --> 00:02:42.500]  有些什麼事對於他們來說是最重要的呢?
[00:02:42.500 --> 00:02:47.500]  我們先來看以斯拉記的背景
[00:02:47.500 --> 00:02:50.500]  以斯拉記是一卷歷史書
[00:02:50.500 --> 00:02:54.500]  聖經學者會將它與尼希米記
[00:02:54.500 --> 00:02:58.500]  看為同一卷書的兩個部份
[00:02:58.500 --> 00:03:04.500]  兩卷書都是敘述從主前539年
[00:03:04.500 --> 00:03:08.500]  由古列王開始發出他的命令
[00:03:08.500 --> 00:03:13.500]  以及重建聖殿的一些關鍵事件
[00:03:13.500 --> 00:03:16.500]  從當中記載的事
[00:03:16.500 --> 00:03:21.500]  我們可以看見上帝如何復興祂的指紋
[00:03:21.500 --> 00:03:23.500]  最出乎意料的是
[00:03:23.500 --> 00:03:26.500]  我們看見上帝在掌權
[00:03:26.500 --> 00:03:31.500]  他甚至透過外邦人來完成祂的旨意
[00:03:31.500 --> 00:03:33.500]  在主前600年
[00:03:33.500 --> 00:03:38.500]  因為以色列人的犯罪、神的懲罰臨到
[00:03:38.500 --> 00:03:45.500]  被當時的巴比倫、利布格尼撒王攻陷了耶路撒冷之後
[00:03:45.500 --> 00:03:50.500]  這一切我們都看到是在神的掌權之下
[00:03:50.500 --> 00:03:53.500]  但是神也都曾應許百姓
[00:03:53.500 --> 00:03:59.500]  只要他們會回轉專心尋求耶和華的面
[00:03:59.500 --> 00:04:03.500]  耶和華會必在私恩臨到他們中間
[00:04:03.500 --> 00:04:05.500]  我們看到在七十年之後
[00:04:05.500 --> 00:04:08.500]  就是神的時間到來
[00:04:08.500 --> 00:04:13.500]  在《以斯拉記》的第一章一節
[00:04:13.500 --> 00:04:17.500]  我們看到波斯王古列元年
[00:04:17.500 --> 00:04:19.500]  古列有另外一個名字
[00:04:19.500 --> 00:04:22.500]  是一些日本系列的居留時儀式
[00:04:22.500 --> 00:04:23.500]  Cybus the Great
[00:04:23.500 --> 00:04:25.500]  他這裡說到耶和華
[00:04:25.500 --> 00:04:31.500]  為要應驗耶利米口所說的話就激發波斯王古列的心
[00:04:31.500 --> 00:04:34.500]  我們看到這裡說到波斯王古列元年
[00:04:34.500 --> 00:04:38.500]  這裡是一個改朝換代的時代
[00:04:38.500 --> 00:04:41.500]  巴比倫帝國強盛一時
[00:04:41.500 --> 00:04:43.500]  洪霸天下
[00:04:43.500 --> 00:04:47.500]  但被馬代的波斯來取替
[00:04:47.500 --> 00:04:51.500]  耶和華為要應驗耶利米先知所說的話
[00:04:51.500 --> 00:04:55.500]  在秘魯七十年之後他們回歸
[00:04:55.500 --> 00:04:59.500]  這裡我們看到上帝他在做一件事
[00:04:59.500 --> 00:05:03.500]  他是真正掌管歷史的主
[00:05:03.500 --> 00:05:06.500]  這位波斯王古列他一上位
[00:05:06.500 --> 00:05:09.500]  立即有一個新的政策
[00:05:09.500 --> 00:05:12.500]  就是下朝通告全國
[00:05:12.500 --> 00:05:15.500]  准許百姓回到耶路撒冷
[00:05:15.500 --> 00:05:19.500]  恢復他們敬拜神的生活
[00:05:19.500 --> 00:05:23.500]  我們在一章五節就看到
[00:05:23.500 --> 00:05:26.500]  當時被神激動的
[00:05:26.500 --> 00:05:30.500]  有猶太和變亞文的族長
[00:05:30.500 --> 00:05:34.500]  也有祭司利未人他們被神激動
[00:05:34.500 --> 00:05:36.500]  他們的心都起來
[00:05:36.500 --> 00:05:40.500]  要回到耶路撒冷去建造耶和華的店
[00:05:40.500 --> 00:05:45.500]  這一年是主前538年
[00:05:45.500 --> 00:05:48.500]  這一年對於猶太人他們來說
[00:05:48.500 --> 00:05:51.500]  也是他們轉捩點的一年
[00:05:51.500 --> 00:05:55.500]  祭司拉這裡的記載
[00:05:55.500 --> 00:05:58.500]  其實同樣在歷代之下
[00:05:58.500 --> 00:06:02.500]  三十六章二十二到二十三節
