
[00:00:00.000 --> 00:00:03.400]  今日嘅講題係《一片雲霧》
[00:00:03.400 --> 00:00:09.400]  嚟自嘅經文就係《雅國書》嘅第四章十三節到第五章嘅第六節
[00:00:09.400 --> 00:00:13.400]  頭先嗰首嘅詩歌係根據呢一段嘅經文去度作嘅
[00:00:13.400 --> 00:00:16.800]  咁原來係《雅國書》嘅最後嘅部分嘅一段
[00:00:16.800 --> 00:00:23.400]  主要其實佢所宣講嘅對象係同富有人亦稱係有錢人去到進行宣講
[00:00:23.400 --> 00:00:28.800]  我哋睇睇呢段嘅經文有啲嘅對象嘅字眼俾大家睇一睇先
[00:00:28.800 --> 00:00:32.400]  原來我哋發現可以呢段嘅經文分為兩部分
[00:00:32.400 --> 00:00:37.000]  每一部分都有一個嘅字眼係和合本去到進行翻譯
[00:00:37.000 --> 00:00:40.000]  嗰個字眼其實係點讀呀呢個字
[00:00:40.000 --> 00:00:41.400]  「哼」係咪呀
[00:00:41.400 --> 00:00:43.000]  即係有個感嘆號
[00:00:43.000 --> 00:00:44.600]  咁我哋一齊讀一次啦喎
[00:00:44.600 --> 00:00:45.200]  嚟啦喎
[00:00:45.200 --> 00:00:46.400]  一二三
[00:00:46.400 --> 00:00:48.400]  「哼」咁樣
[00:00:48.400 --> 00:00:51.200]  淨係讀嗰粒字得㗎喇
[00:00:51.200 --> 00:00:56.000]  咁即係分別喺四章嘅十三節又有個「喝」字
[00:00:56.000 --> 00:00:57.400]  即係唔係讀得幾好
[00:00:57.400 --> 00:00:59.400]  第五章嘅第一節都有㗎
[00:00:59.400 --> 00:01:03.800]  就去到同你宣講兩類嘅人佢要同你說話
[00:01:03.800 --> 00:01:08.600]  一類嘅人就叫做「你門有話說」嗰個「你門」
[00:01:08.600 --> 00:01:10.000]  如果我哋翻查經文
[00:01:10.000 --> 00:01:12.000]  我哋就明白呢個「你門」呢
[00:01:12.000 --> 00:01:14.200]  就應該就係指一啲嘅商人啦
[00:01:14.200 --> 00:01:18.800]  因為佢入面嘅內容十三到十二十七節第四章
[00:01:18.800 --> 00:01:22.000]  係主要係牽涉到買賣嗰啲嘅內容
[00:01:22.000 --> 00:01:23.400]  咁所以就係商人
[00:01:23.400 --> 00:01:26.800]  咁另外就係「你門者聲富足的人」
[00:01:26.800 --> 00:01:30.200]  咁當我哋睇呢個第五章嘅第一到到第六節
[00:01:30.200 --> 00:01:35.400]  我哋就明白應該嗰啲係富有嘅農夫又或者地主
[00:01:35.400 --> 00:01:38.400]  但係如果我哋將嗰個「喝」呢個字呢
[00:01:38.400 --> 00:01:40.600]  去到進行一個原文嘅翻譯
[00:01:40.600 --> 00:01:43.000]  你就會發現原來喺希臘文入面
[00:01:43.000 --> 00:01:45.400]  就唔係淨係得一個字咁少
[00:01:45.400 --> 00:01:47.200]  其實佢係兩粒字嚟㗎
[00:01:47.200 --> 00:01:50.600]  我就嘗試直接去到進行翻譯
[00:01:50.600 --> 00:01:53.200]  你就見到我打咗喺個powerpoint嗰度
[00:01:53.200 --> 00:01:57.000]  原來唔係一個咁嘆好原來係兩個咁嘆好
[00:01:57.000 --> 00:02:01.600]  所以你應該譯做「內吧」「現在」咁樣嘅意思
[00:02:01.600 --> 00:02:04.000]  不過和合本呢為咗慳字啦
