
[00:00:00.000 --> 00:00:04.200]  禱告是我們與神交往的一個很重要的途徑
[00:00:04.200 --> 00:00:07.000]  我記得我小時候回教會的時候
[00:00:07.000 --> 00:00:08.800]  導師教我們祈禱的時候
[00:00:08.800 --> 00:00:10.200]  是有五方面
[00:00:10.200 --> 00:00:12.400]  你要包含在中間的
[00:00:12.400 --> 00:00:14.900]  那我又覺得這五方面是對的
[00:00:14.900 --> 00:00:16.400]  第一
[00:00:16.400 --> 00:00:18.700]  你要來的是去讚美神
[00:00:18.700 --> 00:00:21.600]  你要對神有一個認識
[00:00:21.600 --> 00:00:23.000]  我們祈禱之先
[00:00:23.000 --> 00:00:23.900]  我們會想一想
[00:00:23.900 --> 00:00:25.600]  我的神是一個怎樣的神呢?
[00:00:25.600 --> 00:00:29.000]  如果我們想到我們的神是一個尊貴榮耀的神的時候
[00:00:29.000 --> 00:00:31.800]  我想我們絕對不會這麼隨便的來祈禱的
[00:00:31.800 --> 00:00:33.700]  傳道書也說到
[00:00:33.700 --> 00:00:36.200]  你不可以在神面前興奮的來開口
[00:00:36.200 --> 00:00:39.600]  你更加不會躺下來跟神說話
[00:00:39.600 --> 00:00:40.400]  對不對?
[00:00:40.400 --> 00:00:41.700]  除非你是病重
[00:00:41.700 --> 00:00:44.900]  所以我們要有讚美
[00:00:44.900 --> 00:00:47.300]  接著要認罪
[00:00:47.300 --> 00:00:52.700]  如果我們很確信我們所相信的神是一個聖潔的神
[00:00:52.700 --> 00:00:54.700]  希伯來書怎麼說呢?
[00:00:54.700 --> 00:00:56.700]  他說人非聖潔
[00:00:56.700 --> 00:00:58.500]  沒有一個人能得見到神
[00:00:58.900 --> 00:01:02.500]  所以我們的禱告就要為我們所犯的罪求神來赦免
[00:01:02.500 --> 00:01:03.600]  要有認罪
[00:01:03.600 --> 00:01:05.100]  第三方面
[00:01:05.100 --> 00:01:06.300]  你就要去感謝神
[00:01:06.300 --> 00:01:08.400]  因為神不但赦罪還賜福給你
