
[00:00:00.000 --> 00:00:01.000]  好,我先祈禱
[00:00:01.000 --> 00:00:03.000]  真是祈樂、仰望祢
[00:00:03.000 --> 00:00:07.440]  今天在分享祢在我們當中的故事
[00:00:07.440 --> 00:00:11.000]  祢的工作及祢的靈在奉陪著我們
[00:00:11.000 --> 00:00:14.880]  讓我們在回憶祢的作為的時候
[00:00:14.880 --> 00:00:16.200]  來興奮祢的激勵
[00:00:16.200 --> 00:00:18.520]  我們見到神的信息的偉大
[00:00:18.520 --> 00:00:22.000]  見到今天祢要在這個世代做什麼
[00:00:22.000 --> 00:00:23.560]  神仰望祢,讚美祢
[00:00:23.560 --> 00:00:25.560]  奉祷祢的名祈禱,Amen
[00:00:25.560 --> 00:00:27.840]  開始的時候,我想跟大家分享
[00:00:27.840 --> 00:00:29.760]  我上個星期
[00:00:29.920 --> 00:00:31.360]  另外小組當中的事
[00:00:31.360 --> 00:00:35.320]  小組的成員,和大家差不多年紀
[00:00:35.320 --> 00:00:37.320]  都是30歲,鬆一點
[00:00:37.320 --> 00:00:39.720]  不夠40歲的弟兄姊妹
[00:00:39.720 --> 00:00:43.000]  當中來查經等等
[00:00:43.000 --> 00:00:45.280]  我們是在查出埃及記
[00:00:45.280 --> 00:00:49.600]  剛剛查了摩西見到Burning bush
[00:00:49.600 --> 00:00:50.600]  焚燒荊棘
[00:00:50.600 --> 00:00:53.120]  神就給了一個異象,一個命令
[00:00:53.120 --> 00:00:58.200]  叫祂帶祂的同胞離開埃及的聖經
[00:00:58.800 --> 00:01:01.760]  有一個弟兄跟我說
[00:01:01.760 --> 00:01:04.560]  他叫我做Uncle Philip
[00:01:04.560 --> 00:01:09.120]  是否神給人,每個人都有命令
[00:01:09.120 --> 00:01:11.920]  我當時應該是
[00:01:11.920 --> 00:01:14.560]  我就想想,我不想馬上回答他
[00:01:14.560 --> 00:01:16.200]  為什麼呢?
[00:01:16.200 --> 00:01:18.480]  因為我組當中不是每個人都是
[00:01:18.480 --> 00:01:21.320]  有幾個都很特別
[00:01:21.320 --> 00:01:23.000]  他們的工作特別
[00:01:23.000 --> 00:01:26.200]  有一個以往做過歌星
[00:01:26.720 --> 00:01:29.720]  有一個以往想做歌星
[00:01:29.720 --> 00:01:32.320]  有一個就想做明星
[00:01:32.320 --> 00:01:34.240]  做不成明星
[00:01:34.240 --> 00:01:38.400]  有一個是他的職業,他的嗜好
[00:01:38.400 --> 00:01:40.720]  他是在澳洲大學畢業
[00:01:40.720 --> 00:01:43.040]  是在車房修車
[00:01:43.040 --> 00:01:45.520]  他在大坑樹有個店舖
[00:01:45.520 --> 00:01:48.160]  你不認識他,經過就見到他修車
[00:01:48.160 --> 00:01:49.880]  他喜歡做這件事
[00:01:49.880 --> 00:01:52.560]  他又很不聽父母說
[00:01:52.560 --> 00:01:55.120]  叫我讀什麼書,什麼牌,他完全不理
[00:01:55.560 --> 00:01:57.400]  我的嗜好就是修車
[00:01:57.400 --> 00:02:01.200]  他有分享,今天他修燃油車
[00:02:01.200 --> 00:02:04.160]  開始有點糟糕,開一輛電車
[00:02:04.160 --> 00:02:07.720]  他跟我說,下星期我上深圳某大學
[00:02:07.720 --> 00:02:10.120]  學過課程,就是怎樣去修電車
[00:02:10.120 --> 00:02:11.640]  他這樣說
[00:02:11.640 --> 00:02:14.560]  我聽到那個人這樣問我之後
[00:02:14.560 --> 00:02:16.120]  我就不回答他們
[00:02:16.120 --> 00:02:17.720]  我就給他們看一張照片
[00:02:17.720 --> 00:02:18.480]  麻煩看一張照片
[00:02:18.480 --> 00:02:22.520]  這張照片我很難找到
[00:02:22.520 --> 00:02:25.480]  是在淫蠻地的報稅檔的照片
[00:02:26.160 --> 00:02:28.000]  我跟他們說
[00:02:28.000 --> 00:02:33.480]  媽媽,你猜叔叔小時候的夢想是報稅的?
[00:02:33.480 --> 00:02:36.120]  我的工作是報稅的
[00:02:36.120 --> 00:02:38.520]  有沒有人的夢想是報稅的?
[00:02:38.520 --> 00:02:40.520]  沒有的,對吧?
[00:02:40.520 --> 00:02:42.880]  他們就笑,我就開始明白
