
[00:00:00.000 --> 00:00:04.000]  新明紀26章的中心主題
[00:00:04.000 --> 00:00:07.000]  是述說上帝的作為,祂的恩典
[00:00:07.000 --> 00:00:12.000]  以色列人向祂感恩和奉獻
[00:00:12.000 --> 00:00:17.000]  在1至15節是一段禮儀的宣言
[00:00:17.000 --> 00:00:23.000]  以色列人每一年都要讀一次這段宣言
[00:00:23.000 --> 00:00:30.000]  他們進入迦南地後常常去追念神過去對他們的厚恩
[00:00:30.000 --> 00:00:39.000]  每次修成後,他們必定將初熟的草產獻給神
[00:00:39.000 --> 00:00:42.000]  表達他們對神的感恩
[00:00:42.000 --> 00:00:52.000]  此外,他們每三年都會將修成的奉獻給窮人
[00:00:52.000 --> 00:00:55.000]  表示對別人的憐憫
[00:00:55.000 --> 00:01:00.000]  好像我們教會都有一個慈慰奉獻一樣
[00:01:00.000 --> 00:01:08.000]  這裡的奉獻和第十四章提到的每年的十一奉獻是一個額外
[00:01:08.000 --> 00:01:11.000]  即是說除了每年的十一奉獻之外
[00:01:11.000 --> 00:01:16.000]  他們每三年都另外有十一的奉獻
[00:01:16.000 --> 00:01:22.000]  這裡的重點是放在他們進入迦南地後
[00:01:22.000 --> 00:01:28.000]  要將初熟的草產獻給上帝
[00:01:28.000 --> 00:01:33.000]  表示對上帝的回應和愛
[00:01:33.000 --> 00:01:38.000]  他們進入迦南地前,神對他們的訓示
[00:01:38.000 --> 00:01:42.000]  成為他們進入迦南地後的一個淑靈準備
[00:01:42.000 --> 00:01:46.000]  包括了對神的奉獻
[00:01:46.000 --> 00:01:49.000]  樂意去分享主的恩典
[00:01:49.000 --> 00:01:53.000]  和守約了一個聖潔的子民
[00:01:53.000 --> 00:01:58.000]  也成為我們回應神自己請求的大恩
[00:01:58.000 --> 00:02:01.000]  一個淑靈準備
[00:02:01.000 --> 00:02:06.000]  首先提到奉獻初熟的草產
[00:02:06.000 --> 00:02:09.000]  在一至十一節裡有提到
[00:02:09.000 --> 00:02:15.000]  其中第一節形容迦南地是以色列人得以為業之地
[00:02:15.000 --> 00:02:19.000]  好像我們投入柴灣浸順會
[00:02:19.000 --> 00:02:23.000]  這就是我們一個淑靈的家
[00:02:23.000 --> 00:02:29.000]  一樣,以色列人將在迦南地安居樂業
[00:02:29.000 --> 00:02:38.000]  正如我們願意在一個穩定的教會投入去侍奉親近神
[00:02:38.000 --> 00:02:44.000]  每一位基督徒都找他淑靈的根基
[00:02:44.000 --> 00:02:47.000]  這個根基是神所賜
[00:02:47.000 --> 00:02:51.000]  神所預備,他是親自去應許
[00:02:51.000 --> 00:02:56.000]  我們成為他的子民
[00:02:56.000 --> 00:03:02.000]  神為了他自己的名,他的榮耀賜福給以色列人
[00:03:02.000 --> 00:03:06.000]  和每一個願意跟隨他的兒女
[00:03:06.000 --> 00:03:11.000]  神感動了一批宣教士,他的工人
[00:03:11.000 --> 00:03:16.000]  去建立不同的教會,開荒,植堂
[00:03:16.000 --> 00:03:23.000]  讓更多人可以去敬拜他,親近他,尊崇他
[00:03:23.000 --> 00:03:28.000]  初熟的草產就是第一批收成的
[00:03:28.000 --> 00:03:34.000]  初的意思是首先,開始,最好的意思
[00:03:34.000 --> 00:03:40.000]  包括各種穀類,酒,油,蜜糖
[00:03:40.000 --> 00:03:45.000]  還有樹上的果子,獻上初熟的草產
[00:03:45.000 --> 00:03:54.000]  象徵一切都是來自神自己,是從神而來
[00:03:54.000 --> 00:04:02.000]  每一個以色列的家庭,他們有責任向上帝獻上初熟的草產
[00:04:02.000 --> 00:04:09.000]  由家長代表獻上,奉獻者將這個奉獻的禮物
[00:04:09.000 --> 00:04:17.000]  放在一個籃子上,帶到敬拜的地方,即是聖殿
[00:04:17.000 --> 00:04:23.000]  以色列人繼續每年獻上初熟的草產
[00:04:23.000 --> 00:04:26.000]  不斷存在一個感恩的心
[00:04:26.000 --> 00:04:32.000]  承認耶和華自己對他們的恩斂,愛護,他的良善
[00:04:32.000 --> 00:04:36.000]  到底什麼是第一批的收成呢?
[00:04:36.000 --> 00:04:44.000]  在屬靈上,我們常常都會奉獻自己去侍奉神
[00:04:44.000 --> 00:04:54.000]  不過總是留下最好的給自己,來工作,建立家庭
[00:04:54.000 --> 00:05:01.000]  當我們發現自己事業有成,有一個穩定的家庭
[00:05:01.000 --> 00:05:07.000]  就是時候我們要獻上最好的給神
[00:05:07.000 --> 00:05:16.000]  我們可以單單為神的緣故,你會奉獻什麼給祂呢?
[00:05:16.000 --> 00:05:24.000]  可能是你下半生的年日,可能你離開你的工作
