
[00:00:00.000 --> 00:00:04.000]  我們第一堂就講了「求求其其,不求其」
[00:00:04.000 --> 00:00:06.740]  即是我們的禱告是我們很習慣的
[00:00:06.740 --> 00:00:09.880]  但有時候我們忽略了當中的意義
[00:00:09.880 --> 00:00:13.340]  我們特別強調禱告不只是去求的
[00:00:13.340 --> 00:00:16.240]  而我們禱告是和神有一個交往
[00:00:16.240 --> 00:00:18.740]  建立更深的關係
[00:00:18.740 --> 00:00:21.700]  第二堂我們就會講到現在我們身在海外
[00:00:21.700 --> 00:00:24.420]  特別我們已經一段很長時間留在這裏的時候
[00:00:24.420 --> 00:00:25.940]  我們生活很穩定了
[00:00:25.940 --> 00:00:28.060]  但我們如果見到某一個地方
[00:00:28.060 --> 00:00:30.220]  特別是和自己有密切關係的
[00:00:30.220 --> 00:00:32.720]  可能是香港 可能是中國
[00:00:32.720 --> 00:00:36.640]  如果你見到他們一些人可能是否在困境當中
[00:00:36.640 --> 00:00:41.640]  我們已經很穩定 但我們會怎樣去紀念他們呢?
[00:00:41.640 --> 00:00:49.360]  我們就看黎希敏 她身居高位
[00:00:49.360 --> 00:00:54.540]  但是她知道自己的同胞受著苦楚
[00:00:54.540 --> 00:00:56.880]  她就在神面前來禱告
[00:00:56.880 --> 00:00:59.060]  我們看到她禱告的內容
[00:00:59.060 --> 00:01:01.180]  她對神有一個確認
[00:01:01.180 --> 00:01:05.860]  我們說你是天上至高而可畏的神
[00:01:05.860 --> 00:01:10.960]  然後拿著神的應許和神彌帶去分享
[00:01:10.960 --> 00:01:14.580]  這個應許是記載在《生命記》裏面的
[00:01:14.580 --> 00:01:17.120]  去確認神是一個信實的神
[00:01:17.120 --> 00:01:18.560]  然後呼求神
[00:01:18.560 --> 00:01:25.540]  我們就記著有需要的人
[00:01:25.540 --> 00:01:29.800]  包括現在印度 台灣的疫情嚴重
[00:01:29.800 --> 00:01:35.260]  緬甸的軍人鎮壓 受著很多百姓的苦楚
[00:01:35.260 --> 00:01:38.600]  還有香港 中國 我們都需要為他們禱告的
[00:01:38.600 --> 00:01:40.440]  所以我們是異地同心
[00:01:40.440 --> 00:01:42.480]  但我們一起彌帶他們去發功
[00:01:42.480 --> 00:01:46.340]  第三堂就是昨天我們所說的
[00:01:46.340 --> 00:01:51.000]  我們在愛裏面去為一些人來禱告
[00:01:51.000 --> 00:01:52.640]  但是我們真情傾討的時候
[00:01:52.640 --> 00:01:54.300]  有時候不是求祝福
[00:01:54.300 --> 00:01:57.160]  我們是期望他遇到苦楚
[00:01:57.160 --> 00:01:58.280]  為什麼呢?
[00:01:58.280 --> 00:02:01.680]  就是因為很可能他在犯錯
[00:02:01.680 --> 00:02:04.100]  你虧欠他都不聽的時候
[00:02:04.100 --> 00:02:07.000]  你就期望他遇到一些苦楚
[00:02:07.000 --> 00:02:08.440]  然後他有所反省
[00:02:08.440 --> 00:02:11.160]  我們就用以利亞去祈禱
[00:02:11.160 --> 00:02:14.700]  原來以利亞不只是最近那一次
[00:02:14.700 --> 00:02:16.620]  就是在加密山上祈禱
