
[00:00:00.000 --> 00:00:08.000]  現在我們就來看看 人類在開始第二代出現的一些故事
[00:00:08.000 --> 00:00:14.000]  我在上次講的時間 講到該隱殺了他的弟弟
[00:00:14.000 --> 00:00:19.000]  跟了下來 他就被趕出伊甸園
[00:00:19.000 --> 00:00:24.000]  趕出伊甸園了以後 發生了什麼事呢
[00:00:24.000 --> 00:00:32.000]  我們一起來讀《創世紀》第四章十七到二十四節
[00:00:32.000 --> 00:00:35.000]  各位早到 我們一起來讀這一段聖經
[00:00:35.000 --> 00:00:40.000]  該隱與妻子同訪 他妻子就懷孕 生了以洛
[00:00:40.000 --> 00:00:46.000]  該隱建造了一座城 就按照他兒子的名把那座城叫做以洛
[00:00:46.000 --> 00:00:50.000]  以洛生以拿 以拿生米呼亞歷
[00:00:50.000 --> 00:00:55.000]  米呼亞歷生馬吐沙歷 馬吐沙歷生拉麥
[00:00:55.000 --> 00:01:00.000]  拉麥娶了兩個妻 一個名叫亞大 一個名叫喜拉
[00:01:00.000 --> 00:01:06.000]  亞大生亞八 亞八就是住帳篷 牧養生疏之人的祖師
[00:01:06.000 --> 00:01:12.000]  亞八的兄弟名叫尤八 他是一切彈琴吹簫之人的祖師
[00:01:12.000 --> 00:01:15.000]  喜拉又生了土八 該隱
[00:01:15.000 --> 00:01:22.000]  他是打造各樣銅鐵利器的 土八該隱的妹子是拿麻
[00:01:22.000 --> 00:01:27.000]  拉麥對他的兩個妻子說 亞大喜拉 聽我的聲音
[00:01:27.000 --> 00:01:30.000]  拿麻的妻子細聽我的話語
[00:01:30.000 --> 00:01:37.000]  壯年人傷我 我把他殺了 少年人損我 我把他害了
[00:01:37.000 --> 00:01:46.000]  若殺該隱 遭報七倍 殺拉麥必遭報七十七倍
[00:01:46.000 --> 00:01:48.000]  這一段聖經當中
[00:01:48.000 --> 00:01:54.000]  我們看見有很多不同的改變出現在人類當中
[00:01:54.000 --> 00:01:58.000]  人類在開始的時間 神造了亞當
[00:01:58.000 --> 00:02:04.000]  跟了下來從亞當的身上取了一根肋骨造成了夏娃
[00:02:04.000 --> 00:02:08.000]  後來就把他們兩個人放在一起的時間
[00:02:08.000 --> 00:02:14.000]  亞當非常清楚他跟他妻子夏娃的關係
[00:02:14.000 --> 00:02:16.000]  他稱他的妻子是什麼呢
[00:02:16.000 --> 00:02:20.000]  你是我骨中的骨 肉中的肉
[00:02:20.000 --> 00:02:22.000]  另外一方面 聖經也記載
[00:02:22.000 --> 00:02:29.000]  因此人要離開父母 與一個妻子聯合
[00:02:29.000 --> 00:02:31.000]  兩個人成爲一體
[00:02:31.000 --> 00:02:35.000]  我們非常清楚地看得見 非常清楚地記載
[00:02:35.000 --> 00:02:40.000]  妻子是丈夫的骨中的骨 肉中的肉
[00:02:40.000 --> 00:02:44.000]  這種的關係是分不開的關係 是一體的關係
[00:02:44.000 --> 00:02:47.000]  第二個方面 也非常清楚地講到
[00:02:47.000 --> 00:02:51.000]  婚姻是一個男一個女 一個夫一個妻
[00:02:51.000 --> 00:02:54.000]  兩個人要成爲一體的
[00:02:54.000 --> 00:02:57.000]  我最近因爲我的女兒結了婚
[00:02:57.000 --> 00:03:01.000]  我的女士就請了她 邀請了她
[00:03:01.000 --> 00:03:04.000]  家裏面很多不同的親戚一起
[00:03:04.000 --> 00:03:06.000]  我們就跟他們喫飯
[00:03:06.000 --> 00:03:08.000]  在喫飯的過程當中
[00:03:08.000 --> 00:03:10.000]  我也把他們當作家人一樣
[00:03:10.000 --> 00:03:13.000]  所以因爲這個緣故 我們就有好的開始
[00:03:13.000 --> 00:03:16.000]  我們就建議以後
[00:03:16.000 --> 00:03:21.000]  我希望一個禮拜可以跟他們飲一次茶
[00:03:21.000 --> 00:03:22.000]  怎麼飲茶呢
