
[00:00:00.000 --> 00:00:02.520]  剛才讀的兩段經文
[00:00:02.520 --> 00:00:05.080]  有兩個主線的人物
[00:00:05.080 --> 00:00:08.520]  很多時候都會搞得我們頭都大了
[00:00:08.520 --> 00:00:10.600]  一個是耶羅邦安
[00:00:10.600 --> 00:00:11.920]  一個是羅邦安
[00:00:11.920 --> 00:00:14.600]  邦安邦安搞得亂七八糟
[00:00:14.600 --> 00:00:17.360]  不是很難分辨的
[00:00:17.360 --> 00:00:20.040]  李旺基上十二章
[00:00:20.040 --> 00:00:23.400]  就說到一個已發年人
[00:00:23.400 --> 00:00:25.880]  耶羅邦安
[00:00:25.880 --> 00:00:29.880]  他就是被揀選為北面十個支派的王
[00:00:29.880 --> 00:00:32.600]  是成立以色列國的
[00:00:32.600 --> 00:00:34.640]  他原本只不過是
[00:00:34.640 --> 00:00:39.960]  所羅門手下一個負責建城牆的人
[00:00:39.960 --> 00:00:41.960]  那怎麼記他的名字呢
[00:00:41.960 --> 00:00:43.960]  我就覺得很簡單
[00:00:43.960 --> 00:00:45.960]  以色列十二支派
[00:00:45.960 --> 00:00:47.960]  他作十個支派
[00:00:47.960 --> 00:00:49.000]  多一點的
[00:00:49.000 --> 00:00:50.480]  所以他的名字是長一點的
[00:00:50.480 --> 00:00:52.360]  四個字
[00:00:52.360 --> 00:00:54.360]  耶羅邦安十個支派
[00:00:54.360 --> 00:00:56.000]  北國的王
[00:00:56.000 --> 00:00:58.480]  那剩下來的也沒有多少
[00:00:58.480 --> 00:01:00.880]  就是南國的羅邦安
[00:01:00.880 --> 00:01:02.240]  短一點的
[00:01:02.240 --> 00:01:04.240]  羅邦安
[00:01:04.240 --> 00:01:07.520]  英文譯他就是Real Bomb
[00:01:07.520 --> 00:01:09.040]  讀得不是很清楚
[00:01:09.040 --> 00:01:10.800]  就變成了Real Bomb
[00:01:10.800 --> 00:01:12.240]  真正的炸彈
[00:01:12.240 --> 00:01:14.840]  事實上真的是真正的炸彈
[00:01:14.840 --> 00:01:17.680]  十二章說到羅邦安
[00:01:17.680 --> 00:01:21.400]  承繼所羅門的王位的時候
[00:01:21.400 --> 00:01:23.160]  很不智
[00:01:23.160 --> 00:01:24.040]  盲目
[00:01:24.040 --> 00:01:26.040]  也可以說很高傲
[00:01:26.040 --> 00:01:28.920]  宣稱他要比父親所羅門
[00:01:28.920 --> 00:01:32.400]  作更加嚴厲的對待百姓
[00:01:32.400 --> 00:01:33.600]  不僅不減稅
[00:01:33.600 --> 00:01:34.960]  不僅不減低奴役
[00:01:34.960 --> 00:01:38.400]  更加要壓榨多一點
[00:01:38.400 --> 00:01:40.000]  這番話
[00:01:40.000 --> 00:01:42.000]  就真是一個Real Bomb
[00:01:42.000 --> 00:01:44.000]  炸走了十個支派
[00:01:44.000 --> 00:01:46.000]  那就很容易記了
[00:01:46.000 --> 00:01:48.000]  Real Bomb 羅邦安
[00:01:48.000 --> 00:01:48.720]  是所羅門的
[00:01:48.720 --> 00:01:50.120]  炸走了十二支派
[00:01:50.120 --> 00:01:52.520]  其中十個支派歸了
[00:01:52.520 --> 00:01:54.520]  耶羅邦安在北國以色列
[00:01:57.040 --> 00:01:58.560]  這兩個人物
[00:01:58.560 --> 00:02:00.560]  和「乞兔盲蛇」有什麼關係呢?
[00:02:00.560 --> 00:02:05.720]  「乞兔盲蛇」是一個粵語的故事
[00:02:05.720 --> 00:02:07.240]  就是說兔媽媽
[00:02:07.240 --> 00:02:11.840]  悉心教導一隻出世已經盲了眼的兔子
[00:02:11.840 --> 00:02:13.840]  教他怎樣去謀生
[00:02:13.840 --> 00:02:15.520]  教他逃生的技能
[00:02:15.520 --> 00:02:18.240]  更加重要的就是不斷重複
[00:02:18.240 --> 00:02:19.520]  去形容
[00:02:19.520 --> 00:02:22.840]  一些他必須逃避的危險猛獸
[00:02:22.840 --> 00:02:28.280]  無論他的聲音
[00:02:28.280 --> 00:02:29.960]  或者氣味
[00:02:29.960 --> 00:02:33.640]  甚至乎是一些摸得到的特徵
[00:02:33.640 --> 00:02:36.880]  有一天
[00:02:36.880 --> 00:02:38.160]  乞兔出去
[00:02:38.160 --> 00:02:39.440]  不經意就踢到東西
[00:02:39.440 --> 00:02:40.560]  「砰砰」掉在地上
[00:02:40.560 --> 00:02:41.720]  頭昏腦脹的時候
[00:02:41.720 --> 00:02:43.000]  突然之間就聽到
[00:02:43.000 --> 00:02:45.000]  一把兇巴巴的聲音
[00:02:45.000 --> 00:02:48.120]  怎麼搞的
[00:02:48.120 --> 00:02:50.120]  瞎子都還踩一腳
[00:02:50.120 --> 00:02:52.640]  乞兔很害怕
[00:02:52.640 --> 00:02:53.920]  馬上道歉
[00:02:53.920 --> 00:02:56.640]  「對不起,我也是盲的」
[00:02:56.640 --> 00:02:58.160]  「我看不到的」
[00:02:58.160 --> 00:03:00.640]  「你是誰?」
[00:03:00.640 --> 00:03:01.640]  「不知道」
[00:03:01.640 --> 00:03:02.920]  「你呢?」
[00:03:02.920 --> 00:03:05.560]  「我媽媽叫我乞兔」
[00:03:05.560 --> 00:03:06.360]  「不如這樣」
[00:03:06.360 --> 00:03:08.440]  「讓我摸摸你」
[00:03:08.440 --> 00:03:09.840]  「因為我媽媽也說過」
[00:03:09.840 --> 00:03:11.760]  「很多關於不同的動物的」
[00:03:11.760 --> 00:03:14.360]  「我摸摸可能會知道你是誰」
[00:03:14.360 --> 00:03:16.120]  「你也可以摸摸我」
[00:03:16.120 --> 00:03:16.840]  「我是兔子」
[00:03:16.840 --> 00:03:18.840]  「那你以後就知道兔子是怎樣的了」
[00:03:20.480 --> 00:03:23.000]  當乞兔準備摸對方的時候
[00:03:23.000 --> 00:03:25.000]  他聽到「鼠鼠」的聲音
[00:03:25.000 --> 00:03:26.320]  他心想
[00:03:26.320 --> 00:03:27.760]  「沒錯,沒錯」
[00:03:27.760 --> 00:03:29.360]  他靜靜地摸
[00:03:29.360 --> 00:03:30.360]  一邊摸
[00:03:30.360 --> 00:03:31.440]  一邊心想
[00:03:31.440 --> 00:03:32.840]  「嘻,這麼有趣」
[00:03:32.840 --> 00:03:34.160]  「軟軟的」
[00:03:34.160 --> 00:03:35.200]  「怎麼摸也有」
[00:03:35.200 --> 00:03:38.680]  「這麼長」
[00:03:38.680 --> 00:03:39.480]  同一時間
[00:03:39.480 --> 00:03:40.920]  乞兔又感覺到對方
[00:03:40.920 --> 00:03:42.960]  不是在摸他
[00:03:42.960 --> 00:03:43.720]  摸得很有趣
[00:03:43.720 --> 00:03:44.960]  只是抱緊他
[00:03:44.960 --> 00:03:46.040]  還越抱越緊
[00:03:46.040 --> 00:03:49.480]  抱到他開始喘不上氣
[00:03:49.480 --> 00:03:52.040]  他又聽到「鼠鼠」的聲音
[00:03:52.040 --> 00:03:53.840]  乞兔想起了
[00:03:53.840 --> 00:03:59.320]  「原來你是……」
[00:03:59.320 --> 00:04:03.520]  乞兔雖然聽過媽媽的一番吩咐
[00:04:03.520 --> 00:04:05.760]  不過他沒有積極防備
[00:04:05.760 --> 00:04:07.960]  聽到蛇的舌頭在「鼠鼠」的聲音
[00:04:07.960 --> 00:04:09.880]  摸得軟軟的、長長的
[00:04:09.880 --> 00:04:13.360]  他還不趕快離開
[00:04:13.360 --> 00:04:16.840]  他還邀請蛇跟他摸著摸著
[00:04:16.840 --> 00:04:18.200]  與蛇共舞
[00:04:18.200 --> 00:04:20.080]  結果
[00:04:20.080 --> 00:04:23.040]  乞兔不懂得逃避
[00:04:23.040 --> 00:04:26.640]  蛇原來不用眼睛也能解決
[00:04:26.640 --> 00:04:30.000]  蛇的舌頭可以辨別到不同的氣味
[00:04:30.000 --> 00:04:31.520]  他的聽覺
[00:04:31.520 --> 00:04:35.200]  可以聽到動物的各種聲音
