
[00:00:00.000 --> 00:00:02.920]  我們在祖裏面,在神的面前一起
[00:00:02.920 --> 00:00:06.100]  恭聽祂的話語,我們一起祈禱
[00:00:06.100 --> 00:00:12.240]  親愛的主人,謝謝你,無論是哪個堂會
[00:00:12.240 --> 00:00:15.500]  全部屬於你,你用愛來交繼我們
[00:00:15.500 --> 00:00:18.860]  我們在你面前,在這麼好的環境裏面
[00:00:18.860 --> 00:00:21.920]  和弟兄姊妹朋友一起來聽你的話
[00:00:21.920 --> 00:00:23.880]  多麼有福氣
[00:00:23.880 --> 00:00:27.500]  求你給我們打開你的話語的時候
[00:00:27.500 --> 00:00:29.900]  同時打開我們的心
[00:00:30.160 --> 00:00:31.300]  來聖戰
[00:00:31.300 --> 00:00:33.980]  帶領我們,鼓勵我們
[00:00:33.980 --> 00:00:35.760]  讓我們能活出來
[00:00:35.760 --> 00:00:40.100]  謝謝你聽禱告,奉靠主耶穌基督的名字
[00:00:40.100 --> 00:00:41.300]  Amen
[00:00:41.300 --> 00:00:44.900]  今天題目,基督徒
[00:00:44.900 --> 00:00:46.220]  從那裏開始
[00:00:46.220 --> 00:00:49.080]  我很相信
[00:00:49.080 --> 00:00:52.520]  這個教會,傳恩堂
[00:00:52.520 --> 00:00:54.240]  是傳
[00:00:54.240 --> 00:00:56.800]  神的恩典,對嗎
[00:00:56.800 --> 00:00:58.120]  傳
[00:00:58.740 --> 00:01:02.100]  救恩,應該沒錯吧,肯定中一個
[00:01:02.100 --> 00:01:05.940]  我剛纔在下邊喫早餐的時候
[00:01:05.940 --> 00:01:08.760]  有一個過來跟我談話
[00:01:08.760 --> 00:01:11.680]  我是傳道人嘛,我一定傳道的
[00:01:11.680 --> 00:01:15.020]  如果他信主的話,我就傳神的恩典
[00:01:15.020 --> 00:01:18.200]  如果他沒信,剛纔我發現他沒信
[00:01:18.200 --> 00:01:20.280]  他說他家裏面有人信,他沒信
[00:01:20.280 --> 00:01:22.080]  所以我就傳福音
[00:01:22.080 --> 00:01:25.340]  所以我們這個地方就是傳恩的地方,對不對
[00:01:25.340 --> 00:01:29.000]  來到這裏我一定要做你們使命的東西
[00:01:29.000 --> 00:01:31.860]  再提外話,但是傳恩怎麼傳法呢
[00:01:31.860 --> 00:01:33.800]  就看了今天,我們講到
[00:01:33.800 --> 00:01:36.460]  基督,我們是高舉基督的,對不對
[00:01:36.460 --> 00:01:40.360]  我們擁抱社區,其實是想把基督的愛傳出去
[00:01:40.360 --> 00:01:43.660]  永生一人,對不對
[00:01:43.660 --> 00:01:45.440]  怎麼有永生一人呢
[00:01:45.440 --> 00:01:48.040]  你看這個經文
[00:01:48.040 --> 00:01:51.140]  從哪裏開始
[00:01:51.140 --> 00:01:54.440]  幹嘛不是教堂呢
[00:01:54.840 --> 00:01:57.740]  我們經常每個禮拜,這裏就是講愛的地方
[00:01:57.740 --> 00:02:01.500]  哥利西書三章十八到二十一節
