
[00:00:00.000 --> 00:00:05.600]  各位我們今天繼續思想基督教豐盛生命堂的使命
[00:00:05.600 --> 00:00:10.300]  我們蒙召是為了歡欣敬拜真神
[00:00:10.300 --> 00:00:12.000]  今天是講第二樣
[00:00:12.000 --> 00:00:15.300]  就是要喜愛 遵從聖經
[00:00:15.300 --> 00:00:18.800]  求主席著詩篇一百一十九篇
[00:00:18.800 --> 00:00:24.000]  是激發我們這一種愛慕神話語
[00:00:24.000 --> 00:00:28.800]  並且落實進行的心智
[00:00:28.800 --> 00:00:31.500]  詩篇一百一十九篇
[00:00:31.500 --> 00:00:35.600]  多少位已經讀過的舉手看下
[00:00:35.600 --> 00:00:41.200]  多少位完全未曾讀過這篇詩篇的人舉手看下
[00:00:41.200 --> 00:00:45.200]  大部份人似乎我們三堂裏面
[00:00:45.200 --> 00:00:50.600]  這一堂是最多讀過詩篇一百一十九篇的人
[00:00:50.600 --> 00:00:54.200]  我想今天至少我們做成一件事
[00:00:54.200 --> 00:00:59.400]  就是你走之前你能夠將詩篇一百一十九篇
[00:00:59.400 --> 00:01:04.400]  其中一節背了它
[00:01:04.400 --> 00:01:08.200]  可能你都想起有些經文你是懂得的
[00:01:08.200 --> 00:01:15.900]  譬如少年人
[00:01:15.900 --> 00:01:18.400]  好像不是很多人懂得這節
[00:01:18.400 --> 00:01:22.000]  因為這裏不是太多少年人
[00:01:22.000 --> 00:01:24.800]  但其實記這一節都無妨
[00:01:24.800 --> 00:01:26.600]  是對我們一生有益的
[00:01:26.600 --> 00:01:30.800]  少年人用什麼潔淨他的行為呢
[00:01:30.800 --> 00:01:34.000]  是要遵行你的話
[00:01:34.000 --> 00:01:35.600]  另外一節是
[00:01:35.600 --> 00:01:42.400]  我將你的話
[00:01:42.400 --> 00:01:44.000]  很多人都懂得
[00:01:44.000 --> 00:01:45.800]  我將你的話藏在心裏
[00:01:45.800 --> 00:01:48.400]  免得我得罪你
[00:01:48.400 --> 00:01:49.800]  還有呢
[00:01:49.800 --> 00:01:54.000]  你的話是我腳前的燈
[00:01:54.000 --> 00:01:56.200]  路上的光
[00:01:56.200 --> 00:01:59.600]  所以其實都已經有幾節都懂得
[00:01:59.600 --> 00:02:02.800]  耶和華你的話語
[00:02:02.800 --> 00:02:06.000]  安定在天直到永遠
[00:02:06.000 --> 00:02:08.200]  求你開我的眼睛
[00:02:08.200 --> 00:02:11.600]  使我看出你律法的奇妙
[00:02:11.600 --> 00:02:14.200]  我受苦是與我有益
[00:02:14.200 --> 00:02:18.600]  為要使我學習你的律例
[00:02:18.600 --> 00:02:21.600]  我們會記得
[00:02:21.600 --> 00:02:24.400]  詩篇一百一十九篇
