
[00:00:00.000 --> 00:00:10.380]  我請大家說這句話的原因是要提醒我們沒有人是一座孤島
[00:00:10.380 --> 00:00:19.760]  我們不孤單,因為在耶穌基督裡我們都是家人
[00:00:19.760 --> 00:00:32.380]  我相信透過人跟人之間的關係,我們可以感受到生命中的祝福跟喜樂
[00:00:32.380 --> 00:00:44.680]  但是我們生命中所經歷到最大的痛苦與傷害,往往也是來自他人
[00:00:44.680 --> 00:01:00.840]  無論是一句傷人的話,或是重傷的事件,在各樣的人際關係裡,我們難免都會嘗到酸甜苦辣的滋味
[00:01:00.840 --> 00:01:07.880]  幾年前我曾經聽過這樣的一個故事
[00:01:07.880 --> 00:01:18.860]  有一天,一個小女孩發現媽媽的頭髮上長了好多根白頭髮
[00:01:18.860 --> 00:01:29.560]  小女孩望著媽媽說:「媽媽,為什麼妳的頭髮有這麼多白色的呢?」
[00:01:29.560 --> 00:01:46.640]  媽媽回答女兒:「每當妳做錯了什麼,讓我哭的時候,每一根頭髮都會變成白色的」
[00:01:46.640 --> 00:02:01.060]  小女孩想了想,接著便說:「媽媽,為什麼外婆的頭髮全都是白色的呢?」
[00:02:01.060 --> 00:02:17.920]  或許我覺得很好笑,但是無可否認的,那些傷害我們最深的人,往往是我們最愛的人
[00:02:17.920 --> 00:02:30.440]  我們最愛的與最愛我們的,難道不就是我們最親密的家人嗎?
[00:02:30.440 --> 00:02:41.640]  這也就是為什麼當家人離世的時候,對我們的衝擊是那麼的深、那麼的大
[00:02:41.640 --> 00:02:56.440]  而當我們的家中有人離家出走,或是有親人、有精神跟身體上的疾病,我們也是如此的徹夜難眠
[00:02:56.440 --> 00:03:17.240]  無論如何,我們都經歷過無可避免的痛苦,但我相信有些人受過更多的痛苦,而我們從沒經歷過的痛苦
[00:03:17.240 --> 00:03:33.240]  我相信當我們能夠看他如何戰勝他的憂鬱跟他的焦慮之後,我們也可以同樣得到生命的突破
[00:03:33.240 --> 00:03:45.840]  那我說的這個人就是大衛王,今天早上我們要來看他所寫的三篇、十篇
[00:03:45.840 --> 00:04:03.440]  那這三篇當中最有名的一定就是十篇二十三篇了,而這個十篇也剛好是劉同慕師在一年前的今天所跟大家分享的訊息
[00:04:03.440 --> 00:04:16.440]  所以我才想說,不如我們一起來看劉同慕師講到的回放影片吧
[00:04:16.440 --> 00:04:33.240]  開個玩笑,雖然我們講的都是十篇二十三篇,但是今天的講到內容是會環繞在十篇二十三篇的上下文
[00:04:33.240 --> 00:04:41.440]  我們知道十篇二十三篇是三部曲中的第一部
[00:04:41.440 --> 00:05:02.040]  十篇二十二篇講的就是將來要施行拯救的救贖主,十篇二十三篇就是要講到安慰與引導我們的大慕者
[00:05:02.040 --> 00:05:06.440]  十篇二十四篇講的就是賜下祝福與榮耀的大君王
[00:05:06.440 --> 00:05:29.640]  在十篇二十二篇的開頭,大衛就如此說,我的神,我的神,為什麼離棄我,為什麼遠離不救我,不聽我哀恨的言語
[00:05:29.640 --> 00:05:33.840]  那大衛為什麼會這樣說呢?
[00:05:33.840 --> 00:06:00.840]  那從大衛的習俗來看,大衛的成長背景,我們會發現原來大衛從小就是被家人跟社會拒絕的邊緣人
[00:06:00.840 --> 00:06:07.640]  我們看到大衛自己說,我的弟兄看我為外路人,我的同胞看我為外邦人
[00:06:07.640 --> 00:06:33.440]  我們也看到耶穌把他的兒子召集過來,因為上帝要高其中一個人為王,但是從一開始大衛就沒有被考慮到,也沒有被要求前來
[00:06:33.440 --> 00:06:48.440]  我的兄弟姊妹,我們有多少人可以跟大衛相關,我們被別人看扁了,我們覺得被遺忘了
[00:06:48.440 --> 00:07:05.440]  大衛在十篇,二十二篇,六到七節中,他自己也承認了這一點,他哭喊著說,但我是蟲不是人,被眾人羞辱,被百姓藐視
[00:07:05.440 --> 00:07:20.440]  凡看見我的都吃笑我,他們撇嘴搖頭
[00:07:20.440 --> 00:07:35.440]  如同大衛,很多時候在我們人生的關卡跟困境中,我們也是只問,上帝你在哪裡
[00:07:35.440 --> 00:08:01.440]  十篇二篇描述的是大衛生命中最黑暗的時刻之一,因為在那個時候,他不僅覺得他被自己,而他不僅被家人拋棄了,他甚至連上帝都拋棄了他一樣
[00:08:01.440 --> 00:08:28.440]  但我們知道在兩千多年後,耶穌不會忘記,而是會記住大衛在二十二篇上說,我的神,我的神,為什麼離棄我
[00:08:28.440 --> 00:08:53.440]  所以我們看到的是,大衛在二十二篇上不僅是在描述自己的狀況,而是在說道,將來的彌賽亞會同樣被家人與朋友鄙視和拒絕
[00:08:53.440 --> 00:09:08.440]  所以十篇二十二篇所記載的,不只是大衛在呼喊上帝離棄了他,其實這更是預指了耶穌
[00:09:08.440 --> 00:09:25.440]  耶穌應證了這個預言,並且親自成為大衛的答案,他在十字架上說,我在這裡
[00:09:25.440 --> 00:09:38.440]  因為耶穌記得大衛的哭求,所以他來了,他來回應大衛的哭求
[00:09:38.440 --> 00:09:53.440]  上帝沒有忘記在患難中的大衛,同樣的上帝也不會忘記在患難中的你
[00:09:53.440 --> 00:10:08.440]  耶穌不僅知道我們的痛苦,他更是親身經歷過一樣的傷害
[00:10:08.440 --> 00:10:27.440]  在大衛在二十二篇中的痛苦中,我們看到大衛在二十三篇中,從十二篇到二十三篇,有了三百六十度的打翻轉
[00:10:27.440 --> 00:10:41.440]  大衛在十三篇第一到三節中說了,儘管他在困苦之中,上帝並沒有拋棄他
[00:10:41.440 --> 00:11:00.440]  大衛在二十三篇第一節中說,耶和華是我的牧者,我必不知缺乏
[00:11:00.440 --> 00:11:13.440]  所以在一開頭,大衛先認定了耶和華是祂的主,是祂的牧者,是哪位帶領祂的神
[00:11:13.440 --> 00:11:34.440]  那我想讓大家看一個視頻,就是看羊群被路人甲或是被牧羊人交換的時候,他們的反應各是什麼
[00:11:34.440 --> 00:11:44.440]  讓我們一起來看視頻
[00:12:04.440 --> 00:12:09.440]  (羊群被路人甲,羊群被路人甲)
[00:12:09.440 --> 00:12:14.440]  (羊群被路人甲,羊群被路人甲)
[00:12:14.440 --> 00:12:19.440]  (羊群被路人甲,羊群被路人甲)
[00:12:19.440 --> 00:12:24.440]  (羊群被路人甲,羊群被路人甲)
[00:12:24.440 --> 00:12:42.440]  (羊群被路人甲,羊群被路人甲)
[00:12:42.440 --> 00:12:58.440]  (羊群被路人甲,羊群被路人甲)
[00:12:58.440 --> 00:13:14.440]  (羊群被路人甲,羊群被路人甲)
[00:13:14.440 --> 00:13:34.440]  (羊群被路人甲,羊群被路人甲)
[00:13:34.440 --> 00:13:57.440]  (羊群被路人甲,羊群被路人甲)
[00:13:57.440 --> 00:14:11.440]  (羊群被路人甲,羊群被路人甲)
[00:14:11.440 --> 00:14:25.440]  (羊群被路人甲,羊群被路人甲)
[00:14:25.440 --> 00:14:45.440]  (羊群被路人甲,羊群被路人甲)
[00:14:45.440 --> 00:14:54.440]  (羊群被路人甲,羊群被路人甲)
[00:14:54.440 --> 00:15:09.440]  (羊群被路人甲,羊群被路人甲)
[00:15:09.440 --> 00:15:19.440]  (羊群被路人甲,羊群被路人甲)
[00:15:19.440 --> 00:15:32.440]  (羊群被路人甲,羊群被路人甲)
[00:15:32.440 --> 00:15:40.440]  (羊群被路人甲,羊群被路人甲)
[00:15:40.440 --> 00:15:48.440]  (羊群被路人甲,羊群被路人甲)
[00:15:48.440 --> 00:15:54.440]  (羊群被路人甲,羊群被路人甲)
[00:15:54.440 --> 00:16:04.440]  (羊群被路人甲,羊群被路人甲)
