
[00:00:00.000 --> 00:00:01.480]  頂智媚平安
[00:00:01.480 --> 00:00:06.560]  包括沙田堂回復的頂智媚平安
[00:00:06.560 --> 00:00:09.600]  不知道大家有沒有經歷過
[00:00:09.600 --> 00:00:14.680]  在遠方裡面有一些未信的朋友、親友
[00:00:14.680 --> 00:00:17.320]  來電郵你
[00:00:17.320 --> 00:00:21.680]  問一些關於你所信的信仰的問題
[00:00:21.680 --> 00:00:24.400]  或者一些信仰的難題
[00:00:24.400 --> 00:00:27.600]  當你收到這些電郵的時候
[00:00:28.840 --> 00:00:30.360]  你的心境是如何呢
[00:00:30.360 --> 00:00:32.160]  哎呀 大件事了
[00:00:32.160 --> 00:00:33.840]  要回答很久了
[00:00:33.840 --> 00:00:36.240]  加上還電郵
[00:00:36.240 --> 00:00:39.480]  我打字也打不靈光 怎麼回覆呢
[00:00:39.480 --> 00:00:41.720]  我不知道你有沒有這樣的經歷
[00:00:41.720 --> 00:00:43.960]  無論你有沒有
[00:00:43.960 --> 00:00:46.480]  我經歷了很多 很痛苦的
[00:00:46.480 --> 00:00:48.640]  因為打字對我來說是非常
[00:00:48.640 --> 00:00:51.000]  不容易的事 雖然經常都要打
[00:00:51.000 --> 00:00:53.520]  但絕對不是我很想打的事情
[00:00:53.520 --> 00:00:57.000]  無論怎麼樣 聖經人物路加
[00:00:58.000 --> 00:01:01.160]  就是要面對一個很重的人物
[00:01:01.160 --> 00:01:03.880]  在信仰上面對他發出的問題
[00:01:03.880 --> 00:01:05.360]  去作出一個回覆
[00:01:05.360 --> 00:01:08.360]  路加福音一章一至四節
[00:01:08.360 --> 00:01:11.120]  或者我們一起根據螢幕中讀 好嗎
[00:01:11.120 --> 00:01:11.920]  預備起
[00:01:11.920 --> 00:01:14.320]  在大地獄的大巨蚊
[00:01:14.320 --> 00:01:17.040]  有很多人不斷作祟
[00:01:17.040 --> 00:01:20.440]  順順在我門中間所實現的祭祀
[00:01:20.440 --> 00:01:24.320]  此次要傳道的人從其所趁蚊子旁邊
[00:01:24.480 --> 00:01:28.320]  向我們傳道光明的祭祀宗我從天下
[00:01:28.320 --> 00:01:30.120]  保佑全世界的財神園
[00:01:30.120 --> 00:01:33.240]  我又想向我祭祀的聖神園
[00:01:33.240 --> 00:01:37.240]  表揚你所有所學的祭祀宗我室內
[00:01:37.240 --> 00:01:39.440]  在大地獄的大巨蚊
