
[00:00:00.000 --> 00:00:10.280]  今天我會和大家一起思想的經文是《馬太福音》第七章第十三至第十四節
[00:00:10.280 --> 00:00:12.380]  只是兩節的經文
[00:00:12.380 --> 00:00:16.600]  今天和大家一起思想的題目是「持續的生命」
[00:00:16.600 --> 00:00:19.440]  還是「末路狂奔」
[00:00:19.440 --> 00:00:25.000]  Sustainable life or rushing for destruction
[00:00:25.000 --> 00:00:28.080]  讓我們在聽道義先不如這樣
[00:00:28.080 --> 00:00:33.780]  我們打開聖經,我們先一齊同心去讀一下這段經文
[00:00:33.780 --> 00:00:37.960]  去了解這段經文所講的內容是什麼
[00:00:37.960 --> 00:00:42.900]  我相信這兩節的經文也是大家很熟悉的經文
[00:00:42.900 --> 00:00:49.240]  不過,越熟悉就越多亂解釋
[00:00:49.240 --> 00:00:53.000]  亂我家賊裡面的意思
[00:00:53.000 --> 00:00:55.620]  我希望大家一齊去讀一下這段經文
[00:00:55.620 --> 00:00:59.440]  我們會讀兩次,因為很短而已,只有兩節的經文
[00:00:59.440 --> 00:01:02.620]  我們會以和合版的版本
[00:01:02.620 --> 00:01:06.300]  或者你選用的英語版本去一齊讀
[00:01:06.300 --> 00:01:07.980]  都可以,我們會讀兩次
[00:01:07.980 --> 00:01:12.120]  我會先以廣東話帶領大家一齊讀出
[00:01:12.120 --> 00:01:15.040]  然後也請大家用你的語言
[00:01:15.040 --> 00:01:18.440]  第二次可以用普通話讀,或者其他語言都可以
[00:01:18.440 --> 00:01:19.100]  OK?
[00:01:19.100 --> 00:01:21.700]  好,我們一齊找到之後,我們一齊讀
[00:01:21.700 --> 00:01:25.980]  《馬太福音》第七章十三、十四節
[00:01:25.980 --> 00:01:32.260]  Matthew chapter 7, verse 13 to verse 14
[00:01:32.260 --> 00:01:50.580]  「你們要盡責門,因為引到滅亡,那門是闊的,路是大的,進去的人也多,引到永生,那門是窄的,路是小的,
[00:01:50.580 --> 00:01:52.840]  找著的人也少。」
[00:01:52.840 --> 00:01:54.740]  好,我們第二次了
[00:01:54.740 --> 00:02:15.740]  「你們要盡責門,因為引到滅亡,那門是闊的,路是大的,進去的人也多,引到永生,那門是窄的,路是小的,找著的人也小。」
[00:02:15.740 --> 00:02:23.180]  好,讓我們一起同心在聆聽主導而先,一起同心的禱告
[00:02:23.180 --> 00:02:29.620]  慈悲的天父,多謝你,讓我們能夠再次回到你的說話
[00:02:29.620 --> 00:02:34.580]  我們學會怎樣去仰望在你的當中
[00:02:34.580 --> 00:02:38.700]  更重要的是,我們在這個過程裏面
[00:02:38.700 --> 00:02:43.820]  我們真是恩切需求你的聖靈帶領我們
[00:02:43.820 --> 00:02:47.860]  求你在我們學習的過程當中
[00:02:47.860 --> 00:02:54.700]  讓我們有一個準確拿捏你的心意的理解
[00:02:54.700 --> 00:03:00.340]  亦都當我們在未來往後的日子要行主義的道理的時候
[00:03:00.340 --> 00:03:05.300]  讓我們也都能夠真是有聖靈的陪伴
[00:03:05.300 --> 00:03:14.140]  將主義的道理活活地在今天這個世界的當中顯露出來
[00:03:14.140 --> 00:03:22.540]  我們的同心的禱告,奉靠主耶穌基督,得聖的名字以求,阿們
[00:03:22.540 --> 00:03:29.020]  今天和大家一起思想這個題目叫做「持續生命,還是末路狂奔」
[00:03:29.020 --> 00:03:36.700]  其實所講的內容是直接關乎於我們信主的問題
[00:03:36.700 --> 00:03:45.660]  講到信主這個問題,其實信主本身能不能夠一個人去接受耶穌基督成為他的救主
[00:03:45.660 --> 00:03:54.820]  願意認罪悔改,並且在人生的路上去真是有一個完全不同的發展和不同的取態
[00:03:54.820 --> 00:04:04.420]  其實是很視乎聖靈的引導之下人怎樣去向上帝的回應
[00:04:04.420 --> 00:04:08.700]  所以,如果你是一個屬神的子民
[00:04:08.700 --> 00:04:13.820]  你就會很自然地,因為你有聖靈在你裡面內在
[00:04:13.820 --> 00:04:22.020]  你就會很自然地去選擇如何去靠著上帝的啟示
[00:04:22.020 --> 00:04:29.580]  按照上帝的心思而去在這個地上去作出選擇
[00:04:29.580 --> 00:04:34.900]  因此信主這件事從來不是一種強迫
[00:04:34.900 --> 00:04:44.460]  但是同時信主也都不應該是一件在藉著利益誘惑之下而成就的一種事情
[00:04:44.460 --> 00:04:48.260]  不過很可惜的一件事就是在今時今日
[00:04:48.260 --> 00:04:54.020]  我們所處於這個世界,甚至活在信仰的群體裡面
