
[00:00:00.000 --> 00:00:10.000]  聖經上說 一個人在得救 天上的天使 天君都要歡呼
[00:00:10.000 --> 00:00:14.000]  這就是教會存在的目的
[00:00:14.000 --> 00:00:18.000]  教會在這個地上有一個很重要的使命
[00:00:18.000 --> 00:00:24.000]  就是要將福音傳遍天下 使萬民做主的門徒
[00:00:24.000 --> 00:00:30.000]  Amen 這是一個教會最重要的使命
[00:00:30.000 --> 00:00:33.000]  今天許多的教會忽略了這個使命
[00:00:33.000 --> 00:00:39.000]  漸漸的教會就變成club 教會就變成俱樂部了
[00:00:39.000 --> 00:00:42.000]  教會不再是一個救生站了
[00:00:42.000 --> 00:00:46.000]  我記得以前我讀過一個宣教的書籍
[00:00:46.000 --> 00:00:48.000]  他開始就在講這件事情
[00:00:48.000 --> 00:00:55.000]  當一個救生站本來是有很多的船隻如果遇難的時候
[00:00:55.000 --> 00:00:58.000]  他們就會去救這些船隻
[00:00:58.000 --> 00:01:03.000]  但是後來越來越多的資金各方面都好了之後
[00:01:03.000 --> 00:01:06.000]  他們就開始修築這個救生站
[00:01:06.000 --> 00:01:09.000]  這個救生站最後就變成是一個俱樂部
[00:01:09.000 --> 00:01:11.000]  變成是一個高級的俱樂部
[00:01:11.000 --> 00:01:14.000]  所以到最後他們忘掉了
[00:01:14.000 --> 00:01:19.000]  這個救生站本來就存在的目的是為了怎麼樣
[00:01:19.000 --> 00:01:25.000]  是為了來去幫助拯救那些遇難的船
[00:01:25.000 --> 00:01:29.000]  最後這一個變成是一個高級俱樂部了
[00:01:29.000 --> 00:01:31.000]  變成是那些的救生員
[00:01:31.000 --> 00:01:34.000]  那些的參加會員的這些club的人
[00:01:34.000 --> 00:01:37.000]  他們去參加享受的一個地方了
[00:01:37.000 --> 00:01:38.000]  現在聽我說什麼
[00:01:38.000 --> 00:01:42.000]  教會絕對不能夠走到這個地步Amen
[00:01:42.000 --> 00:01:44.000]  所以我們今天在這裡舉行洗禮
[00:01:44.000 --> 00:01:47.000]  這是何等關係的事情
[00:01:47.000 --> 00:01:53.000]  巴不得以後我們天天有洗禮
[00:01:53.000 --> 00:01:57.000]  不是等到一年有兩次復活節
[00:01:57.000 --> 00:02:01.000]  然後呢還有感恩節我們才受洗
[00:02:01.000 --> 00:02:07.000]  而是常常我們都有洗禮在我們中間發生
[00:02:07.000 --> 00:02:10.000]  我們今天要來跟大家一起來分享
