
[00:00:00.000 --> 00:00:06.180]  彼得後書的信息很切合我們這個時代的需要
[00:00:06.180 --> 00:00:09.260]  彼得提醒一羣跟隨耶穌的人
[00:00:09.260 --> 00:00:15.940]  上帝讓我們有能力和允許我們有一個永恆的盼望
[00:00:15.940 --> 00:00:18.560]  但上帝也讓我們有能力
[00:00:18.560 --> 00:00:22.280]  在現今的世代去面對自己的罪
[00:00:22.280 --> 00:00:23.800]  脫離敗壞
[00:00:23.800 --> 00:00:26.480]  活出上帝的本性
[00:00:26.480 --> 00:00:31.320]  一個是我們在過去幾次的講道里面
[00:00:31.320 --> 00:00:35.720]  李天佑教師、陳牧師、袁牧師所給我們看到的
[00:00:35.720 --> 00:00:39.000]  而且我們還要追求長進
[00:00:39.000 --> 00:00:44.160]  以致當我們面對這個世代很多假的道理
[00:00:44.160 --> 00:00:46.880]  來衝擊我們信仰的時候
[00:00:46.880 --> 00:00:49.400]  我們信心不自動搖
[00:00:49.400 --> 00:00:50.920]  我們不會失腳
[00:00:50.920 --> 00:00:54.000]  不會失去信仰
[00:00:54.000 --> 00:00:56.720]  從過去給我們看到的
[00:00:56.720 --> 00:00:59.600]  得救對我們來說
[00:00:59.600 --> 00:01:02.800]  只不過是我們信仰的起點
[00:01:02.800 --> 00:01:04.560]  不是終點
[00:01:04.560 --> 00:01:07.600]  不是說哎呀,我得到上帝的救恩
[00:01:07.600 --> 00:01:09.880]  就圓滿了
[00:01:09.880 --> 00:01:12.080]  一個只是一個的起點
[00:01:12.080 --> 00:01:16.440]  仍然要不斷的長進,一路的成長
[00:01:16.440 --> 00:01:19.440]  上個禮拜袁牧師給我們透過彼得前書
[00:01:19.440 --> 00:01:21.400]  那一段經文看到
[00:01:21.400 --> 00:01:26.040]  有了信心又要加上德行
[00:01:26.040 --> 00:01:31.120]  有了德行又要加上知識
[00:01:31.120 --> 00:01:34.760]  加下去的那些都不太記得了
[00:01:34.760 --> 00:01:37.160]  節制忍耐乾淨
[00:01:37.160 --> 00:01:41.160]  愛弟兄的心和愛衆人的心
[00:01:41.160 --> 00:01:44.040]  一路的來到加上去不夠的
[00:01:44.040 --> 00:01:46.480]  其實在第八節那裏
[00:01:46.480 --> 00:01:49.520]  在新譯本里面這樣來說
[00:01:49.520 --> 00:01:53.000]  我們有了這幾樣
[00:01:53.000 --> 00:01:56.680]  並且要繼續增長
[00:01:56.680 --> 00:01:58.280]  並要繼續增長
