
[00:00:00.000 --> 00:00:03.760]  我們一起再在神面前禱告安靜
[00:00:03.760 --> 00:00:06.980]  求神的話語進入我們的心裏
[00:00:06.980 --> 00:00:11.220]  讓我們得著神賜給我們的福氣
[00:00:11.220 --> 00:00:20.380]  慈悲仁愛的天父
[00:00:20.380 --> 00:00:24.600]  我們要學習滿心的感謝祢
[00:00:24.600 --> 00:00:26.920]  有時我們不是滿心
[00:00:26.920 --> 00:00:31.000]  我們只是有一些東西感謝祢
[00:00:31.000 --> 00:00:32.740]  但主求祢幫我們
[00:00:32.740 --> 00:00:36.440]  知道我們的生命完全是祢所賜
[00:00:36.440 --> 00:00:38.240]  是祢揀選我們
[00:00:38.240 --> 00:00:39.940]  祢創造我們
[00:00:39.940 --> 00:00:41.280]  祢愛我們
[00:00:41.280 --> 00:00:46.040]  也為著我們去做這個世界
[00:00:46.040 --> 00:00:49.940]  為著我們去建立四季
[00:00:49.940 --> 00:00:53.880]  建立所有供應我們生命所需的東西
[00:00:53.880 --> 00:00:58.300]  因為祢要做我們人有祢的形象
[00:00:58.300 --> 00:01:00.940]  按著祢的形象做男做女
[00:01:00.940 --> 00:01:04.300]  祢要在我們生命顯出祢的榮耀
[00:01:04.300 --> 00:01:06.940]  主因為祢本質就是愛
[00:01:06.940 --> 00:01:09.100]  祢的愛充滿世上
[00:01:09.100 --> 00:01:12.440]  更加充滿所有屬祢的人
[00:01:12.440 --> 00:01:16.100]  求祢今日祢的愛充滿我們在座每一位
[00:01:16.100 --> 00:01:18.820]  求祢的愛帶領我們的生命
[00:01:18.820 --> 00:01:21.360]  讓我們常在主愛裏面
[00:01:21.360 --> 00:01:24.740]  主我們很想享受祢的愛
[00:01:24.740 --> 00:01:27.880]  也很想懂得怎樣愛人
[00:01:27.880 --> 00:01:30.060]  求祢幫助我們
[00:01:30.060 --> 00:01:32.800]  好像聖經裏面說
[00:01:32.800 --> 00:01:35.340]  我們是葡萄樹上的枝子
[00:01:35.340 --> 00:01:37.580]  天父祢是栽培的人
[00:01:37.580 --> 00:01:40.760]  求祢將我們的生命修理乾淨
[00:01:40.760 --> 00:01:43.020]  為祢結更多好的果子
[00:01:43.020 --> 00:01:44.400]  聽我們同心祈禱
[00:01:44.400 --> 00:01:45.860]  奉耶穌的聖名
[00:01:45.860 --> 00:01:47.380]  好嗎?
[00:01:47.380 --> 00:01:49.120]  今日的講題叫做
[00:01:49.120 --> 00:01:54.120]  「門徒唯一的召命」
[00:01:54.120 --> 00:01:57.220]  上次Donald傳道也說到
[00:01:57.220 --> 00:02:00.820]  來到第十五章開始
[00:02:00.820 --> 00:02:04.820]  耶穌就將祂離別之前所說的吩咐
[00:02:04.820 --> 00:02:07.520]  轉了去一個新的重點
[00:02:07.520 --> 00:02:10.920]  就是給門徒人生的召命
[00:02:10.920 --> 00:02:14.320]  或者可以稱為使命
[00:02:14.320 --> 00:02:16.420]  這裡我們說
[00:02:16.420 --> 00:02:20.620]  基督徒人生的召命就是「結果子」
[00:02:20.620 --> 00:02:22.420]  你看整個新約聖經
[00:02:22.420 --> 00:02:23.420]  都是要「結果子」
[00:02:23.420 --> 00:02:24.620]  舊約也是
[00:02:24.620 --> 00:02:27.820]  它稱神的選民以色列
[00:02:27.820 --> 00:02:29.820]  就是一個葡萄樹
[00:02:29.820 --> 00:02:31.020]  他們要「結果子」
[00:02:31.020 --> 00:02:33.820]  神建立葡萄園為了要「結果子」
[00:02:33.820 --> 00:02:37.320]  但是猶太人作為神的選民
[00:02:37.320 --> 00:02:40.320]  本來要將神的福氣帶給全世界
[00:02:40.320 --> 00:02:45.020]  但是神的選民猶太人卻拒絕上帝
[00:02:45.020 --> 00:02:48.620]  聖經稱猶太就是那棵葡萄樹
[00:02:48.620 --> 00:02:51.620]  今天耶穌基督按照聖經所說的來
[00:02:51.620 --> 00:02:54.820]  成為葡萄樹
[00:02:54.820 --> 00:02:58.420]  而我們成為之子要「結果子」
[00:02:58.420 --> 00:03:01.820]  在輔助經文我寫了三節聖經
[00:03:01.820 --> 00:03:04.120]  我們一起讀完這三節輔助經文
[00:03:04.120 --> 00:03:08.720]  講到新約提到「結果子」的意思
[00:03:08.720 --> 00:03:13.420]  請雪芬幫我關掉旁邊的風扇
[00:03:13.420 --> 00:03:15.620]  我們一起讀這三節輔助經文
[00:03:15.620 --> 00:03:16.520]  預備起
[00:03:43.420 --> 00:03:50.620]  在新約聖經裡不只這三句
[00:03:50.620 --> 00:03:52.320]  還有很多聖經講到「結果子」
[00:03:52.320 --> 00:03:56.020]  當然有人呼應這裡是很重要的一段
