
[00:00:00.000 --> 00:00:02.600]  我們走在一條人生的道路上
[00:00:02.600 --> 00:00:04.400]  其實沒有錯的
[00:00:04.400 --> 00:00:06.600]  其實是一個嬰兒
[00:00:06.600 --> 00:00:09.600]  我們很希望他能夠大約一歲左右
[00:00:09.600 --> 00:00:11.200]  他能夠學會什麼?
[00:00:11.200 --> 00:00:14.600]  走路 是不是?
[00:00:14.600 --> 00:00:17.600]  我們跳去前一點
[00:00:17.600 --> 00:00:21.600]  先前有文憑試放榜
[00:00:21.600 --> 00:00:24.600]  我們希望我們的子弟有一條
[00:00:24.600 --> 00:00:27.400]  美好的升學之路
[00:00:27.400 --> 00:00:30.400]  也都希望有好的出路
[00:00:30.400 --> 00:00:32.400]  有時候我們可能去到一個境況
[00:00:32.400 --> 00:00:35.000]  就是我們覺得前路茫茫
[00:00:35.000 --> 00:00:36.200]  不知怎樣算好
[00:00:36.200 --> 00:00:40.000]  甚至乎我們不希望走投無路
[00:00:40.000 --> 00:00:43.000]  或者真的沒有路的時候
[00:00:43.000 --> 00:00:47.000]  我們可以殺出一條血路
[00:00:47.000 --> 00:00:49.000]  當有些人
[00:00:49.000 --> 00:00:51.000]  即是我們覺得有兩個人
[00:00:51.000 --> 00:00:53.000]  眉來眼去 有些警棍
[00:00:53.000 --> 00:00:56.000]  我們會說什麼?有路
[00:00:56.000 --> 00:00:59.000]  我們不希望如果我們有搭檔
[00:00:59.000 --> 00:01:02.000]  或者是很親密的伴侶
[00:01:02.000 --> 00:01:06.000]  最後會怎樣?各走各路
[00:01:06.000 --> 00:01:08.000]  或者我們香港很現實的
[00:01:08.000 --> 00:01:11.000]  我們最不希望別人會阻礙我們發達
[00:01:11.000 --> 00:01:15.000]  會斷我們什麼?迷路
[00:01:15.000 --> 00:01:17.000]  甚至死人都有路走
[00:01:17.000 --> 00:01:18.000]  我給你一個文雅
[00:01:18.000 --> 00:01:19.000]  你知不知道
[00:01:19.000 --> 00:01:24.000]  我們中國古籍裡面死人走什麼路?
[00:01:24.000 --> 00:01:26.000]  就是陰之路
[00:01:26.000 --> 00:01:30.000]  這個文雅一點的是黃泉路
[00:01:30.000 --> 00:01:32.000]  甚至乎你去到
[00:01:32.000 --> 00:01:33.000]  無論你信不信主也好
[00:01:33.000 --> 00:01:34.000]  你去到殯儀館
[00:01:34.000 --> 00:01:39.000]  你都會和死人說 你說什麼?
[00:01:39.000 --> 00:01:41.000]  上路文雅一點
[00:01:41.000 --> 00:01:43.000]  通常你會說四個字
[00:01:43.000 --> 00:01:46.000]  一路好走
[00:01:46.000 --> 00:01:48.000]  人生就是一條道路
[00:01:48.000 --> 00:01:50.000]  我一個信耶穌基督的人
[00:01:50.000 --> 00:01:52.000]  其實我們說都是走一條
[00:01:52.000 --> 00:01:54.000]  什麼道路?天路
[00:01:54.000 --> 00:01:56.000]  有一本很出名的書叫天路歷程
[00:01:56.000 --> 00:02:00.000]  就是有這樣的描述
[00:02:00.000 --> 00:02:03.000]  你們走一條什麼道路上高?
[00:02:03.000 --> 00:02:05.000]  我今天來到
[00:02:05.000 --> 00:02:06.000]  耶穌基督在約翰福音
[00:02:06.000 --> 00:02:09.000]  《我是》的第六個講論
[00:02:09.000 --> 00:02:11.000]  《我是道路真理生命》
[00:02:11.000 --> 00:02:12.000]  我們要留意約翰福音
[00:02:12.000 --> 00:02:14.000]  其實是分開兩大部分
[00:02:14.000 --> 00:02:17.000]  第一部分就是一至十二章叫記號之書
[00:02:17.000 --> 00:02:18.000]  為什麼叫記號之書?
[00:02:18.000 --> 00:02:20.000]  就是記載了七個神蹟
[00:02:20.000 --> 00:02:22.000]  七個神蹟 約翰很特別
[00:02:22.000 --> 00:02:23.000]  用了記號這個字
[00:02:23.000 --> 00:02:26.000]  因為這些記號都能夠代表耶穌基督
[00:02:26.000 --> 00:02:29.000]  他某一方面 或者他是哪一個
[00:02:29.000 --> 00:02:31.000]  以致人能夠更加明白
[00:02:31.000 --> 00:02:33.000]  去認識 去相信
[00:02:33.000 --> 00:02:35.000]  然後到第十三章開始
[00:02:35.000 --> 00:02:38.000]  第二部分叫榮耀之書
[00:02:38.000 --> 00:02:40.000]  是什麼呢?
[00:02:40.000 --> 00:02:42.000]  我想可能大家之前都能夠了解過
[00:02:42.000 --> 00:02:44.000]  在約翰福音講的榮耀
[00:02:44.000 --> 00:02:46.000]  就是講到耶穌基督
[00:02:46.000 --> 00:02:48.000]  將要走上十字架的道路
[00:02:48.000 --> 00:02:52.000]  在那裏就能夠彰顯到上帝的榮耀
[00:02:52.000 --> 00:02:57.000]  我們看之前那五個「我是」
[00:02:57.000 --> 00:02:59.000]  就在記號之書裏面記載的
[00:02:59.000 --> 00:03:02.000]  就在這些神蹟 或者耶穌基督的講論裏面
[00:03:02.000 --> 00:03:05.000]  是包含到 或者是隨之而來
[00:03:05.000 --> 00:03:08.000]  引發到耶穌基督去和眾人
[00:03:08.000 --> 00:03:10.000]  當時的對象是所有人的
[00:03:10.000 --> 00:03:12.000]  是所有群眾都能夠去認識
