
[00:00:00.000 --> 00:00:03.000]  在開始靜悼的時候同心來祈禱
[00:00:03.000 --> 00:00:06.000]  我們的主,我們的神,多謝祢
[00:00:06.000 --> 00:00:08.000]  今天晚上我們人臨窮
[00:00:08.000 --> 00:00:11.000]  眾弟兄姊妹一同來聚集
[00:00:11.000 --> 00:00:14.000]  讓讓主,來施恩
[00:00:14.000 --> 00:00:17.000]  可憐這個在主祢面前站立的人
[00:00:17.000 --> 00:00:20.000]  求主耶穌基督,神的獨身而至的補血
[00:00:20.000 --> 00:00:23.000]  再一次來去遮蓋孩子的罪
[00:00:23.000 --> 00:00:27.000]  讓孩子能夠成為神話語的出口
[00:00:27.000 --> 00:00:30.000]  能夠將主,祢的恩賢,祢的講明
[00:00:30.000 --> 00:00:33.000]  恭敬將以下時間交託仰望
[00:00:33.000 --> 00:00:35.000]  願主保守,恩領
[00:00:35.000 --> 00:00:38.000]  祈禱,賴奉耶穌基督,聖名祈求
[00:00:38.000 --> 00:00:39.000]  阿們
[00:00:39.000 --> 00:00:41.000]  今天分享這段經文
[00:00:41.000 --> 00:00:46.000]  在猶太人的心目中是非常重要
[00:00:46.000 --> 00:00:48.000]  被稱為Semar
[00:00:48.000 --> 00:00:51.000]  Semar的意思就是「停」
[00:00:51.000 --> 00:00:56.000]  猶太教的傳統中
[00:00:56.000 --> 00:01:07.000]  Semar亦是指猶太人每天都要念誦三段聖經的經文
[00:01:07.000 --> 00:01:11.000]  其中一段就是今天我們分享的經文
[00:01:11.000 --> 00:01:15.000]  是《新命紀》六章四到九節
[00:01:15.000 --> 00:01:21.000]  另一段經文是《新命紀》十一章十三到二十一節
[00:01:21.000 --> 00:01:28.000]  以及《文述紀》十五章三十七到四十一節
[00:01:28.000 --> 00:01:32.000]  按希伯來聖經原文
[00:01:32.000 --> 00:01:34.000]  《新命紀》六章四節
[00:01:34.000 --> 00:01:37.000]  第一個字就是Semar
[00:01:37.000 --> 00:01:38.000]  「聽」
[00:01:38.000 --> 00:01:42.000]  原來去聖經排序應該這樣說
[00:01:42.000 --> 00:01:43.000]  「聽」
[00:01:43.000 --> 00:01:51.000]  以色列耶和華是我們的神耶和華是我們獨一的主
[00:01:51.000 --> 00:02:00.000]  猶太人將這三段聖經統稱為Semar
[00:02:00.000 --> 00:02:03.000]  按著《新命紀》六章七節的吩咐
[00:02:03.000 --> 00:02:08.000]  無論你躺下、起來都要談論
[00:02:08.000 --> 00:02:14.000]  每天早上和晚上都會來念誦
[00:02:14.000 --> 00:02:16.000]  在贖罪日完結的時間
[00:02:16.000 --> 00:02:23.000]  會堂的聚會都用念誦Semar作為結束
[00:02:23.000 --> 00:02:25.000]  當我信了耶穌之後
[00:02:25.000 --> 00:02:31.000]  栽培我的弟兄跟我說要看聖經
[00:02:31.000 --> 00:02:35.000]  還帶我去到一間基督教書室
[00:02:35.000 --> 00:02:39.000]  他說要和我買一本聖經
[00:02:39.000 --> 00:02:43.000]  他說一本聖經不是很貴重
[00:02:43.000 --> 00:02:46.000]  對於一個剛出來工作的年青人
[00:02:46.000 --> 00:02:48.000]  買一本聖經不貴重
[00:02:48.000 --> 00:02:49.000]  OK啦
[00:02:49.000 --> 00:02:52.000]  我都覺得可以付得起
[00:02:52.000 --> 00:02:54.000]  他說我不是付不起
[00:02:54.000 --> 00:02:57.000]  教會也不是沒有聖經
[00:02:57.000 --> 00:03:00.000]  他說為什麼要你買呢?
[00:03:02.000 --> 00:03:06.000]  他問我為什麼要買呢?
[00:03:06.000 --> 00:03:08.000]  一個初信的小子
[00:03:08.000 --> 00:03:11.000]  特意去基督教書室陪我
[00:03:11.000 --> 00:03:14.000]  特意帶我去買一本聖經
[00:03:14.000 --> 00:03:17.000]  明明你有
[00:03:17.000 --> 00:03:18.000]  為什麼你不給我呢?
[00:03:18.000 --> 00:03:20.000]  還要我和你去買
[00:03:20.000 --> 00:03:22.000]  我付錢的
[00:03:22.000 --> 00:03:24.000]  他問我一會
[00:03:24.000 --> 00:03:27.000]  如果是你,你會怎樣回答?
[00:03:27.000 --> 00:03:29.000]  是不是吝嗇呢?
[00:03:29.000 --> 00:03:31.000]  他說不是
[00:03:31.000 --> 00:03:35.000]  我也不會說吝嗇
[00:03:35.000 --> 00:03:41.000]  他說你買了就不會不看
[00:03:41.000 --> 00:03:43.000]  他說如果我送給你
[00:03:43.000 --> 00:03:45.000]  那又怎樣呢?
[00:03:45.000 --> 00:03:47.000]  有機會扔在一旁
[00:03:47.000 --> 00:03:49.000]  但你真金白銀拿出來買
[00:03:49.000 --> 00:03:51.000]  怎樣也會看看吧
[00:03:51.000 --> 00:03:52.000]  我覺得我服
[00:03:52.000 --> 00:03:53.000]  這句我說
[00:03:53.000 --> 00:03:54.000]  好,那我就買
[00:03:54.000 --> 00:03:56.000]  然後我就看到
[00:03:56.000 --> 00:03:57.000]  各式奇色
[00:03:57.000 --> 00:03:58.000]  有大有細
[00:03:58.000 --> 00:03:59.000]  這麼多本
[00:03:59.000 --> 00:04:00.000]  哪一本好呢?
[00:04:00.000 --> 00:04:01.000]  有什麼不同呢?
[00:04:01.000 --> 00:04:02.000]  他說太複雜
[00:04:02.000 --> 00:04:03.000]  不跟你說了
[00:04:03.000 --> 00:04:05.000]  他說有大有細
[00:04:05.000 --> 00:04:07.000]  主要是什麼呢?
[00:04:07.000 --> 00:04:08.000]  主要是什麼呢?
[00:04:08.000 --> 00:04:09.000]  為什麼有大有小呢?
[00:04:09.000 --> 00:04:11.000]  字體的大小
[00:04:11.000 --> 00:04:14.000]  就影響到聖經大和小
[00:04:14.000 --> 00:04:15.000]  有新約
[00:04:15.000 --> 00:04:16.000]  有舊約
[00:04:16.000 --> 00:04:17.000]  有新舊約
[00:04:17.000 --> 00:04:19.000]  他說說你也不明白
[00:04:19.000 --> 00:04:23.000]  你想想買一本大的還是買一本小的
[00:04:23.000 --> 00:04:25.000]  為了方便
[00:04:25.000 --> 00:04:27.000]  就買一本大的
[00:04:27.000 --> 00:04:30.000]  剛剛就是這本
[00:04:30.000 --> 00:04:36.000]  我拿去收銀的時間
[00:04:36.000 --> 00:04:41.000]  我心裡面也在想買不買
[00:04:41.000 --> 00:04:44.000]  心裡也在想
[00:04:44.000 --> 00:04:45.000]  當時一個年輕人
[00:04:45.000 --> 00:04:47.000]  這麼大本東西
[00:04:47.000 --> 00:04:49.000]  整個磚頭這麼厚
[00:04:49.000 --> 00:04:51.000]  拿了回家
[00:04:51.000 --> 00:04:54.000]  怎樣看呢?
[00:04:54.000 --> 00:04:56.000]  拿著這本東西
[00:04:56.000 --> 00:04:57.000]  我看著它
[00:04:57.000 --> 00:04:58.000]  它也看著我
[00:04:58.000 --> 00:04:59.000]  它不會看著我
[00:04:59.000 --> 00:05:01.000]  不過我看著它
[00:05:01.000 --> 00:05:02.000]  我在想了很久
[00:05:02.000 --> 00:05:04.000]  買不買好呢?
[00:05:04.000 --> 00:05:05.000]  不是價錢貴的問題
[00:05:05.000 --> 00:05:08.000]  而是這本東西這麼大
[00:05:08.000 --> 00:05:10.000]  這麼重
[00:05:10.000 --> 00:05:12.000]  這麼厚
[00:05:12.000 --> 00:05:14.000]  我會問
[00:05:14.000 --> 00:05:16.000]  怎會看得完呢?
[00:05:16.000 --> 00:05:19.000]  怎會看得完呢?
[00:05:19.000 --> 00:05:22.000]  看完會不會不記得呢?
[00:05:22.000 --> 00:05:24.000]  相信你初信
[00:05:24.000 --> 00:05:29.000]  到這一刻也會有同樣的問題
[00:05:29.000 --> 00:05:32.000]  耶穌在一封書裡面被人考覽
[00:05:32.000 --> 00:05:37.000]  祂問最大的誡命是甚麼呢?
[00:05:37.000 --> 00:05:40.000]  耶穌就引述這段經文
[00:05:40.000 --> 00:05:45.000]  祂說你要盡心盡性盡義愛主的神
[00:05:45.000 --> 00:05:49.000]  神明既是來去寄述神
[00:05:49.000 --> 00:05:51.000]  來去重新律法
[00:05:51.000 --> 00:05:54.000]  神是對第二代
[00:05:54.000 --> 00:05:56.000]  即以色列人出埃及
[00:05:56.000 --> 00:05:59.000]  第二代在抗耶新生一代
[00:05:59.000 --> 00:06:04.000]  再重新一次
[00:06:04.000 --> 00:06:06.000]  聖經裡面的規條
[00:06:06.000 --> 00:06:09.000]  再和以色列納約
[00:06:09.000 --> 00:06:12.000]  從文素記的文戲來說
[00:06:12.000 --> 00:06:16.000]  第五章就是福術十誡
[00:06:16.000 --> 00:06:19.000]  即去不可有別的神
[00:06:19.000 --> 00:06:21.000]  接受安息日等等
[00:06:21.000 --> 00:06:26.000]  在講溢術去頒布十誡時的情景
[00:06:26.000 --> 00:06:30.000]  而去到第六章的時間
[00:06:30.000 --> 00:06:32.000]  祂就說這個就是
