
[00:00:00.000 --> 00:00:06.000]  我這兩場是很特別的,我簡題目的。
[00:00:06.000 --> 00:00:24.000]  即是我講,念親情,就借神恩。做人最緊要念情,忘情,你個人就變成無情。
[00:00:24.000 --> 00:00:34.000]  第二就是借恩,忘恩你自己不開心,你時時感恩你就很開心。
[00:00:34.000 --> 00:00:46.000]  但念情當中我覺得很緊要是從家裏開始,父母的情,當你感恩不要忘記天上我們父親。
[00:00:46.000 --> 00:00:55.000]  我先問一件事,在座有幾多是父親的在座?是父親的在座?
[00:00:55.000 --> 00:01:03.000]  估高一點讓我望下,我們為父親鼓掌好嗎?
[00:01:03.000 --> 00:01:13.000]  這代做爸爸好難做,這代做父母好難做,不容易做。
[00:01:13.000 --> 00:01:22.000]  所以我特別向父親致敬。我還要答應他一件事,在座有幾多是母親的在座?
[00:01:22.000 --> 00:01:34.000]  都是為母親鼓掌,我鼓勵你一件事,你下次盡量請你母親出席好嗎?
[00:01:34.000 --> 00:01:44.000]  我下次我母親會來,我母親今年88歲,我很感激她,因為她仍然照顧我這個大兒子。
[00:01:44.000 --> 00:01:57.000]  大家知道我母親自從兩年前,我弟弟離世之後,我給弟弟妹妹的家,我母親每隔一天都過來見她。
[00:01:57.000 --> 00:02:10.000]  所以我下次你放心,我下次介紹你認識我母親,有些人見過她,很漂亮的,很漂亮的,88歲,全世界最漂亮的大媽。
[00:02:10.000 --> 00:02:22.000]  大家現在繼續吃,暫時不要再收碗了,好嗎?暫時不要收了,我們開始正式講,暫時不要吃。
[00:02:22.000 --> 00:02:34.000]  可以吃,但不要上碟,不要收碗,為甚麼?因為我講話終於看見你,因為你見我講話是由心來的,
[00:02:34.000 --> 00:02:43.000]  只是講理論沒有意思,講話沒有心沒有情就不如不要講,但如果有心有情我就想見到你的眼,
[00:02:43.000 --> 00:02:52.000]  我見到你的眼就知道你有沒有情來回我的情,我們中國人是眉目全程的。
[00:02:52.000 --> 00:03:02.000]  所以我說你吃完,吃到差不多,請你轉一轉過來,讓我看著你的那雙有情的眼光,可以嗎?
[00:03:02.000 --> 00:03:14.000]  今天講的題目很不容易講,很難講,這兩堂是很難講,不過我都夠膽講,為甚麼?
[00:03:14.000 --> 00:03:30.000]  我最近剛剛看了一本新書,叫做Fatherless Generation,是美國一個專家寫的,他計算過美國33%的人長大是沒有父親,
[00:03:30.000 --> 00:03:44.000]  很多爸爸已經離開,即使在這裡種種原因無法理會前生的職責,所以這本書有很多數據,
[00:03:44.000 --> 00:03:59.000]  他長大的時間發覺情感弱,次數弱,父親不在你對自己很動搖,最親的人肯定你原來都有個gap,
[00:03:59.000 --> 00:04:09.000]  所以將來讀書困難經常覺得自己不行,就業很困難,跟人相處不行,特別對權威人物很害怕,
[00:04:09.000 --> 00:04:19.000]  於是就出現無論讀書就業都出現問題,不單止這樣,社會裏面很多社會的問題,
[00:04:19.000 --> 00:04:30.000]  無論吸毒是跟這班人有關,有很多數據在這裏,這就是美國,我做青年工作,你試過做醫生,
[00:04:30.000 --> 00:04:41.000]  帶他轉行做青年工作,香港這個問題非常嚴重,很多單身,很多爸爸太忙,
[00:04:41.000 --> 00:04:50.000]  根本跟兒子見面,很多同學飛去其他地方,於是就出現一個現象,他再長大時間,
[00:04:50.000 --> 00:05:01.000]  他不懂跟成年人特別權威的人聯絡,因為他心目中想權威,一是你不在,一是你很惡,無法溝通,
[00:05:01.000 --> 00:05:11.000]  就出現一個很嚴重的問題,非常嚴重,如果我再看原來全世界都是這樣,這本已經不是唯一的書,
[00:05:11.000 --> 00:05:18.000]  我大概十年前已經看過另一本,它說這代是兩個特別,fatherless沒有父親的一代,
[00:05:18.000 --> 00:05:31.000]  ruthless沒有根的,沒有身份的,不知自己屬於誰,沒有身份的,在這時你忽然明白為何我們兩代之間這麼難溝通,
[00:05:31.000 --> 00:05:41.000]  為何你那麼怕我,我有時都是學生同事來,我都沒有得罪他,為何他那麼憎我,我那麼怕我,原來他不是怕我,
