
[00:00:00.000 --> 00:00:01.280]  今天我們會看哈蓋書
[00:00:01.280 --> 00:00:03.520]  其實我會和整本哈蓋書一起看
[00:00:03.520 --> 00:00:08.420]  如果大家有聖經或手機或平板電腦
[00:00:08.420 --> 00:00:11.240]  打開我們一起看整個話語好不好?
[00:00:11.240 --> 00:00:14.020]  當我們看哈蓋書的時候
[00:00:14.020 --> 00:00:17.560]  就好像我們去研究一般的先知書一樣
[00:00:17.560 --> 00:00:20.280]  我們一定要了解當時的時代背景
[00:00:20.280 --> 00:00:25.240]  否則我們就不能夠全面了解先知書裡面的訊息
[00:00:25.680 --> 00:00:33.180]  猶太人在主前558年到586年之間
[00:00:33.180 --> 00:00:34.860]  就被擄到巴比倫
[00:00:34.860 --> 00:00:36.640]  經歷了幾代之後
[00:00:36.640 --> 00:00:41.860]  大部分的猶太人已經和巴比倫人同化了
[00:00:41.860 --> 00:00:44.960]  為什麼會這麼容易被巴比倫人同化呢?
[00:00:44.960 --> 00:00:47.880]  因為他們根本就是同一個血緣
[00:00:47.880 --> 00:00:50.560]  阿伯拉罕是從迦勒底的吾爾出來的
[00:00:50.560 --> 00:00:51.900]  我們都記得
[00:00:51.900 --> 00:00:53.760]  迦勒底就是巴比倫
[00:00:53.760 --> 00:00:56.860]  所以阿伯拉罕根本就是巴比倫人
[00:00:56.860 --> 00:00:58.980]  這群猶太人去到巴比倫
[00:00:58.980 --> 00:01:02.320]  很容易因為相同的血緣
[00:01:02.320 --> 00:01:03.820]  相近的語言
[00:01:03.820 --> 00:01:09.360]  因為當時巴比倫的語言和希伯來文是非常相似的
[00:01:09.360 --> 00:01:11.800]  很容易就被同化了
[00:01:11.800 --> 00:01:15.100]  所以大部分人都已經安定下來
[00:01:15.100 --> 00:01:16.640]  正常地生活
[00:01:16.640 --> 00:01:21.020]  但是後來波斯就取締了巴比倫
[00:01:21.020 --> 00:01:23.960]  成為了新的霸主
[00:01:23.960 --> 00:01:26.480]  他採取的政策是懷柔的政策
[00:01:26.480 --> 00:01:27.820]  就不同巴比倫
[00:01:27.820 --> 00:01:30.800]  巴比倫是採取一些高壓的政策去對待猶太人
[00:01:30.800 --> 00:01:33.160]  所以波斯王古烈
[00:01:33.160 --> 00:01:36.000]  就被猶太人在主持538年
[00:01:36.000 --> 00:01:40.040]  回到巴勒斯坦的地方重建聖殿和城牆
[00:01:40.040 --> 00:01:42.980]  讓他們恢復他們的敬拜
[00:01:42.980 --> 00:01:45.320]  但是我們知道當時的歷史告訴我們
[00:01:45.320 --> 00:01:49.000]  大部分被擄的人是沒有回去的
[00:01:49.000 --> 00:01:51.660]  大部分人留在巴比倫
[00:01:51.660 --> 00:01:53.500]  只有很少部分的人
[00:01:53.500 --> 00:01:56.000]  是帶著使命和夢想
[00:01:56.000 --> 00:01:58.380]  放棄了巴比倫舒適的生活
[00:01:58.380 --> 00:02:01.740]  回歸到當時是荒涼的巴勒斯坦的地方
[00:02:01.740 --> 00:02:05.080]  他們希望可以為上帝去奠殿
[00:02:05.080 --> 00:02:06.720]  更加希望有一天
[00:02:06.720 --> 00:02:10.440]  藉著上帝的恩典他們可以復國
[00:02:10.440 --> 00:02:12.400]  這個新的殿的根基
[00:02:12.400 --> 00:02:16.520]  在他們回歸第二年就已經建好了
[00:02:16.520 --> 00:02:20.300]  但是呢 他就停工16年
[00:02:20.300 --> 00:02:22.720]  16年沒有做任何的事
[00:02:22.720 --> 00:02:24.720]  為什麼會這樣呢?
[00:02:24.720 --> 00:02:29.800]  這些回歸的人不是帶著理想和有抱負的嗎?
[00:02:29.800 --> 00:02:31.300]  問題就是因為
[00:02:31.300 --> 00:02:34.300]  整個建殿工程充滿著難處
[00:02:34.300 --> 00:02:36.940]  當地的居民 撒瑪利亞人
[00:02:36.940 --> 00:02:39.760]  又不斷地破壞
[00:02:39.760 --> 00:02:43.460]  他們的夢想和現實的環境
[00:02:43.460 --> 00:02:45.360]  有很大的落差
[00:02:45.360 --> 00:02:48.560]  他們的雄心壯志被磨滅
[00:02:48.560 --> 00:02:50.560]  慢慢地他們灰心
[00:02:50.560 --> 00:02:54.060]  他們放棄了原初的夢想
[00:02:54.060 --> 00:02:58.400]  現在只顧著改善他們在當地的生活
[00:02:58.400 --> 00:03:02.300]  尋求安舒的環境作為人生的慰藉
[00:03:02.300 --> 00:03:07.300]  工程因此被擱置
[00:03:07.300 --> 00:03:08.760]  所以第一章第二節說
[00:03:08.760 --> 00:03:13.520]  「這百姓說建造耶和華殿的時間尚未來到」
[00:03:13.520 --> 00:03:15.300]  這是一個非常好的藉口
[00:03:15.300 --> 00:03:17.480]  「我不是不建 我不是不做」
[00:03:17.480 --> 00:03:20.480]  「不過 不是適當的時間」
[00:03:20.480 --> 00:03:21.980]  如果是上帝的時間
[00:03:21.980 --> 00:03:23.480]  為什麼我們有這麼多的難度?
[00:03:23.480 --> 00:03:24.980]  如果是上帝的時間
[00:03:24.980 --> 00:03:26.980]  為什麼這些撒瑪利亞人
[00:03:26.980 --> 00:03:29.980]  在外面做這麼多的搞妖的工作?
[00:03:29.980 --> 00:03:30.980]  不僅是搞妖
[00:03:30.980 --> 00:03:33.980]  我們還去到波斯的皇宮裡面
[00:03:33.980 --> 00:03:35.680]  去告他們一樁
