
[00:00:00.000 --> 00:00:04.000]  今天的題目叫做耶穌怎麼樣看我們
[00:00:04.000 --> 00:00:08.000]  我相信不是每個人都會常問這個問題
[00:00:08.000 --> 00:00:11.000]  因爲我們比較注重的是
[00:00:11.000 --> 00:00:13.000]  我怎麼樣看自己
[00:00:13.000 --> 00:00:15.000]  對嗎
[00:00:15.000 --> 00:00:19.000]  原來在我們的基督徒的生活裏面
[00:00:19.000 --> 00:00:23.000]  除了我們開始信耶穌的時候
[00:00:23.000 --> 00:00:29.000]  我們比較注意到耶穌怎麼樣來看待我們
[00:00:29.000 --> 00:00:32.000]  帶領我們 扶持我們以外
[00:00:32.000 --> 00:00:36.000]  大多數的時候我們也不離開了
[00:00:36.000 --> 00:00:41.000]  我們常對自己問的這個問題就是
[00:00:41.000 --> 00:00:44.000]  我是怎麼樣的一個人
[00:00:44.000 --> 00:00:48.000]  我是否注意自己的形象
[00:00:48.000 --> 00:00:50.000]  比較小會問一個問題
[00:00:50.000 --> 00:00:53.000]  就是上帝怎麼樣看我們
[00:00:53.000 --> 00:00:54.000]  人就是這樣子
[00:00:54.000 --> 00:00:58.000]  往往會透過別人怎麼樣看我們
[00:00:58.000 --> 00:01:03.000]  來定義我們自身的價值和地位
[00:01:03.000 --> 00:01:08.000]  你看一下你是不是特別注重我們所擁有的
[00:01:08.000 --> 00:01:10.000]  也要透過我們所擁有的
[00:01:10.000 --> 00:01:16.000]  來排列我們在別人身上的地位跟價值
[00:01:16.000 --> 00:01:23.000]  難怪在中國社會里面有很多名牌的東西
[00:01:23.000 --> 00:01:25.000]  也不怪一些人
[00:01:25.000 --> 00:01:27.000]  他沒有錢買名牌的
[00:01:27.000 --> 00:01:30.000]  他要買假的名牌
[00:01:30.000 --> 00:01:32.000]  就變成名牌
[00:01:32.000 --> 00:01:37.000]  讓人家知道他是屬於名牌的一檔的人
[00:01:37.000 --> 00:01:40.000]  其實你跟我也是一樣
[00:01:40.000 --> 00:01:45.000]  我們所擁有的包括我們的工作
[00:01:45.000 --> 00:01:46.000]  我們的地位
[00:01:46.000 --> 00:01:47.000]  甚至於有一些人
[00:01:47.000 --> 00:01:52.000]  他們會特別地談到他們的婚姻的情況
[00:01:52.000 --> 00:01:59.000]  他們都以這個作爲自我定義價值的標準
[00:01:59.000 --> 00:02:06.000]  特別是最近中國比較多的人能夠出去旅遊
[00:02:06.000 --> 00:02:08.000]  所以發現了有一個地方
[00:02:08.000 --> 00:02:10.000]  他們很喜歡去的
[00:02:10.000 --> 00:02:12.000]  特別是在座的姊妹們
[00:02:12.000 --> 00:02:13.000]  也特別喜歡去
[00:02:13.000 --> 00:02:19.000]  你知道是什麼地方
[00:02:19.000 --> 00:02:22.000]  他們特別喜歡去一個地方叫做韓國
[00:02:22.000 --> 00:02:23.000]  爲什麼
[00:02:23.000 --> 00:02:29.000]  因爲韓國當中做了很多整容的手術
[00:02:29.000 --> 00:02:32.000]  最近三年有一個這樣的研究報告
[00:02:32.000 --> 00:02:38.000]  他說有很多的中國人都去了韓國要做整容的手術
[00:02:38.000 --> 00:02:41.000]  發了一千個問卷
[00:02:41.000 --> 00:02:45.000]  調查進行實際的情況
[00:02:45.000 --> 00:02:49.000]  發現到當中一千個人當中
[00:02:49.000 --> 00:02:54.000]  有三百零四個人是第一次做這個整容手術
[00:02:54.000 --> 00:02:56.000]  在過去三年
[00:02:56.000 --> 00:03:00.000]  另外一個數字讓你喫驚的
[00:03:00.000 --> 00:03:03.000]  有六十一個percent的人
[00:03:03.000 --> 00:03:04.000]  就是六百多個人
[00:03:04.000 --> 00:03:07.000]  他們做這個整容的手術
[00:03:07.000 --> 00:03:12.000]  是在他們二十歲多一點點的時候做
[00:03:12.000 --> 00:03:16.000]  所以你們沒有機會做了
[00:03:16.000 --> 00:03:19.000]  然後當中已經開始有
[00:03:19.000 --> 00:03:20.000]  十個percent
[00:03:20.000 --> 00:03:21.000]  但是有一百個人
[00:03:21.000 --> 00:03:25.000]  十多歲就開始做整容手術
[00:03:25.000 --> 00:03:28.000]  所以就是你女兒的那一輩
[00:03:28.000 --> 00:03:31.000]  你知道不單只是中國有這個情況
[00:03:31.000 --> 00:03:33.000]  在別的地方也是一樣
[00:03:33.000 --> 00:03:36.000]  現在流行一個地方就是他們去打工
[00:03:36.000 --> 00:03:39.000]  不是因爲他們要去買一個很好的運動鞋
[00:03:39.000 --> 00:03:41.000]  現在已經過時了
[00:03:41.000 --> 00:03:43.000]  沒有那一期的時代了
[00:03:43.000 --> 00:03:44.000]  現在的時代的生活
[00:03:44.000 --> 00:03:45.000]  存好了錢
[00:03:45.000 --> 00:03:49.000]  夏天做散了錢
[00:03:49.000 --> 00:03:51.000]  我去整容
[00:03:51.000 --> 00:03:55.000]  一個單眼皮做雙眼皮
[00:03:55.000 --> 00:03:56.000]  你知道要多少錢
[00:03:56.000 --> 00:03:57.000]  姐妹們要問一下嗎
[00:03:57.000 --> 00:04:00.000]  要存一點錢嗎
[00:04:00.000 --> 00:04:02.000]  五千塊錢
[00:04:02.000 --> 00:04:03.000]  那若是呢
[00:04:03.000 --> 00:04:04.000]  你不滿意
[00:04:04.000 --> 00:04:05.000]  你說我不要單是做這個
[00:04:05.000 --> 00:04:07.000]  我要做別的話
[00:04:07.000 --> 00:04:10.000]  那麼你身上可能就負債十幾萬
[00:04:10.000 --> 00:04:14.000]  那這個就是現代
