
[00:00:00.000 --> 00:00:06.360]  我聆聽信在出國之前要請大家做一次低頭祈禱
[00:00:06.360 --> 00:00:09.000]  真心感謝你
[00:00:09.000 --> 00:00:12.100]  感謝你讓我們有機會在殿裡敬拜
[00:00:12.100 --> 00:00:16.480]  我們知道我們大英姐妹未能夠回到聖殿裡
[00:00:16.480 --> 00:00:18.720]  但她同樣懷著一個敬畏你
[00:00:18.720 --> 00:00:22.840]  渴望你懷個心在網上參與直播
[00:00:22.840 --> 00:00:25.120]  主無論我們在哪個環境裡
[00:00:25.120 --> 00:00:28.560]  讓我們在你面前敬拜你的心
[00:00:28.560 --> 00:00:31.040]  敬畏你的心都同盟你的月臘
[00:00:31.040 --> 00:00:33.240]  有樣講的和聽的
[00:00:33.240 --> 00:00:36.360]  在這一刻都能讓你得著月臘
[00:00:36.360 --> 00:00:38.360]  我們同心交托印上禱告
[00:00:38.360 --> 00:00:40.360]  奉諸耶穌基督的名咁
[00:00:40.360 --> 00:00:43.240]  阿們
[00:00:43.240 --> 00:00:44.600]  今天跟大家分享的是
[00:00:44.600 --> 00:00:47.880]  《雅各書》第五章13至20節
[00:00:47.880 --> 00:00:51.320]  是整個《雅各書》最後一段經文
[00:00:51.320 --> 00:00:52.640]  其實整個《雅各書》
[00:00:52.640 --> 00:00:55.320]  雅各作者都希望能夠
[00:00:55.320 --> 00:00:58.800]  帶給我們有新的看法
[00:00:58.800 --> 00:01:02.360]  首先我們看一看第13至15節
[00:01:02.360 --> 00:01:03.360]  經文告訴我們
[00:01:03.360 --> 00:01:05.320]  你們中間如果有受苦
[00:01:05.320 --> 00:01:06.920]  他應該祈禱
[00:01:06.920 --> 00:01:08.400]  有人喜樂的時候
[00:01:08.400 --> 00:01:10.360]  他應該歌頌
[00:01:10.360 --> 00:01:12.320]  提醒我們有好事
[00:01:12.320 --> 00:01:13.760]  或是我們覺得好的事
[00:01:13.760 --> 00:01:15.240]  如意的事的時候
[00:01:15.240 --> 00:01:19.320]  應該去歌頌、感謝、讚美上帝
[00:01:19.320 --> 00:01:22.120]  我不知道大家會不會發現
[00:01:22.120 --> 00:01:23.840]  可能我們身邊的人
[00:01:23.840 --> 00:01:26.880]  很多時候我們都會忘記上帝
[00:01:26.880 --> 00:01:28.720]  記得有好事發生的時候
[00:01:28.720 --> 00:01:30.320]  就是我的努力
[00:01:30.320 --> 00:01:31.920]  我很運氣
[00:01:31.920 --> 00:01:35.120]  其實忘記了那個是上帝的憐憫
[00:01:35.120 --> 00:01:37.480]  以及祂給你的恩典
[00:01:37.480 --> 00:01:39.120]  面對受苦的時候
[00:01:39.120 --> 00:01:41.600]  我們當然去祈禱
[00:01:41.600 --> 00:01:45.280]  祈禱求上帝撤去我們的苦悲
[00:01:45.280 --> 00:01:48.360]  在聖經裡面
[00:01:48.360 --> 00:01:50.360]  我們發現大衛
[00:01:50.360 --> 00:01:51.280]  他雖然知道
[00:01:51.280 --> 00:01:53.920]  自己得罪了上帝做錯了事
[00:01:53.920 --> 00:01:55.600]  上帝要懲罰他
[00:01:55.600 --> 00:01:59.120]  讓他剛好要出生的孩子
[00:01:59.120 --> 00:02:03.120]  不可以再保存生命
[00:02:03.120 --> 00:02:05.200]  大衛整夜不眠不休
[00:02:05.200 --> 00:02:07.280]  來懇求上帝
[00:02:07.280 --> 00:02:10.640]  可以保存他孩子的性命
[00:02:10.640 --> 00:02:13.080]  耶穌在面對上十字架的時候
[00:02:13.080 --> 00:02:15.360]  他感到很痛苦
[00:02:15.360 --> 00:02:18.520]  他求上帝去撤去他的苦悲
[00:02:18.520 --> 00:02:20.640]  耶穌在方說裡面教我們
[00:02:20.640 --> 00:02:22.640]  要誓而不死地去祈禱
[00:02:22.640 --> 00:02:23.760]  不要放棄
[00:02:23.760 --> 00:02:26.560]  就好像那個窮寡婦
[00:02:26.560 --> 00:02:28.880]  向一個不義的官去祈求
[00:02:28.880 --> 00:02:31.920]  直到對方答應為止
[00:02:31.920 --> 00:02:33.240]  是的沒錯
[00:02:33.240 --> 00:02:37.560]  上帝很喜歡我們凡事都向祂祈禱
[00:02:37.560 --> 00:02:41.080]  祈禱讓我們跟上帝更加親密
[00:02:41.080 --> 00:02:46.840]  因為你願意向上帝闖開你的心扉
[00:02:46.840 --> 00:02:50.120]  禱告會讓我們明白我們自己多一點
[00:02:50.120 --> 00:02:51.600]  因為當你越講的時候
[00:02:51.600 --> 00:02:55.400]  你更加會知道自己的心在想什麼
[00:02:55.400 --> 00:02:58.800]  同樣當你跟上帝傾訴的時候
[00:02:58.800 --> 00:03:03.040]  你都會明白上帝是怎麼想的
[00:03:03.040 --> 00:03:07.720]  其實禱告是信徒跟上帝交心的過程
[00:03:07.720 --> 00:03:10.320]  我們什麼事都會跟上帝分享
[00:03:10.320 --> 00:03:12.600]  去跟祂商量
[00:03:12.600 --> 00:03:14.360]  這一節的經文告訴我們
[00:03:14.360 --> 00:03:16.080]  在困苦的時候
[00:03:16.080 --> 00:03:18.280]  我們當然要祈禱
[00:03:18.280 --> 00:03:20.280]  不過事事如意的時候
[00:03:20.280 --> 00:03:23.600]  也都當去祈禱感謝
[00:03:23.600 --> 00:03:24.760]  第十四節
[00:03:24.760 --> 00:03:29.520]  雅閣提醒我們要為患病的去祈禱
[00:03:29.520 --> 00:03:31.840]  特別請教會的長老
[00:03:31.840 --> 00:03:34.200]  我們教會的體制不是叫長老
[00:03:34.200 --> 00:03:35.920]  是執事
[00:03:35.920 --> 00:03:38.200]  邀請教會的長老執事
[00:03:38.200 --> 00:03:40.200]  來為祂祈禱
[00:03:40.200 --> 00:03:42.240]  以及奉主耶穌基督的名
