
[00:00:00.000 --> 00:00:03.320]  今天的講題是《上帝捨不得你》
[00:00:03.320 --> 00:00:06.640]  羅馬書第三章
[00:00:06.640 --> 00:00:11.480]  我相信如果大家有留意一些好的公司
[00:00:11.480 --> 00:00:15.440]  你都會知道這些公司都有它的使命宣言
[00:00:15.440 --> 00:00:16.960]  有它的異象
[00:00:16.960 --> 00:00:18.800]  有它的核心價值
[00:00:18.800 --> 00:00:21.920]  有它經典產品的貢獻
[00:00:21.920 --> 00:00:24.080]  例如蘋果
[00:00:24.080 --> 00:00:27.760]  如果我問大家它的經典產品是什麼?
[00:00:27.760 --> 00:00:29.160]  是iPhone
[00:00:29.160 --> 00:00:32.560]  我不知道大家有沒有從iPhone 1開始買
[00:00:32.560 --> 00:00:34.360]  有沒有人開始用iPhone 1?
[00:00:34.360 --> 00:00:36.000]  哇,好厲害啊
[00:00:36.000 --> 00:00:37.480]  至少有一個
[00:00:37.480 --> 00:00:39.440]  我說iPhone 3才用而已
[00:00:39.440 --> 00:00:40.720]  我比較落後
[00:00:40.720 --> 00:00:44.440]  當然現在已經出了iPhone 14 Pro
[00:00:44.440 --> 00:00:46.000]  有沒有人這裏有14 Pro?
[00:00:46.000 --> 00:00:47.560]  舉個手
[00:00:47.560 --> 00:00:49.480]  咦,原來我們都比較古老
[00:00:49.480 --> 00:00:50.640]  哈哈哈
[00:00:50.640 --> 00:00:53.680]  好了,究竟它的異象是什麼呢?
[00:00:53.680 --> 00:00:54.520]  當然
[00:00:54.520 --> 00:00:55.800]  它的異象不是那麼膚淺
[00:00:55.800 --> 00:00:57.400]  要賺光這些錢
[00:00:57.400 --> 00:00:58.360]  是不是?
[00:00:58.360 --> 00:00:59.720]  它的異象,Vision
[00:00:59.720 --> 00:01:02.840]  它說「To make the best products on earth」
[00:01:02.840 --> 00:01:05.320]  下面一句非常偉大
[00:01:05.320 --> 00:01:09.440]  「And to leave the world better than we found it」
[00:01:09.440 --> 00:01:10.880]  我翻譯成中文
[00:01:10.880 --> 00:01:12.440]  「製造地球最好的產品」
[00:01:12.440 --> 00:01:15.040]  留下一個給我們看到更好的世界
[00:01:15.040 --> 00:01:16.640]  更好的世界
[00:01:16.640 --> 00:01:18.360]  哇,非常偉大
[00:01:18.360 --> 00:01:22.760]  那麼它的使命宣言是什麼呢?
[00:01:22.760 --> 00:01:24.360]  都是相當偉大的
[00:01:24.360 --> 00:01:29.040]  就是帶給客人最好的用家體驗
[00:01:29.040 --> 00:01:31.200]  所以你發現我們去那裏買東西的時候
[00:01:31.200 --> 00:01:34.040]  已經再沒有那些櫃檯付錢
[00:01:34.040 --> 00:01:36.440]  它來到你這裏跟你聊天
[00:01:36.440 --> 00:01:38.400]  當然我沒有買它的股票
[00:01:38.400 --> 00:01:39.640]  我也不是買它的廣告
[00:01:39.640 --> 00:01:42.680]  這個是它的使命宣言
[00:01:42.680 --> 00:01:43.920]  可可樂呢?
[00:01:43.920 --> 00:01:45.280]  它是什麼呢?
[00:01:45.280 --> 00:01:46.840]  大家有沒有喝過可樂?
[00:01:46.840 --> 00:01:48.480]  當然有,當然有
[00:01:48.480 --> 00:01:50.400]  它的經典產品是什麼?
[00:01:50.400 --> 00:01:51.400]  可可樂
[00:01:51.400 --> 00:01:55.560]  那它的異象使命宣言是非常偉大的
[00:01:55.560 --> 00:01:57.720]  就是去到「crop」
[00:01:57.720 --> 00:01:59.080]  用這個字可以嗎?
[00:01:59.080 --> 00:02:03.200]  精巧地製作人們喜歡喝的東西
[00:02:03.200 --> 00:02:05.160]  下一句就偉大了
[00:02:05.160 --> 00:02:09.880]  「Reflect them in body and spirit」
[00:02:09.880 --> 00:02:11.800]  哇,你下一節喝可樂
[00:02:11.800 --> 00:02:13.120]  就想着這句好嗎?
[00:02:13.120 --> 00:02:17.960]  哇,你的身體和靈魂都「Reflect」
[00:02:17.960 --> 00:02:19.400]  真的很偉大
[00:02:19.400 --> 00:02:20.720]  但是爲什麼今天這麼說呢?
[00:02:20.720 --> 00:02:22.840]  就是如果我們用這樣的想法
[00:02:22.840 --> 00:02:23.800]  想這些東西
[00:02:23.800 --> 00:02:26.080]  今天進入這段經文
[00:02:26.080 --> 00:02:29.520]  正正就是最核心中的核心
[00:02:29.520 --> 00:02:30.280]  是講什麼呢?
[00:02:30.280 --> 00:02:32.720]  在羅馬書提到
[00:02:32.720 --> 00:02:36.640]  那個信仰的經典使命以上核心
[00:02:36.640 --> 00:02:40.440]  也有很多我們見過很熟悉的章節
[00:02:40.440 --> 00:02:44.040]  例如「沒有二人連一個也」
[00:02:44.040 --> 00:02:45.160]  「沒有」
[00:02:45.160 --> 00:02:47.360]  它是很進的
[00:02:47.360 --> 00:02:51.240]  「世人都犯了罪」
[00:02:51.240 --> 00:02:53.400]  世人所有
[00:02:53.400 --> 00:02:58.440]  基督耶穌的救恩都白白地清夷
[00:02:58.440 --> 00:03:00.120]  這些很經典的經文
[00:03:00.120 --> 00:03:01.760]  很核心的經文
[00:03:01.760 --> 00:03:03.520]  彙集在第三章
[00:03:03.520 --> 00:03:06.520]  短短裏面
[00:03:06.520 --> 00:03:08.280]  也都在《神樂教》裏面看
[00:03:08.280 --> 00:03:11.400]  匯罪在這裏叫人「經」
[00:03:11.400 --> 00:03:13.040]  你不交換我們的救恩
[00:03:13.040 --> 00:03:13.840]  我們的罪
[00:03:13.840 --> 00:03:15.040]  我們的救贖
[00:03:15.040 --> 00:03:16.200]  我們的恩典
[00:03:16.200 --> 00:03:17.520]  挽回祭等等
[00:03:17.520 --> 00:03:19.400]  馬丁路德這樣形容
[00:03:19.400 --> 00:03:21.080]  羅馬書三章二十一到二十六
[00:03:21.080 --> 00:03:23.240]  就是整卷書
[00:03:23.240 --> 00:03:27.640]  甚至成本聖經
[00:03:27.640 --> 00:03:28.680]  最重要的內容
[00:03:28.680 --> 00:03:30.360]  不是其中一個重要的
[00:03:30.360 --> 00:03:32.520]  他認爲最重要的內容
[00:03:32.520 --> 00:03:34.440]  最重要的位置
