
[00:00:00.000 --> 00:00:02.000]  各位親愛的電影節目,你們好
[00:00:02.000 --> 00:00:04.000]  今天會跟大家分享一個題目
[00:00:04.000 --> 00:00:06.000]  就叫做難得支持
[00:00:06.000 --> 00:00:10.000]  在困難中得到支持是一個祝福
[00:00:10.000 --> 00:00:12.000]  其實現在我們每個人都活在困難當中
[00:00:12.000 --> 00:00:15.000]  特別可能你很熟悉的朋友
[00:00:15.000 --> 00:00:16.000]  或者你的家人
[00:00:16.000 --> 00:00:17.000]  現在在香港
[00:00:17.000 --> 00:00:20.000]  可能正在面對疫情
[00:00:20.000 --> 00:00:23.000]  我太太的家人都中了COVID-19
[00:00:23.000 --> 00:00:27.000]  亦都會有不少亦都中了
[00:00:27.000 --> 00:00:29.000]  但是都很困難
[00:00:29.000 --> 00:00:31.000]  有些人很害怕
[00:00:31.000 --> 00:00:32.000]  所以有些人
[00:00:32.000 --> 00:00:34.000]  我剛剛講了一個題目
[00:00:34.000 --> 00:00:37.000]  就叫做驚慌的社會
[00:00:37.000 --> 00:00:38.000]  怕什麼呢?
[00:00:38.000 --> 00:00:40.000]  怕隨時會有事,對不對?
[00:00:40.000 --> 00:00:42.000]  但是都要說謊
[00:00:42.000 --> 00:00:43.000]  不會去上報的
[00:00:43.000 --> 00:00:45.000]  因為容不二去了什麼呢?
[00:00:45.000 --> 00:00:47.000]  我說錯了
[00:00:47.000 --> 00:00:48.000]  因為我是牧師
[00:00:48.000 --> 00:00:49.000]  所以我經常都說了方舟醫院
[00:00:49.000 --> 00:00:50.000]  原來不是方舟醫院
[00:00:50.000 --> 00:00:52.000]  是方創醫院,對不對?
[00:00:52.000 --> 00:00:55.000]  真的很怕被送去那個地方
[00:00:55.000 --> 00:00:57.000]  所以暫時就不去了
[00:00:57.000 --> 00:00:59.000]  原來很多時候在困難裡面
[00:00:59.000 --> 00:01:01.000]  我們怎麼去面對呢?
[00:01:01.000 --> 00:01:02.000]  今天我們會從《聖經》裡面
[00:01:02.000 --> 00:01:04.000]  《貼索羅黎加前書》
[00:01:04.000 --> 00:01:07.000]  第三章第一到第十節那裡
[00:01:07.000 --> 00:01:11.000]  去看這些經文
[00:01:11.000 --> 00:01:12.000]  這些經文我們已經讀了
[00:01:12.000 --> 00:01:14.000]  所以我們就不讀了
[00:01:14.000 --> 00:01:15.000]  《貼索羅黎加前書》
[00:01:15.000 --> 00:01:16.000]  第三章第一到第十節裡面
[00:01:16.000 --> 00:01:20.000]  就說到我們怎麼去面對苦難
[00:01:20.000 --> 00:01:21.000]  一開始的時候會說到
[00:01:21.000 --> 00:01:23.000]  苦難是必然的
[00:01:23.000 --> 00:01:26.000]  這個世界裡面有很多的苦難
[00:01:26.000 --> 00:01:27.000]  正如我上次所說
[00:01:27.000 --> 00:01:28.000]  人生是什麼呢?
[00:01:28.000 --> 00:01:30.000]  不如以事十常八九,對不對?
[00:01:30.000 --> 00:01:33.000]  福無從志,禍不丹行
[00:01:33.000 --> 00:01:34.000]  但如果你看看現在這個世界裡面
[00:01:34.000 --> 00:01:36.000]  有些人在戰亂裡面
[00:01:36.000 --> 00:01:37.000]  但如果你看到這個
[00:01:37.000 --> 00:01:39.000]  在戰亂當中的時候
[00:01:39.000 --> 00:01:42.000]  在烏克蘭的情況
[00:01:42.000 --> 00:01:48.000]  一些人他們來來去去流離失所
[00:01:48.000 --> 00:01:51.000]  過百萬的人要逼離自己的家園
[00:01:51.000 --> 00:01:53.000]  要來去逃難
[00:01:53.000 --> 00:01:55.000]  甚至自己一手建立的事
[00:01:55.000 --> 00:01:57.000]  可能就毀於一旦
[00:01:57.000 --> 00:01:58.000]  是基於什麼?
[00:01:58.000 --> 00:02:01.000]  原來是基於一些領導人
[00:02:01.000 --> 00:02:04.000]  他們有自己的私心
[00:02:04.000 --> 00:02:05.000]  有自己的野心
[00:02:05.000 --> 00:02:08.000]  而令到很多無辜的人受害
[00:02:08.000 --> 00:02:11.000]  這些苦難是人為了造成的
[00:02:11.000 --> 00:02:16.000]  原來往往的困難是來自人的處理
[00:02:16.000 --> 00:02:18.000]  因為人禍是多過天災
[00:02:18.000 --> 00:02:20.000]  所以你留意到
[00:02:20.000 --> 00:02:22.000]  原來一些問題是產生在人
[00:02:22.000 --> 00:02:24.000]  特別是有權力的人上面
[00:02:24.000 --> 00:02:26.000]  如果做得不好的時候
[00:02:26.000 --> 00:02:29.000]  就令到無辜的人有受害
[00:02:29.000 --> 00:02:30.000]  但是請你記住
[00:02:30.000 --> 00:02:35.000]  基督徒完全沒有免受痛苦的允許
[00:02:35.000 --> 00:02:38.000]  聖經從來沒有說這件事
[00:02:38.000 --> 00:02:39.000]  反而很清楚說
[00:02:39.000 --> 00:02:40.000]  如果你作為一個基督徒的時候
[00:02:40.000 --> 00:02:43.000]  你要面對苦難和挑戰
[00:02:43.000 --> 00:02:44.000]  如果你做得好的時候
[00:02:44.000 --> 00:02:47.000]  更加的離得去不容易
[00:02:47.000 --> 00:02:49.000]  我們一齊離得去看約翰一書
[00:02:49.000 --> 00:02:51.000]  第三章第十三節
[00:02:51.000 --> 00:02:59.000]  我們一齊離得去讀出
[00:02:59.000 --> 00:03:00.000]  聖經很清楚說
[00:03:00.000 --> 00:03:01.000]  如果世人恨我們的時候
[00:03:01.000 --> 00:03:03.000]  不要想著稀奇
[00:03:03.000 --> 00:03:05.000]  如果我們作為基督徒
[00:03:05.000 --> 00:03:08.000]  我們要堅守神給我們的原則
[00:03:08.000 --> 00:03:12.000]  或許我們不一定要指出別人的錯
[00:03:12.000 --> 00:03:13.000]  但是你做得好
[00:03:13.000 --> 00:03:15.000]  已經反映出別人的軟弱
[00:03:15.000 --> 00:03:17.000]  或者失敗
[00:03:17.000 --> 00:03:19.000]  如果你更加的離得去
[00:03:19.000 --> 00:03:20.000]  指出別人的錯的時候
[00:03:20.000 --> 00:03:22.000]  你不會得到別人的讚賞
[00:03:22.000 --> 00:03:26.000]  反而很可能會得到別人的拒絕
[00:03:26.000 --> 00:03:30.000]  甚至對你作出一些無理的攻擊
[00:03:30.000 --> 00:03:32.000]  原來聖經裡面從沒有告訴我們
[00:03:32.000 --> 00:03:33.000]  信得耶穌之後
[00:03:33.000 --> 00:03:35.000]  我們有一條平坦大道
[00:03:35.000 --> 00:03:37.000]  花香常萬任意拒絕
[00:03:37.000 --> 00:03:38.000]  不是啊
[00:03:38.000 --> 00:03:40.000]  是會有困難
[00:03:40.000 --> 00:03:41.000]  會有挑戰
[00:03:41.000 --> 00:03:44.000]  所以聖經裡面很清楚提醒我們
[00:03:44.000 --> 00:03:46.000]  我們每一個基督徒
[00:03:46.000 --> 00:03:49.000]  都可能會面對這個苦難
[00:03:49.000 --> 00:03:52.000]  我們沒有這個免受苦的金牌
[00:03:52.000 --> 00:03:54.000]  好了 如果我們再看的時候
[00:03:54.000 --> 00:03:55.000]  保羅很清楚說
[00:03:55.000 --> 00:03:58.000]  我們受苦原是命定的
[00:03:58.000 --> 00:03:59.000]  我們一起來再讀
[00:03:59.000 --> 00:04:01.000]  接著來看前書第三章
[00:04:01.000 --> 00:04:02.000]  第三到第四節
[00:04:02.000 --> 00:04:04.000]  我們一起來讀出
[00:04:17.000 --> 00:04:20.000]  保羅原來跟帖撒羅尼迦教會說
[00:04:20.000 --> 00:04:22.000]  我一早告訴你
[00:04:22.000 --> 00:04:25.000]  我們是會受苦 受患難
[00:04:25.000 --> 00:04:28.000]  如果我再看保羅
[00:04:28.000 --> 00:04:30.000]  在帖撒羅尼迦這個地方裡面
[00:04:30.000 --> 00:04:32.000]  遇到什麼患難
[00:04:32.000 --> 00:04:35.000]  保羅去到帖撒羅尼迦的地方裡面
[00:04:35.000 --> 00:04:37.000]  去宣講福音
[00:04:37.000 --> 00:04:39.000]  很多人歸向了主
[00:04:39.000 --> 00:04:42.000]  但是卻是引來自己人
[00:04:42.000 --> 00:04:45.000]  是自己猶太同胞的不滿
[00:04:45.000 --> 00:04:48.000]  因為他否定了保羅所做的事情
[00:04:48.000 --> 00:04:51.000]  於是就要尼迦去對付保羅
[00:04:51.000 --> 00:04:54.000]  我們看看照行傳第十七章
[00:04:54.000 --> 00:04:56.000]  第四到第五節
[00:04:56.000 --> 00:04:58.000]  我們一起來尼迦去讀出
[00:05:15.000 --> 00:05:17.000]  因為保羅傳福有一個很大的果效
[00:05:17.000 --> 00:05:19.000]  有很多人來信
[00:05:19.000 --> 00:05:21.000]  於是產生一些人的不滿
[00:05:21.000 --> 00:05:23.000]  於是他們做些什麼呢
[00:05:23.000 --> 00:05:25.000]  他們尼迦去散播謠言
[00:05:25.000 --> 00:05:28.000]  就說到保羅是搞亂天下的
[00:05:28.000 --> 00:05:30.000]  還有是什麼呢
[00:05:30.000 --> 00:05:34.000]  他們尼迦去連結那些市井匪類
[00:05:34.000 --> 00:05:36.000]  就是黑市井匪類
[00:05:36.000 --> 00:05:38.000]  黑市井匪類
[00:05:38.000 --> 00:05:40.000]  那些市井匪類
