
[00:00:00.000 --> 00:00:02.240]  鼎子妹主女平安
[00:00:02.240 --> 00:00:05.860]  最近我在Facebook看到一條短片
[00:00:05.860 --> 00:00:08.600]  短片中拍攝了一隻鸚鵡
[00:00:08.600 --> 00:00:11.420]  被稱為世界上最聰明的鸚鵡
[00:00:11.420 --> 00:00:14.120]  這隻鸚鵡的名字叫愛因斯坦
[00:00:14.120 --> 00:00:15.120]  Einstein
[00:00:15.120 --> 00:00:17.560]  不如我們來看看牠有多厲害
[00:00:30.000 --> 00:00:32.840]  The pretty songbirds? How about a rooster?
[00:00:32.840 --> 00:00:34.960]  Can you do a horse?
[00:00:34.960 --> 00:00:36.460]  Can you do a cat?
[00:00:36.460 --> 00:00:38.360]  How about a dog? Can you bark?
[00:00:38.360 --> 00:00:42.420]  Fly on the spaceship? And shoot the lasers?
[00:00:42.420 --> 00:00:44.180]  How about a knock at the door?
[00:00:44.180 --> 00:00:46.360]  Einstein, can you help me call the dogs?
[00:00:46.360 --> 00:00:50.960]  Good! He said it's time to go!
[00:00:50.960 --> 00:00:56.240]  我都好想有隻咁嘅鸚鵡啊,你想唔想啊?
[00:00:56.240 --> 00:00:59.560]  啊,一隻鸚鵡咁犀利啊,係咪啊?
[00:00:59.560 --> 00:01:02.480]  可以呢,個模仿能力咁高啊
[00:01:02.480 --> 00:01:04.480]  有得模仿都好似啊,係咪啊?
[00:01:04.480 --> 00:01:07.540]  我唔知呢,當你睇到個短片嘅時候,你即刻睇到呢就係
[00:01:07.540 --> 00:01:11.100]  哇,隻鸚鵡好犀利啊,一定話你睇到
[00:01:11.100 --> 00:01:13.620]  背後創造嗰隻鸚鵡
[00:01:13.620 --> 00:01:15.200]  嘅神更加犀利啊
[00:01:15.200 --> 00:01:18.160]  一隻咁細嘅隻鸚鵡
[00:01:18.160 --> 00:01:22.140]  都能夠有咁多智慧,咁巧妙,係咪啊?
[00:01:22.140 --> 00:01:25.480]  如果你認同嘅話,你就會好明白呢
[00:01:25.480 --> 00:01:27.800]  詩人喺詩篇139篇
[00:01:27.800 --> 00:01:30.440]  對天父嘅描述同埋讚美
[00:01:30.440 --> 00:01:33.280]  不如我哋一齊嚟打開今日嘅呢篇嘅詩篇
[00:01:33.280 --> 00:01:35.620]  詩篇139篇啦
[00:01:35.620 --> 00:01:42.080]  喺教會聖經教養嘅部份,第819面
[00:01:42.080 --> 00:01:44.540]  今日呢,我嘗試全篇都讀哂
[00:01:44.540 --> 00:01:47.080]  咁所以你打開咗呢,就唔需要撳埋啦
[00:01:47.080 --> 00:01:56.080]  呢篇嘅詩篇可以分為兩大部份
[00:01:56.080 --> 00:02:00.160]  第一部份呢,係講述詩人對上帝嘅認識
[00:02:00.160 --> 00:02:03.560]  而第二部份呢,就係詩人向上帝嘅回應
[00:02:03.560 --> 00:02:06.760]  開始嘅頭18節嘅經文
[00:02:06.760 --> 00:02:10.080]  詩人呢,透過咗一層述上帝嘅屬性
