
[00:00:00.000 --> 00:00:03.600]  今天和大家分享的題目叫"四色聖誕"
[00:00:03.600 --> 00:00:08.120]  與什麼運動、革命沒有關係
[00:00:08.120 --> 00:00:10.720]  四種顏色其實比較容易記得
[00:00:10.720 --> 00:00:13.040]  我今天會講四類人物
[00:00:13.040 --> 00:00:20.120]  美國有一年總統宣佈
[00:00:20.120 --> 00:00:22.640]  很偉大的人類
[00:00:22.640 --> 00:00:25.480]  因爲美國發明瞭太空船
[00:00:25.480 --> 00:00:28.520]  將人類歷史改寫
[00:00:28.520 --> 00:00:31.720]  他說我們的人類很偉大
[00:00:31.720 --> 00:00:33.520]  我們終於發明了太空船
[00:00:33.520 --> 00:00:38.160]  可以將一個人從地上升到天上
[00:00:38.160 --> 00:00:40.680]  當時這個消息一出現
[00:00:40.680 --> 00:00:44.440]  看到太空人插着旗子在月球的時候
[00:00:44.440 --> 00:00:46.320]  有一個神學家就回應
[00:00:46.320 --> 00:00:48.400]  其實人類並不是偉大
[00:00:48.400 --> 00:00:49.880]  因爲二千多年前
[00:00:49.880 --> 00:00:52.600]  是上帝由上邊下來
[00:00:52.600 --> 00:00:55.000]  改寫了整個人類的命運
[00:00:55.000 --> 00:00:58.600]  這個就是聖誕節一個很重要的意思
[00:00:58.600 --> 00:01:03.720]  上帝在耶穌基督的來到當中
[00:01:03.720 --> 00:01:05.680]  宣講一個普世的信息
[00:01:05.680 --> 00:01:08.600]  改變了整個人類的命運
[00:01:08.600 --> 00:01:09.880]  這個纔是重要的
[00:01:09.880 --> 00:01:12.920]  今天透過這段聖經
[00:01:12.920 --> 00:01:16.440]  我們看看耶穌來到的時候
[00:01:16.440 --> 00:01:18.080]  祂也在影響
[00:01:18.080 --> 00:01:20.240]  即使在祂的那個年代
[00:01:20.240 --> 00:01:21.840]  原來也有不同的人
[00:01:21.840 --> 00:01:25.160]  對耶穌出世也有不同的反應
[00:01:25.160 --> 00:01:29.040]  我們來看看有哪四類人
[00:01:29.040 --> 00:01:30.920]  這四類人比較容易記得
[00:01:30.920 --> 00:01:32.360]  我用了四種顏色
[00:01:32.360 --> 00:01:33.840]  不是這四種
[00:01:33.840 --> 00:01:36.120]  那四種顏色就是
[00:01:36.120 --> 00:01:37.680]  我先看看
[00:01:37.680 --> 00:01:40.880]  綠色 灰色 黑色 白色
[00:01:40.880 --> 00:01:44.160]  綠色 灰色 黑色 白色
[00:01:44.160 --> 00:01:45.560]  記不記得
[00:01:45.560 --> 00:01:48.360]  講一次來聽聽
[00:01:48.360 --> 00:01:50.680]  黑色 白色 這四類人
[00:01:50.680 --> 00:01:53.400]  我們就從這四類人
[00:01:53.400 --> 00:01:56.080]  透過這四類人去反省一下
[00:01:56.080 --> 00:01:58.040]  我們可以從這四類人的生命
[00:01:58.040 --> 00:02:00.720]  反省一下自己自身的生命
[00:02:00.720 --> 00:02:02.920]  第一類人其實就是
[00:02:02.920 --> 00:02:04.000]  博士
[00:02:04.000 --> 00:02:08.160]  我們一起讀多一次第一第二節
[00:02:08.160 --> 00:02:08.920]  準備
[00:02:08.920 --> 00:02:10.560]  一二三
[00:02:10.560 --> 00:02:12.960]  在希律作王的時候
[00:02:12.960 --> 00:02:15.720]  耶穌出伯利恆的
[00:02:15.720 --> 00:02:18.080]  有幾個博士
[00:02:18.080 --> 00:02:21.200]  從東方來到耶路撒冷說
[00:02:21.200 --> 00:02:25.600]  那生下來作猶大人之王的在那裏
[00:02:25.600 --> 00:02:29.800]  我們在東方看見他的聖德內子
[00:02:29.800 --> 00:02:31.880]  好 第一類人呢
[00:02:31.880 --> 00:02:33.520]  我用綠色去形容
[00:02:33.520 --> 00:02:36.880]  Green 或者是
[00:02:36.880 --> 00:02:39.440]  好像什麼都沒有的樣子
[00:02:39.440 --> 00:02:40.800]  第一類人是博士
[00:02:40.800 --> 00:02:42.760]  他們由東方而來
[00:02:42.760 --> 00:02:45.360]  其實是相對於伯利恆的東方
[00:02:45.360 --> 00:02:47.200]  其實那個是什麼地方呢
[00:02:47.200 --> 00:02:48.680]  我們也不太知道
[00:02:48.680 --> 00:02:51.320]  不過我們知道那個是一個
[00:02:51.320 --> 00:02:53.120]  他不認識上帝的地方
[00:02:53.120 --> 00:02:56.760]  或者不認識以色列人的上帝的地方
[00:02:56.760 --> 00:02:59.880]  所以你可以說他們是一羣外邦人
[00:02:59.880 --> 00:03:03.160]  一羣不認識上帝的外邦人
[00:03:03.160 --> 00:03:05.200]  這裏說有幾個博士
[00:03:05.200 --> 00:03:08.600]  大家都知道有多少個 知不知道
[00:03:08.600 --> 00:03:10.160]  知不知道有多少個
[00:03:10.160 --> 00:03:11.680]  三個
[00:03:11.680 --> 00:03:13.840]  三個和四個都是錯的 知不知道
[00:03:13.840 --> 00:03:16.240]  有幾個就是他說的
[00:03:16.240 --> 00:03:18.000]  從來都不知道有多少個
[00:03:18.000 --> 00:03:21.000]  我們通常都說三個博士
[00:03:21.000 --> 00:03:22.280]  我們其實都不知道多少個
[00:03:22.280 --> 00:03:24.280]  我小時候以爲是四個人
[00:03:24.280 --> 00:03:27.360]  因爲我記得我小學都是讀中華基督教會
[00:03:27.360 --> 00:03:30.400]  那時候我是做第四個博士
[00:03:30.400 --> 00:03:32.000]  我一直印象中
[00:03:32.000 --> 00:03:34.920]  以爲這個世界有四個博士
[00:03:34.920 --> 00:03:37.880]  後來知道老師是罰那些不聰明的同學
[00:03:37.880 --> 00:03:39.680]  叫他做多一個角色
[00:03:39.680 --> 00:03:41.480]  但那個角色是不準出聲的
[00:03:41.480 --> 00:03:42.560]  不過我們都不夠慘
[00:03:42.560 --> 00:03:44.480]  最不聰明的是做了羊
[00:03:44.480 --> 00:03:47.560]  在那裏趴着 只會說什麼什麼
[00:03:47.560 --> 00:03:49.280]  最不聰明的那些
[00:03:49.280 --> 00:03:50.760]  不知道有多少個
[00:03:50.760 --> 00:03:53.640]  不過他們的博士
[00:03:53.640 --> 00:03:56.520]  我們千萬不要以爲是今天的博士
[00:03:56.520 --> 00:03:57.640]  完全沒有關係
[00:03:57.640 --> 00:03:59.280]  如果你看回這段聖經
[00:03:59.280 --> 00:04:05.160]  有一個細字在版底的左邊
[00:04:05.160 --> 00:04:07.360]  右邊左邊的細字
[00:04:07.360 --> 00:04:11.760]  其實博士是指占星家或者觀星的人
[00:04:11.760 --> 00:04:14.200]  當時觀星是一種學問
[00:04:14.200 --> 00:04:16.280]  其實最重要的是
[00:04:16.280 --> 00:04:18.520]  觀星是一種學問
[00:04:18.520 --> 00:04:22.480]  他們相信地上如果發生一些很特別的事
[00:04:22.480 --> 00:04:25.000]  在天上會反映出來
[00:04:25.000 --> 00:04:27.280]  即是說天和地是對應的
[00:04:27.280 --> 00:04:29.680]  如果地上有些特別的事情
[00:04:29.680 --> 00:04:32.400]  你在天上會透過看星
[00:04:32.400 --> 00:04:34.880]  知道地上會發生一些特別的事
[00:04:34.880 --> 00:04:38.120]  所以當時這些博士 占星家
[00:04:38.120 --> 00:04:41.840]  他就懷着這個信念去找
[00:04:41.840 --> 00:04:45.000]  這個地上會出現一個新生的王
[00:04:45.000 --> 00:04:51.680]  所以他就按着這種對應的思想去找他們
[00:04:51.680 --> 00:04:54.440]  帶着黃金與香抹藥
[00:04:54.440 --> 00:04:55.600]  黃金與香抹藥
[00:04:55.600 --> 00:04:58.760]  如果大家有讀過少少聖經的背景
[00:04:58.760 --> 00:05:01.720]  就知道是在形容耶穌基督的身份
