
[00:00:00.000 --> 00:00:02.200]  從「肥立彼」到「同福」
[00:00:02.200 --> 00:00:04.840]  我用的經文是給大家的
[00:00:04.840 --> 00:00:07.000]  就是二章十二至十八節
[00:00:07.000 --> 00:00:09.440]  其實我是說不了這麼多的
[00:00:09.440 --> 00:00:12.400]  這一堂課只可以說一節經文多一點
[00:00:12.400 --> 00:00:15.240]  就是十二節尾至到十三節
[00:00:15.240 --> 00:00:17.600]  不如我讀一次給大家聽聽
[00:00:17.600 --> 00:00:19.880]  我從第十二節讀完第十三節
[00:00:19.880 --> 00:00:21.000]  我沒有打出來的
[00:00:21.000 --> 00:00:23.600]  「這樣看來我親愛的弟兄
[00:00:23.600 --> 00:00:25.800]  你們既是常信服的
[00:00:25.800 --> 00:00:27.920]  不但我在你們那裡
[00:00:27.920 --> 00:00:30.720]  就是我如今不在你們那裡
[00:00:30.720 --> 00:00:32.400]  更是信服的
[00:00:32.400 --> 00:00:34.800]  就當恐懼戰勁
[00:00:34.800 --> 00:00:37.520]  造成你們得救的功夫
[00:00:37.520 --> 00:00:40.280]  因為你們立志行事
[00:00:40.280 --> 00:00:43.280]  都是神在你們心裡運行
[00:00:43.280 --> 00:00:46.680]  為要成就他的美意」
[00:00:46.680 --> 00:00:49.920]  今天說的經文其實主要是這一方面的
[00:00:49.920 --> 00:00:52.080]  「肥立彼教會」我不知道我們中間
[00:00:52.080 --> 00:00:53.760]  第一節會對它有多少認識
[00:00:53.760 --> 00:00:55.400]  有些人認識得多一點
[00:00:55.400 --> 00:00:56.120]  知道得多一點
[00:00:56.120 --> 00:00:57.480]  有些人可能比較少
[00:00:57.480 --> 00:00:59.600]  簡單一點我給大家一些背景
[00:00:59.600 --> 00:01:03.320]  「肥立彼教會」是保羅在歐洲建立的第一所教會
[00:01:03.320 --> 00:01:06.360]  也從書信或者各方面的東西都讓我們知道
[00:01:06.360 --> 00:01:08.880]  是跟保羅的關係非常密切的
[00:01:08.880 --> 00:01:09.920]  就知道這麼多
[00:01:09.920 --> 00:01:11.960]  我預備的時候就發覺有幾方面
[00:01:11.960 --> 00:01:15.080]  我覺得跟童福堂某些地方有些影子
[00:01:15.080 --> 00:01:15.840]  第一
[00:01:15.840 --> 00:01:19.240]  這間教會是從領受異象而產生的
[00:01:19.240 --> 00:01:23.360]  保羅和他的團隊本來想著向北
[00:01:23.360 --> 00:01:26.280]  但是神的令禁止不讓他們向北
[00:01:26.280 --> 00:01:28.920]  然後在異象當中有馬其頓人說
[00:01:28.920 --> 00:01:29.840]  「你過來幫我吧」
[00:01:29.840 --> 00:01:32.560]  於是保羅整團就改變了方向
[00:01:32.560 --> 00:01:33.960]  好像打風一樣
[00:01:33.960 --> 00:01:34.880]  不這樣
[00:01:34.880 --> 00:01:36.880]  於是就向了那邊
[00:01:36.880 --> 00:01:39.640]  在異象裡面產生出來的
[00:01:39.640 --> 00:01:40.400]  第二
[00:01:40.400 --> 00:01:41.800]  這間教會是什麼呢?
[00:01:41.800 --> 00:01:44.360]  是一間從禱告當中開始的教會
[00:01:44.360 --> 00:01:46.040]  到了肥立彼的時候
[00:01:46.040 --> 00:01:48.080]  保羅按照慣常的規例
[00:01:48.080 --> 00:01:55.440]  一定去當地的猶太會堂聚集
