
[00:00:00.000 --> 00:00:03.220]  請我們一齊再同心禱告
[00:00:03.220 --> 00:00:05.220]  求主帶領我們這段時間
[00:00:05.220 --> 00:00:07.580]  天父 多謝祢
[00:00:07.580 --> 00:00:09.580]  祢給福音的使命我們
[00:00:09.580 --> 00:00:12.420]  祢交託了這個使命給我們
[00:00:12.420 --> 00:00:14.020]  願意我們能夠忠心
[00:00:14.020 --> 00:00:15.300]  今天我們一同去學習
[00:00:15.300 --> 00:00:17.040]  求主祢帶領保守
[00:00:17.040 --> 00:00:18.800]  祈禱奉主耶穌基督的名
[00:00:18.800 --> 00:00:19.740]  阿門
[00:00:19.740 --> 00:00:23.540]  英國有位牧者叫William Barclay
[00:00:23.540 --> 00:00:26.180]  William Barclay講過一個比喻
[00:00:26.180 --> 00:00:30.760]  他說如果有一個醫生發明了一個藥物
[00:00:30.760 --> 00:00:32.760]  能夠治好癌症的
[00:00:32.760 --> 00:00:35.460]  你想想這是一個非常好的消息
[00:00:35.460 --> 00:00:40.100]  但是要怎樣去幫助所有癌症的病人呢?
[00:00:40.100 --> 00:00:41.300]  這個世界這麼大
[00:00:41.300 --> 00:00:44.400]  唯有不能夠一個人這樣走去
[00:00:44.400 --> 00:00:45.820]  因為一個人這樣
[00:00:45.820 --> 00:00:47.820]  沒辦法幫助太多人
[00:00:47.820 --> 00:00:51.100]  唯有整個團隊一齊出去
[00:00:51.100 --> 00:00:52.620]  同心協力地
[00:00:52.620 --> 00:00:56.780]  將世界每個角落的人的需要一些癌症的病患者
[00:00:56.780 --> 00:00:58.420]  可以去給這個藥
[00:00:58.420 --> 00:01:00.660]  這個雖然是一個假設
[00:01:00.660 --> 00:01:02.300]  但是你想一想
[00:01:02.300 --> 00:01:04.180]  William Barclay其實是在講什麼呢?
[00:01:04.180 --> 00:01:05.620]  他在講福音
[00:01:05.620 --> 00:01:09.380]  福音正是人很大的禍患
[00:01:09.380 --> 00:01:10.820]  在罪惡裡面
[00:01:10.820 --> 00:01:12.340]  最終面對死亡
[00:01:12.340 --> 00:01:14.900]  其實這個比癌症更加的可怕
[00:01:14.900 --> 00:01:19.220]  這個去到將人帶到一個滅亡的情況
[00:01:19.220 --> 00:01:22.060]  但是神為別人預備了一件事
[00:01:22.060 --> 00:01:25.740]  耶穌基督以致這個盼望能夠去到永生
[00:01:25.740 --> 00:01:29.340]  這個豈不是更加大的一個很好的消息
[00:01:29.340 --> 00:01:30.620]  能夠醫治到人
[00:01:30.620 --> 00:01:31.940]  那怎麼做呢?
[00:01:31.940 --> 00:01:32.780]  進行很簡單
[00:01:32.780 --> 00:01:35.220]  首先讓人認識耶穌基督
[00:01:35.220 --> 00:01:41.700]  然後整個教會一起在福音的使命裡面去努力
[00:01:41.700 --> 00:01:43.140]  不是一個人
[00:01:43.140 --> 00:01:44.180]  不是只有目者
[00:01:44.180 --> 00:01:45.500]  是一群人
[00:01:45.500 --> 00:01:48.140]  因為耶穌基督是我們教會的頭
[00:01:48.140 --> 00:01:50.580]  我們整個身體
[00:01:50.580 --> 00:01:51.900]  整個教會
[00:01:51.900 --> 00:01:54.060]  用我們的手
[00:01:54.060 --> 00:01:56.940]  為耶穌基督的鳳釵蜆去工作
[00:01:56.940 --> 00:01:59.500]  我們的腳要走到不同的地方
[00:01:59.500 --> 00:02:02.700]  我們的嘴巴要將神的話語宣講
[00:02:02.700 --> 00:02:04.340]  這個是非常重要的
[00:02:04.340 --> 00:02:06.580]  你想一下今天是不是
[00:02:06.580 --> 00:02:08.500]  我們經常都說
[00:02:08.500 --> 00:02:12.660]  想一下這個新冠肺炎
[00:02:12.660 --> 00:02:17.340]  我們很盼望有一個疫苗能夠研製出來
[00:02:17.340 --> 00:02:18.700]  現在都在講
[00:02:18.700 --> 00:02:19.580]  怎麼能夠呢?
[00:02:19.580 --> 00:02:21.540]  最重要就是研製了之後
[00:02:21.540 --> 00:02:23.540]  怎麼分配到不同的地方
[00:02:23.540 --> 00:02:23.900]  是不是?
[00:02:23.900 --> 00:02:26.020]  我們都有這樣的計劃
[00:02:26.020 --> 00:02:27.540]  並且是想到這樣
[00:02:27.540 --> 00:02:30.980]  更何況我們寶貴的福音呢?
[00:02:30.980 --> 00:02:33.300]  但是很可惜
[00:02:33.300 --> 00:02:35.620]  我們有一個調查
[00:02:35.620 --> 00:02:37.300]  在美國的信徒
[00:02:37.300 --> 00:02:38.300]  美國的人
[00:02:38.300 --> 00:02:39.900]  他們就發覺
[00:02:39.900 --> 00:02:41.220]  在某一年
[00:02:41.220 --> 00:02:45.940]  就是1990幾的年代
[00:02:45.940 --> 00:02:47.380]  雖然是那段時間
[00:02:47.380 --> 00:02:50.180]  但是我估計也給我們一個對照參考
