
[00:00:00.000 --> 00:00:02.000]  各位大英姊妹 早晨
[00:00:02.000 --> 00:00:02.680]  早晨
[00:00:02.680 --> 00:00:05.960]  今天剛才Priscilla也跟我們說了
[00:00:05.960 --> 00:00:08.240]  今天是年廿七
[00:00:08.240 --> 00:00:10.200]  明天就是年廿八
[00:00:10.200 --> 00:00:12.200]  所以我今天想到一個題目
[00:00:12.200 --> 00:00:14.840]  就是其實我們新年之前
[00:00:14.840 --> 00:00:16.160]  大家都會
[00:00:16.160 --> 00:00:18.320]  年廿八會做什麼呢
[00:00:18.320 --> 00:00:19.200]  洗髮
[00:00:19.200 --> 00:00:24.560]  不過是否近年都不會做了
[00:00:24.560 --> 00:00:29.280]  這個習俗或者習慣
[00:00:29.280 --> 00:00:33.040]  都是我們上一代會做的
[00:00:33.040 --> 00:00:37.480]  我記得小時候看媽媽做得多
[00:00:37.480 --> 00:00:39.280]  但是到我自己
[00:00:39.280 --> 00:00:43.120]  其實說真的我都沒有做的
[00:00:43.120 --> 00:00:49.440]  不過不知道大家會不會有一件事
[00:00:49.440 --> 00:00:54.960]  我們可能我這個年紀再打賞的人會
[00:00:54.960 --> 00:00:57.520]  但是可能年輕的就不會了
[00:00:57.520 --> 00:01:00.000]  就是每逢新年的時候
[00:01:00.000 --> 00:01:05.600]  都會買一套新的衣服過年
[00:01:05.600 --> 00:01:07.320]  會不會的
[00:01:07.320 --> 00:01:10.040]  是啊 我看到年輕的那些都會回頭的
[00:01:10.040 --> 00:01:12.880]  因為買新衣服過年
[00:01:12.880 --> 00:01:15.960]  買新衣服在我們小時候
[00:01:15.960 --> 00:01:19.960]  就是過年的時候很期待會做這件事
[00:01:19.960 --> 00:01:23.200]  就是有新衣服可以買
[00:01:23.200 --> 00:01:27.680]  平時都是穿比較舊的衣服
[00:01:27.680 --> 00:01:30.040]  一到新年就必定有新衣服穿
[00:01:30.040 --> 00:01:32.320]  是很開心很期待的
[00:01:32.320 --> 00:01:36.440]  但是現在我們的下一代很幸福的
[00:01:36.440 --> 00:01:39.560]  尤其是現在我們的下一代更加
[00:01:39.560 --> 00:01:44.040]  新衣服這件事一年三百六十五天都可以買的
[00:01:44.040 --> 00:01:45.680]  但是我們
[00:01:45.680 --> 00:01:50.240]  我記得我小時候就很期待去買新衣服
