
[00:00:00.000 --> 00:00:03.000]  各位弟兄姊妹,今個月是差泉月
[00:00:03.000 --> 00:00:09.000]  所以我今天就和大家看一本和差泉主題很有關係的書卷
[00:00:09.000 --> 00:00:11.000]  就是《若拿書》
[00:00:11.000 --> 00:00:18.000]  深信很多資深的弟兄姊妹都知道《若拿書》的一些內容
[00:00:18.000 --> 00:00:23.000]  它是說到若拿因為不聽神的吩咐
[00:00:23.000 --> 00:00:27.000]  去到亞述的首都尼尼未成
[00:00:27.000 --> 00:00:29.000]  傳一個審判的訊息
[00:00:29.000 --> 00:00:31.000]  他想去逃跑
[00:00:31.000 --> 00:00:33.000]  去到他斯這個地方
[00:00:33.000 --> 00:00:35.000]  但是中途的時候
[00:00:35.000 --> 00:00:37.000]  他遭到神的管教
[00:00:37.000 --> 00:00:39.000]  遇到大風浪
[00:00:39.000 --> 00:00:44.000]  最終他就要被人拋到大海那裡
[00:00:44.000 --> 00:00:46.000]  差不多淹死的時候
[00:00:46.000 --> 00:00:48.000]  神就差演一條大魚
[00:00:48.000 --> 00:00:49.000]  吞了他下肚
[00:00:49.000 --> 00:00:51.000]  三天三夜
[00:00:51.000 --> 00:00:56.000]  之後這條大魚就把他吐出去乾地那裡
[00:00:56.000 --> 00:00:58.000]  他就順服神了
[00:00:58.000 --> 00:01:03.000]  願意去到尼尼未成那裡傳講神的話
[00:01:03.000 --> 00:01:09.000]  結果那幫尼尼未人願意悔改而得救
[00:01:09.000 --> 00:01:14.000]  今天我想邀請大家從傳書的結構
[00:01:14.000 --> 00:01:16.000]  看看神透過這本書
[00:01:16.000 --> 00:01:19.000]  向我們傳什麼福音的訊息
[00:01:19.000 --> 00:01:21.000]  或者是差泉的訊息
[00:01:21.000 --> 00:01:23.000]  傳書的結構
[00:01:23.000 --> 00:01:25.000]  簡單一點來分
[00:01:25.000 --> 00:01:27.000]  可以分為七段
[00:01:27.000 --> 00:01:29.000]  你看到AA那兩段
[00:01:29.000 --> 00:01:36.000]  就是神兩次差演約拿去到尼尼未成那裡
[00:01:36.000 --> 00:01:38.000]  傳講審判的訊息
[00:01:38.000 --> 00:01:42.000]  BB那兩段就是約拿兩次
