
[00:00:00.000 --> 00:00:03.400]  一連的六堂的情緒
[00:00:03.400 --> 00:00:04.600]  現在進入最後一堂了
[00:00:04.600 --> 00:00:08.240]  重溫很快我們過往那五堂的情緒
[00:00:08.240 --> 00:00:10.600]  去那些小組
[00:00:10.600 --> 00:00:12.360]  他們那些弟兄姊妹告訴我
[00:00:12.360 --> 00:00:15.200]  是的 很多事情都挺hit中我的
[00:00:15.200 --> 00:00:20.400]  昨天我說過自然去下午的分享裡面
[00:00:20.400 --> 00:00:21.600]  有位弟兄說
[00:00:21.600 --> 00:00:23.700]  哇 他很高的
[00:00:23.700 --> 00:00:26.600]  所以第一句我不夠高的那句
[00:00:26.600 --> 00:00:29.400]  就不成立 其餘全部中了
[00:00:29.400 --> 00:00:31.600]  所以我都很驚訝
[00:00:31.600 --> 00:00:32.800]  其實說情緒的時候
[00:00:32.800 --> 00:00:35.200]  我都不知道大家是這麼適合你們
[00:00:35.200 --> 00:00:38.200]  今天很快地說
[00:00:38.200 --> 00:00:44.000]  憤怒 憂鬱 焦慮 苦毒 自憐
[00:00:44.000 --> 00:00:45.400]  今天我們說快樂
[00:00:45.400 --> 00:00:49.200]  過往那五種都是不好的情緒
[00:00:49.200 --> 00:00:53.800]  不好的情緒我們要有辦法然後走出來
[00:00:53.800 --> 00:00:56.400]  今天可以說是一個總結天
[00:00:56.400 --> 00:01:00.600]  就是說怎樣去進入快樂裡面
[00:01:00.600 --> 00:01:03.400]  有沒有人不喜歡快樂的
[00:01:03.400 --> 00:01:05.600]  沒有吧 有沒有人很討厭快樂的
[00:01:05.600 --> 00:01:06.600]  沒有吧 是吧
[00:01:06.600 --> 00:01:10.400]  所以快樂就成為我們去追求的一種情緒
[00:01:10.400 --> 00:01:14.000]  但很多時候我們沒有快樂的 是吧
[00:01:14.000 --> 00:01:16.800]  那我就做一些舉手調查
[00:01:16.800 --> 00:01:22.000]  看看你們的快樂指數是怎麼樣
[00:01:22.000 --> 00:01:24.600]  有誰認為自己80%的時間
[00:01:24.600 --> 00:01:26.600]  即是大約的 認為自己是很快樂的
[00:01:26.600 --> 00:01:30.800]  80% 80%都很快樂的
[00:01:30.800 --> 00:01:32.200]  他們都看得出 哇 是的
[00:01:32.200 --> 00:01:34.600]  三個而已 四隻手
[00:01:34.600 --> 00:01:35.800]  那都不算多
[00:01:35.800 --> 00:01:38.600]  六成覺得自己是快樂的
[00:01:38.600 --> 00:01:40.600]  多一些 謙虛一點
[00:01:40.600 --> 00:01:42.600]  其實都可能去到八成
[00:01:42.600 --> 00:01:47.800]  有誰認為自己是四成以上的
[00:01:47.800 --> 00:01:50.000]  這個被人迫著舉手
[00:01:50.000 --> 00:01:51.400]  四成以上
[00:01:51.400 --> 00:01:54.000]  很健康 我想下面就不用問了
[00:01:54.000 --> 00:01:57.400]  誰是低於四成的
[00:01:57.400 --> 00:01:59.200]  不敢認
[00:01:59.200 --> 00:02:01.200]  那都算是健康
[00:02:01.200 --> 00:02:03.600]  起碼都六成以上 大部分六成到八成
[00:02:03.600 --> 00:02:05.200]  即是大家都是健康的
[00:02:05.200 --> 00:02:08.600]  我問問這裡有多少人信了耶穌的
[00:02:08.600 --> 00:02:12.600]  哦 不怪得了
[00:02:12.600 --> 00:02:16.800]  那 喜樂是一種我們很想去追求的情緒
[00:02:16.800 --> 00:02:18.800]  有一個經文
