
[00:00:00.000 --> 00:00:02.000]  各位兄弟姐妹 大家早安
[00:00:02.000 --> 00:00:05.000]  我們一同來禱告
[00:00:05.000 --> 00:00:07.000]  我們求主的聖靈
[00:00:07.000 --> 00:00:09.000]  把光照到我們的心裡
[00:00:09.000 --> 00:00:11.000]  讓我們看見
[00:00:11.000 --> 00:00:13.000]  在黑暗當中
[00:00:13.000 --> 00:00:15.000]  神是我們生命的光
[00:00:15.000 --> 00:00:17.000]  所以說我們來到你的面前
[00:00:17.000 --> 00:00:20.000]  我們把今天的神的話語的信息
[00:00:20.000 --> 00:00:22.000]  仰望在你的手中
[00:00:22.000 --> 00:00:24.000]  主要願你自己親自用你的話
[00:00:24.000 --> 00:00:26.000]  向我們每一個人來說話
[00:00:26.000 --> 00:00:29.000]  主要讓我們有能聽的耳朵
[00:00:29.000 --> 00:00:31.000]  讓我們有甦醒的靈
[00:00:31.000 --> 00:00:33.000]  能夠領受你的話語
[00:00:33.000 --> 00:00:35.000]  栽種在我們的心田裡
[00:00:35.000 --> 00:00:37.000]  使我們的生命不斷地迎向你
[00:00:37.000 --> 00:00:39.000]  被你來祝福
[00:00:39.000 --> 00:00:41.000]  恩帶我們 垂聽我們的禱告
[00:00:41.000 --> 00:00:43.000]  奉靠耶穌基督的名
[00:00:43.000 --> 00:00:45.000]  Amen
[00:00:45.000 --> 00:00:47.000]  跟你隔壁的弟兄姊妹說
[00:00:47.000 --> 00:00:49.000]  在今天的黑暗的講章中
[00:00:49.000 --> 00:00:51.000]  不要睡覺
[00:00:51.000 --> 00:00:55.000]  今天這個題目是
[00:00:55.000 --> 00:00:57.000]  黑暗中的詩篇
[00:00:57.000 --> 00:00:59.000]  大家可能都不會想到
[00:00:59.000 --> 00:01:01.000]  詩篇應該是很明亮的
[00:01:01.000 --> 00:01:03.000]  怎麼會是黑暗的呢
[00:01:03.000 --> 00:01:05.000]  但是在我們所讀的詩篇裡面
[00:01:05.000 --> 00:01:07.000]  88篇
[00:01:07.000 --> 00:01:09.000]  有一個非常非常寶貴的一卷
[00:01:09.000 --> 00:01:11.000]  一個詩篇
[00:01:11.000 --> 00:01:13.000]  詩篇88篇
[00:01:13.000 --> 00:01:15.000]  我想先讓大家
[00:01:15.000 --> 00:01:17.000]  很容易記得一下好了
[00:01:17.000 --> 00:01:19.000]  先問大家一個問題
[00:01:19.000 --> 00:01:21.000]  大家有沒有聽過一首打油詩
