
[00:00:00.000 --> 00:00:07.000]  感謝主讓我今天可以在TT5的崇拜和大家
[00:00:07.000 --> 00:00:09.000]  特別是在今天這個崇拜教主日
[00:00:09.000 --> 00:00:13.000]  和大家分享關於崇拜的信息
[00:00:13.000 --> 00:00:18.000]  今天我們會透過詩篇第57篇
[00:00:18.000 --> 00:00:22.000]  來思想我們怎樣去依靠神
[00:00:22.000 --> 00:00:25.000]  怎樣敬拜主 怎樣讚美主
[00:00:25.000 --> 00:00:29.000]  剛才我們所讀的詩篇第57篇
[00:00:29.000 --> 00:00:32.000]  其實有一個標題
[00:00:32.000 --> 00:00:34.000]  這個標題是這樣說
[00:00:34.000 --> 00:00:37.000]  大衛的金師交給師班長
[00:00:37.000 --> 00:00:40.000]  調用幽曜毀壞
[00:00:40.000 --> 00:00:42.000]  使大衛躲在山洞裡
[00:00:42.000 --> 00:00:45.000]  逃避掃羅時作的
[00:00:45.000 --> 00:00:49.000]  所以這篇詩篇是大衛在逃亡的時間
[00:00:49.000 --> 00:00:52.000]  在山洞裡面去敬拜主
[00:00:52.000 --> 00:00:55.000]  之後他寫下這篇詩篇
[00:00:55.000 --> 00:00:58.000]  後來在平安的時候
[00:00:58.000 --> 00:01:02.000]  甚至已經成立了聖學的隊工的時候
[00:01:02.000 --> 00:01:07.000]  他就將這篇詩篇交給師班的領導人
[00:01:07.000 --> 00:01:11.000]  大衛為什麼要逃亡呢?
[00:01:11.000 --> 00:01:14.000]  原因是因為大家都知道
[00:01:14.000 --> 00:01:18.000]  他打敗巨人哥利亞的故事
[00:01:18.000 --> 00:01:21.000]  當他打敗哥利亞之後
[00:01:21.000 --> 00:01:24.000]  以色列人當中有人看到
[00:01:24.000 --> 00:01:26.000]  大衛真的很厲害
[00:01:26.000 --> 00:01:30.000]  甚至他的感覺比起掃羅所做的更強
[00:01:30.000 --> 00:01:32.000]  唱歌的時候就說
[00:01:32.000 --> 00:01:37.000]  「掃羅殺死千千,大衛殺死萬萬」
[00:01:37.000 --> 00:01:39.000]  即是說大衛更強
[00:01:39.000 --> 00:01:41.000]  這副掃羅非常憤怒
[00:01:41.000 --> 00:01:47.000]  不能夠接受大衛作為一個臣子去功高蓋主
[00:01:47.000 --> 00:01:51.000]  所以後來在《撒慕爾記》上十九章就說
[00:01:51.000 --> 00:01:56.000]  掃羅是要追殺大衛
[00:01:56.000 --> 00:02:01.000]  有人估計大衛逃亡的路線挺複雜的
[00:02:01.000 --> 00:02:03.000]  我們不需要仔細看
[00:02:03.000 --> 00:02:06.000]  但是跑這麼多的路
[00:02:06.000 --> 00:02:08.000]  只是不斷地跑不是辦法的
[00:02:08.000 --> 00:02:13.000]  所以還是需要找地方去躲藏
[00:02:13.000 --> 00:02:18.000]  洞穴是古代很容易去到躲藏的地方
[00:02:18.000 --> 00:02:22.000]  不容易被敵人找到
[00:02:22.000 --> 00:02:24.000]  但也不是一定找不到
[00:02:24.000 --> 00:02:26.000]  所以如果真的被發現
[00:02:26.000 --> 00:02:29.000]  在洞裏面可能沒有後路可以走
[00:02:29.000 --> 00:02:32.000]  所以洞穴可能是最安全
[00:02:32.000 --> 00:02:36.000]  但同時也可能是最危險的
[00:02:36.000 --> 00:02:39.000]  如果你像大衛那樣
[00:02:39.000 --> 00:02:41.000]  在這些洞穴裏面
[00:02:41.000 --> 00:02:44.000]  你會有什麼感覺?
[00:02:44.000 --> 00:02:47.000]  你會怎樣呢?
[00:02:47.000 --> 00:02:53.000]  有一年我去跟韓國祈禱團學習祈禱
[00:02:53.000 --> 00:02:56.000]  在韓國的祈禱山上
[00:02:56.000 --> 00:02:58.000]  我就感覺到有很多洞穴
[00:02:58.000 --> 00:03:02.000]  所謂洞穴就是一些納米
[00:03:02.000 --> 00:03:04.000]  我稱為納米祈禱凳
[00:03:04.000 --> 00:03:06.000]  進去的時候彎低身尖
[00:03:06.000 --> 00:03:08.000]  進去後只能坐下
