
[00:00:00.000 --> 00:00:02.000]  各位弟兄姊妹朋友們 早安
[00:00:02.000 --> 00:00:06.000]  很高興又能夠有這個機會跟各位分享訊息
[00:00:06.000 --> 00:00:11.000]  第一個禮拜每一個月我都要講今年教會的主題
[00:00:11.000 --> 00:00:14.000]  今年教會主題是什麼?有誰可以跟我講?
[00:00:14.000 --> 00:00:19.000]  長大成人 滿有基督長成的聖量
[00:00:19.000 --> 00:00:21.000]  那是從以夫所書出來的
[00:00:21.000 --> 00:00:23.000]  在《馬太福音》也說
[00:00:23.000 --> 00:00:28.000]  耶穌消長了一點 祂父母帶祂上聖殿去朝聖
[00:00:28.000 --> 00:00:30.000]  那時候祂十三四歲
[00:00:30.000 --> 00:00:32.000]  結果回去的時候忘了耶穌
[00:00:32.000 --> 00:00:36.000]  結果再回去找祂 發現祂在聖殿裡面
[00:00:36.000 --> 00:00:40.000]  與法利賽人在那邊講經論道
[00:00:40.000 --> 00:00:42.000]  聖經講了一句話
[00:00:42.000 --> 00:00:44.000]  說耶穌的智慧和聖量
[00:00:44.000 --> 00:00:48.000]  並神與人喜悅祂的心都一起增長
[00:00:48.000 --> 00:00:51.000]  這個我會下次再講這一個
[00:00:51.000 --> 00:00:55.000]  今天我們仍然是要說長大成人
[00:00:55.000 --> 00:00:58.000]  是說要在基督裡長大成人
[00:00:58.000 --> 00:01:00.000]  這很有意思
[00:01:00.000 --> 00:01:03.000]  因為我們知道主耶穌曾經說過
[00:01:03.000 --> 00:01:07.000]  人若不重生就不能見上帝的國
[00:01:07.000 --> 00:01:11.000]  這個重生是指說
[00:01:11.000 --> 00:01:15.000]  信主悔改成為上帝的兒女
[00:01:15.000 --> 00:01:20.000]  讓耶穌的保險能夠洗淨我們一切的罪孽過犯
[00:01:20.000 --> 00:01:22.000]  有的時候我們講說
[00:01:22.000 --> 00:01:25.000]  我怎麼有什麼罪孽過犯呢
[00:01:25.000 --> 00:01:27.000]  看英文就很清楚
[00:01:27.000 --> 00:01:30.000]  它是講說你的transgression
[00:01:30.000 --> 00:01:31.000]  trespassing
[00:01:31.000 --> 00:01:33.000]  transgression是過犯
[00:01:33.000 --> 00:01:36.000]  還有你的sin你的罪過
[00:01:36.000 --> 00:01:39.000]  但是trespassing這個字就很有意思了
[00:01:39.000 --> 00:01:43.000]  如果說你有的時候到海邊去
[00:01:43.000 --> 00:01:46.000]  你看到那邊有人家
[00:01:46.000 --> 00:01:49.000]  然後你想要從他們院子走過去到海邊
[00:01:49.000 --> 00:01:52.000]  結果你發現有一個牌子上面說什麼
[00:01:52.000 --> 00:01:54.000]  no trespassing
[00:01:54.000 --> 00:01:55.000]  不可以穿過去
[00:01:55.000 --> 00:01:57.000]  不可以抄捷徑
[00:01:57.000 --> 00:01:58.000]  所以對神來講
[00:01:58.000 --> 00:02:02.000]  抄捷徑也是罪孽過犯
[00:02:02.000 --> 00:02:05.000]  所以我們的神是公義的神
[00:02:05.000 --> 00:02:09.000]  但是祂顧念我們
[00:02:09.000 --> 00:02:12.000]  那麼屬肉體常常做不到
[00:02:12.000 --> 00:02:15.000]  所以祂用祂的保險
[00:02:15.000 --> 00:02:18.000]  洗淨我們一切的罪孽過犯
[00:02:18.000 --> 00:02:21.000]  去給我們一個屬靈的生命
[00:02:21.000 --> 00:02:23.000]  我們叫這個叫做得救
[00:02:23.000 --> 00:02:26.000]  我們在座有好多得救的
[00:02:26.000 --> 00:02:27.000]  感謝神
[00:02:27.000 --> 00:02:33.000]  因為得救其實不是就這樣子完了
[00:02:33.000 --> 00:02:37.000]  得救實際上是我們屬靈生命的一個開始
[00:02:37.000 --> 00:02:38.000]  當我們得了救的時候
[00:02:38.000 --> 00:02:41.000]  我不管你是七十歲八十歲十歲五歲
[00:02:41.000 --> 00:02:43.000]  那只是一個開始
[00:02:43.000 --> 00:02:45.000]  你只是一個小嬰孩
[00:02:45.000 --> 00:02:48.000]  剛剛開始的一個小小的生命
[00:02:48.000 --> 00:02:52.000]  還需要在基督裡不斷地長大成熟
[00:02:52.000 --> 00:02:56.000]  以致能夠成聖
[00:02:56.000 --> 00:02:59.000]  我們的基督徒的心路歷程
[00:02:59.000 --> 00:03:02.000]  我們一生是得了救
[00:03:02.000 --> 00:03:04.000]  不是說就要等著上天堂了
[00:03:04.000 --> 00:03:07.000]  乃是我們有一生之久讓我們能夠成聖
[00:03:07.000 --> 00:03:09.000]  成為聖潔
[00:03:09.000 --> 00:03:12.000]  雖然我們是陰性稱義
[00:03:12.000 --> 00:03:15.000]  但是我們還要有好行為
[00:03:15.000 --> 00:03:17.000]  我們能夠長大成熟
[00:03:17.000 --> 00:03:19.000]  滿有基督長成的聲量
[00:03:19.000 --> 00:03:21.000]  要能夠成聖
[00:03:21.000 --> 00:03:23.000]  就像保羅說的
[00:03:23.000 --> 00:03:26.000]  他說我們眾人在真道上歸於一
[00:03:26.000 --> 00:03:28.000]  認識上帝的兒子
[00:03:28.000 --> 00:03:30.000]  得以長大成容
[00:03:30.000 --> 00:03:32.000]  滿有基督長成的聲量
[00:03:32.000 --> 00:03:36.000]  彼得說我們要愛慕那純淨的靈奶
[00:03:36.000 --> 00:03:39.000]  像出生的嬰孩一樣
[00:03:39.000 --> 00:03:42.000]  然後漸漸增長以致得救
[00:03:42.000 --> 00:03:45.000]  所以我們就不再做小孩子
[00:03:45.000 --> 00:03:47.000]  中了人的詭計
[00:03:47.000 --> 00:03:51.000]  而被一切異教之風吹來搖動
[00:03:51.000 --> 00:03:54.000]  然後將來有一天我們就可以得榮耀
[00:03:54.000 --> 00:03:58.000]  但是你成聖的功夫你越早學會
[00:03:58.000 --> 00:04:02.000]  你得榮耀的日子越早臨到
[00:04:02.000 --> 00:04:04.000]  我們從來沒有說你要死了以後
[00:04:04.000 --> 00:04:06.000]  才能夠上天堂
[00:04:06.000 --> 00:04:09.000]  你要死了以後才能夠見到神
[00:04:09.000 --> 00:04:11.000]  你活在世界上面
[00:04:11.000 --> 00:04:12.000]  你就可以得榮耀
[00:04:12.000 --> 00:04:14.000]  與祂一起掌權作王
[00:04:14.000 --> 00:04:18.000]  你的生命就可以活出不一樣
[00:04:18.000 --> 00:04:21.000]  這是我們所盼望
[00:04:21.000 --> 00:04:24.000]  如果我們覺得這信徒主受了洗
[00:04:24.000 --> 00:04:25.000]  真正的得救
[00:04:25.000 --> 00:04:27.000]  我是講是真正的
[00:04:27.000 --> 00:04:29.000]  不是說假的
[00:04:29.000 --> 00:04:32.000]  但是就算說我們得了救
[00:04:32.000 --> 00:04:34.000]  歸入了主的名下
