
[00:00:00.000 --> 00:00:03.000]  丁小妹,各位來賓,早上好
[00:00:03.000 --> 00:00:05.000]  接下來是什麼節日?
[00:00:05.000 --> 00:00:08.000]  周圍建設了廣告,要買什麼?
[00:00:08.000 --> 00:00:12.000]  中秋節,中秋節當然要買月餅
[00:00:12.000 --> 00:00:16.000]  有見到我們的家事分享,說到有很多月餅
[00:00:16.000 --> 00:00:20.000]  請大家能夠捐出來,讓我們都可以派給
[00:00:20.000 --> 00:00:23.000]  沒有月餅,但讓他們都能夠
[00:00:23.000 --> 00:00:25.000]  讓我們捐贈月餅去過節
[00:00:25.000 --> 00:00:28.000]  不知道大家喜歡吃哪一種月餅?
[00:00:28.000 --> 00:00:32.000]  那些大名吧
[00:00:32.000 --> 00:00:36.000]  雖然整條街都是餅家在賣不同牌子的月餅
[00:00:36.000 --> 00:00:39.000]  但很有趣的,絕大多數都是那個牌子
[00:00:39.000 --> 00:00:41.000]  買來買去都是那個款式
[00:00:41.000 --> 00:00:45.000]  不過我想,如果要在這麼飽和的月餅市場
[00:00:45.000 --> 00:00:47.000]  分一杯羹都挺難的
[00:00:47.000 --> 00:00:50.000]  如果你是商家,就這樣推出一款
[00:00:50.000 --> 00:00:54.000]  又是傳統的雙黃白蓮蓉
[00:00:54.000 --> 00:00:56.000]  我想你都挺難做得起
[00:00:56.000 --> 00:00:58.000]  但有沒有發覺
[00:00:58.000 --> 00:01:00.000]  前陣子,也有幾年前
[00:01:00.000 --> 00:01:02.000]  有一個餅家突圍而出
[00:01:02.000 --> 00:01:04.000]  出了一種很特別的月餅
[00:01:04.000 --> 00:01:06.000]  到現在很多人不喜歡吃傳統月餅
[00:01:06.000 --> 00:01:08.000]  都喜歡吃他那種月餅叫什麼?
[00:01:08.000 --> 00:01:10.000]  冰皮月餅
[00:01:10.000 --> 00:01:12.000]  不過再提醒大家,不要將冰皮月餅拿回來
[00:01:12.000 --> 00:01:14.000]  我們不會幫你雪住,然後給別人的
[00:01:14.000 --> 00:01:18.000]  老實說,冰皮月餅嚴格來說都不是月餅
[00:01:18.000 --> 00:01:20.000]  但總之有人做到月餅的樣子
[00:01:20.000 --> 00:01:22.000]  改名叫冰皮月餅
[00:01:22.000 --> 00:01:24.000]  突圍而出
[00:01:24.000 --> 00:01:26.000]  又不知道這個餅家是什麼
[00:01:26.000 --> 00:01:28.000]  突然說要吃冰皮月餅
[00:01:28.000 --> 00:01:30.000]  一定買他
[00:01:30.000 --> 00:01:32.000]  而且大陸的潮流
[00:01:32.000 --> 00:01:34.000]  他出了冰皮月餅之後
[00:01:34.000 --> 00:01:36.000]  其他的傳統餅家也要嘗試
[00:01:36.000 --> 00:01:38.000]  我也要出冰皮月餅
[00:01:38.000 --> 00:01:40.000]  但是今天你買冰皮月餅
[00:01:40.000 --> 00:01:42.000]  當然是買某個大牌子的
[00:01:42.000 --> 00:01:44.000]  所以原來這個世界很有趣
[00:01:44.000 --> 00:01:48.000]  可能很多餅家都一起去做月餅
[00:01:48.000 --> 00:01:50.000]  但是很多做不住
[00:01:50.000 --> 00:01:52.000]  倒閉了
[00:01:52.000 --> 00:01:56.000]  就算餅家死
[00:01:56.000 --> 00:01:58.000]  月餅不會死
[00:01:58.000 --> 00:02:00.000]  你不用怕
[00:02:00.000 --> 00:02:02.000]  永遠你仍然有月餅吃
[00:02:02.000 --> 00:02:06.000]  同樣,福音也像月餅一樣
[00:02:06.000 --> 00:02:08.000]  所以每一間教會,每一個基督徒
[00:02:08.000 --> 00:02:10.000]  都要傳福音,傳福音,傳福音
[00:02:10.000 --> 00:02:12.000]  但是,不是每一個基督徒
[00:02:12.000 --> 00:02:14.000]  傳福音,傳到最後
[00:02:14.000 --> 00:02:16.000]  都繼續傳,傳到中間
[00:02:16.000 --> 00:02:18.000]  可能他自己又不信
[00:02:18.000 --> 00:02:20.000]  甚至有些教會
[00:02:20.000 --> 00:02:22.000]  教堂就仍然存在
[00:02:22.000 --> 00:02:24.000]  仍然是很輝煌
[00:02:24.000 --> 00:02:26.000]  非常美輪美奐的建築
[00:02:26.000 --> 00:02:28.000]  但是裡面
[00:02:28.000 --> 00:02:30.000]  其實嚴格來說
[00:02:30.000 --> 00:02:32.000]  已經沒有再信耶穌的人聚會
[00:02:32.000 --> 00:02:34.000]  那裡的教會已經死了
[00:02:34.000 --> 00:02:36.000]  不過不用怕
[00:02:36.000 --> 00:02:38.000]  無論有基督徒對主的信心死了
[00:02:38.000 --> 00:02:40.000]  甚至有教會也死了
[00:02:40.000 --> 00:02:42.000]  福音是不會死的
[00:02:42.000 --> 00:02:44.000]  就好像我今天講題所講
[00:02:44.000 --> 00:02:46.000]  一雞死,一雞鳴的道理
[00:02:46.000 --> 00:02:48.000]  總之,不會因為載體不在
[00:02:48.000 --> 00:02:50.000]  福音就不見了
[00:02:50.000 --> 00:02:52.000]  神會繼續興起人
[00:02:52.000 --> 00:02:54.000]  興起教會,要將福音傳開
[00:02:54.000 --> 00:02:56.000]  因為這是神自己的決心
[00:02:56.000 --> 00:02:58.000]  所以今天我們繼續去看
[00:02:58.000 --> 00:03:00.000]  羅馬書第十一章的經文
[00:03:00.000 --> 00:03:02.000]  去了解到神自己的旨意是什麼
[00:03:02.000 --> 00:03:04.000]  以致我們今天要堅持
[00:03:04.000 --> 00:03:06.000]  繼續有效地
[00:03:06.000 --> 00:03:08.000]  要將福音傳下去
[00:03:08.000 --> 00:03:10.000]  為主,去結果治
[00:03:10.000 --> 00:03:12.000]  我們一起看羅馬書第十一章
[00:03:12.000 --> 00:03:14.000]  十一至十四節
[00:03:14.000 --> 00:03:16.000]  羅馬書十一章,第十一至十四節
[00:03:16.000 --> 00:03:18.000]  我常常鼓勵大家
[00:03:18.000 --> 00:03:20.000]  如果可以的時候,打開聖經
[00:03:20.000 --> 00:03:22.000]  拿著聖經去聽,可以專注一點
[00:03:22.000 --> 00:03:24.000]  如果可以的時候
[00:03:24.000 --> 00:03:26.000]  可以打開聖經,羅馬書第十一章
[00:03:26.000 --> 00:03:28.000]  十一至十四節
[00:03:28.000 --> 00:03:30.000]  請幫我讀出這幾節經文
[00:03:30.000 --> 00:03:32.000]  請讀
[00:03:32.000 --> 00:03:38.000]  我們一起祈禱
[00:03:38.000 --> 00:03:40.000]  主讓我們都能夠去珍惜
[00:03:40.000 --> 00:03:42.000]  在野橄欖枝
[00:03:42.000 --> 00:03:44.000]  摺上去橄欖樹
[00:03:44.000 --> 00:03:46.000]  得蒙主
[00:03:46.000 --> 00:03:48.000]  自己在
[00:03:48.000 --> 00:03:50.000]  以色列民族裏面成就的救恩
[00:03:50.000 --> 00:03:52.000]  能夠都同樣
[00:03:52.000 --> 00:03:54.000]  成為天國的子民
[00:03:54.000 --> 00:03:56.000]  幫助我們
