
[00:00:00.000 --> 00:00:04.300]  其實今日臨到你和我身上各樣挑戰
[00:00:04.300 --> 00:00:06.700]  有人讀書 有人工作
[00:00:06.700 --> 00:00:09.400]  有人在想人生的下一步
[00:00:09.400 --> 00:00:11.700]  有人快要退休 有人退休了
[00:00:11.700 --> 00:00:16.600]  但都有我們一些的挑戰 有一些的難處
[00:00:16.600 --> 00:00:24.000]  你和我面對的挑戰 難處其實大同小異
[00:00:24.000 --> 00:00:27.000]  都差不多的 都是那些東西 都是差不多
[00:00:27.000 --> 00:00:29.900]  但為甚麼有些人可以很輕易面對
[00:00:29.900 --> 00:00:33.600]  嘩笑看風雲 哈哈這樣
[00:00:33.600 --> 00:00:41.400]  但有些人就自怨自艾 灰心喪志
[00:00:41.400 --> 00:00:47.400]  今日講這個題目 忍受試探的福氣
[00:00:47.400 --> 00:00:50.900]  我想大家都很明白甚麼是試探 是吧
[00:00:50.900 --> 00:00:54.400]  照明白那個字 試探應該很容易明白
[00:00:54.400 --> 00:00:55.800]  我們可以下一個slide
[00:00:55.800 --> 00:00:58.400]  那試煉又是甚麼呢
[00:00:58.400 --> 00:01:00.600]  其實剛剛我們讀那段經文
[00:01:00.600 --> 00:01:04.700]  這兩個字都出現了 在同一章裏面
[00:01:04.700 --> 00:01:07.800]  「你們落在百般的試煉中」
[00:01:07.800 --> 00:01:11.900]  然後「忍受試探的人是有福的」
[00:01:11.900 --> 00:01:14.600]  這兩樣東西有沒有分別
[00:01:14.600 --> 00:01:17.900]  你看中文就有了 一個試煉 一個試探
[00:01:17.900 --> 00:01:21.300]  但其實如果你回到原文希臘文的時候
[00:01:21.300 --> 00:01:24.200]  你會發覺原來其實試煉這個字和試探那個字
[00:01:24.200 --> 00:01:28.400]  原來是同一個字 是同一個字
[00:01:28.400 --> 00:01:30.000]  只不過被翻譯出來的時候
[00:01:30.000 --> 00:01:31.800]  好像看上去有兩種意思
[00:01:31.800 --> 00:01:33.600]  一個試煉 一個試探
[00:01:33.600 --> 00:01:36.800]  但其實如果你戴著希臘文的眼鏡去看的時候
[00:01:36.800 --> 00:01:41.200]  你會發覺原來是一樣的同一個字
[00:01:41.200 --> 00:01:43.200]  有些學者嘗試將試煉
[00:01:43.200 --> 00:01:45.800]  他覺得試煉可能是神那裏
[00:01:45.800 --> 00:01:47.600]  連於神的 和神有關
[00:01:47.600 --> 00:01:50.800]  神拿出來的 就是試煉你
[00:01:50.800 --> 00:01:57.100]  試煉你 要你成為更加聖潔 更加尊貴
[00:01:57.100 --> 00:02:01.700]  試探就魔鬼那裏來
[00:02:01.700 --> 00:02:09.200]  目的是想你犯罪 想你跌倒 想你羞辱神的名
[00:02:09.200 --> 00:02:13.200]  人如果經歷那些艱難
[00:02:13.200 --> 00:02:16.900]  接著他成功了 聖過了
[00:02:16.900 --> 00:02:20.000]  那樣東西就叫做試煉
[00:02:20.000 --> 00:02:23.100]  面對那樣東西 這個人失敗了
[00:02:23.100 --> 00:02:24.900]  對他來說就是試探了
[00:02:24.900 --> 00:02:29.700]  有些學者是這樣去解釋
[00:02:29.700 --> 00:02:30.900]  都有一個好處的
[00:02:30.900 --> 00:02:33.200]  就是我們分辨這樣去看
[00:02:33.200 --> 00:02:35.500]  但是其實今天我不是說
[00:02:35.500 --> 00:02:40.200]  最終目的不是想和你分辨這兩樣東西的分別
[00:02:40.200 --> 00:02:41.600]  還有我們看的時候
[00:02:41.600 --> 00:02:42.700]  其實你看聖經
[00:02:42.700 --> 00:02:49.500]  你會看到神容許撒旦去試探若白
