
[00:00:00.000 --> 00:00:01.520]  親愛的弟兄姊妹平安
[00:00:01.520 --> 00:00:03.960]  網上的弟兄姊妹平安
[00:00:03.960 --> 00:00:09.040]  感謝神今天有機會可以在當中繼續服侍
[00:00:09.040 --> 00:00:11.880]  也感謝神給我們有機會去分享訊息
[00:00:11.880 --> 00:00:14.600]  多謝剛剛Samuel傳導說我們讀出經文
[00:00:14.600 --> 00:00:16.960]  可能你們會留意到
[00:00:16.960 --> 00:00:18.600]  其實我之前講過
[00:00:18.600 --> 00:00:20.600]  約翰福音的時候提到
[00:00:20.600 --> 00:00:22.080]  耶穌是生命的量
[00:00:22.080 --> 00:00:24.520]  那時候已經提到五餅二魚
[00:00:24.520 --> 00:00:27.600]  但是今天再講五餅二魚的故事
[00:00:27.760 --> 00:00:31.200]  但是今天我們會用另一個角度去看這個神跡
[00:00:31.200 --> 00:00:32.960]  我們會從滿肚
[00:00:32.960 --> 00:00:34.000]  從眾人
[00:00:34.000 --> 00:00:35.800]  從耶穌的看見
[00:00:35.800 --> 00:00:37.560]  去明白神的心意
[00:00:37.560 --> 00:00:39.280]  然後我們一起禱告
[00:00:39.280 --> 00:00:44.280]  Tim哥多謝你讚美我們
[00:00:44.280 --> 00:00:46.880]  讓我們一起在教會裡面有聚集
[00:00:46.880 --> 00:00:49.400]  也在當中領受你的話語
[00:00:49.400 --> 00:00:51.880]  神讓我們覺得很寶貴
[00:00:51.880 --> 00:00:53.200]  因為可以來到當中
[00:00:53.200 --> 00:00:55.760]  跟弟兄姊妹給錢去領受神的話
[00:00:55.760 --> 00:00:56.880]  是一種恩典
[00:00:57.120 --> 00:00:59.680]  主啊我求你今天裡面去帶領我們
[00:00:59.680 --> 00:01:02.360]  容讓我們看見你所看見的
[00:01:02.360 --> 00:01:05.280]  主願你的聖靈這一刻與我們同在
[00:01:05.280 --> 00:01:06.760]  開我們屬靈的眼睛
[00:01:06.760 --> 00:01:07.880]  容讓我們明白
[00:01:07.880 --> 00:01:09.600]  經文裡面所講的
[00:01:09.600 --> 00:01:11.040]  願主親自祝福
[00:01:11.040 --> 00:01:12.040]  聽我們祈禱
