
[00:00:00.000 --> 00:00:02.760]  再次邀請大家跟我一起低頭祈禱
[00:00:02.760 --> 00:00:07.280]  親屬感謝你
[00:00:07.280 --> 00:00:11.200]  感謝你呼喚你的吸引
[00:00:11.200 --> 00:00:14.980]  讓我們能夠放下繁忙的工作
[00:00:14.980 --> 00:00:16.320]  生活的壓力
[00:00:16.320 --> 00:00:19.100]  在你的殿裏有機會一起敬拜
[00:00:19.100 --> 00:00:21.260]  讓聖靈時刻與我們同在
[00:00:21.260 --> 00:00:23.140]  更加賜給我們有悟性
[00:00:23.140 --> 00:00:25.740]  使我們能夠明白你懷中的奧秘
[00:00:25.740 --> 00:00:28.520]  成為我們生活的力量和方向
[00:00:29.180 --> 00:00:32.060]  願講的和聽的都同望你的月亮
[00:00:32.060 --> 00:00:34.140]  祈禱奉主耶穌基督的名而求
[00:00:34.140 --> 00:00:35.420]  阿門
[00:00:35.420 --> 00:00:39.440]  各位弟兄姊妹
[00:00:39.440 --> 00:00:43.260]  剛才當高執事點起
[00:00:43.260 --> 00:00:46.720]  聖壇前面那支喜樂支柱的時候
[00:00:46.720 --> 00:00:47.940]  粉紅色的
[00:00:47.940 --> 00:00:50.080]  會讓你覺醒
[00:00:50.080 --> 00:00:52.060]  喜樂的源頭在哪裏
[00:00:52.060 --> 00:00:55.220]  剛才很感謝
[00:00:55.220 --> 00:00:59.060]  高國榮堂位為我們讀出今天宣導的經文
[00:00:59.860 --> 00:01:02.460]  詩篇146篇
[00:01:02.460 --> 00:01:06.840]  主題是鼓勵我們要讚美上帝
[00:01:06.840 --> 00:01:11.360]  其實146至150篇都是讚美的詩歌
[00:01:11.360 --> 00:01:14.880]  但146篇最主要的主題是
[00:01:14.880 --> 00:01:18.260]  鼓勵我們個人要讚美上帝
[00:01:18.260 --> 00:01:25.280]  雖然沒有跟大家讀第三和第四節
[00:01:25.280 --> 00:01:26.980]  但想跟大家分享
[00:01:26.980 --> 00:01:28.680]  詩人在第三至四節
[00:01:28.680 --> 00:01:31.420]  吩咐我們不要依靠世人
[00:01:31.420 --> 00:01:33.240]  包括自己
[00:01:33.240 --> 00:01:36.500]  也包括那些有權有勢的君王
[00:01:36.500 --> 00:01:39.880]  因為他們有過期
[00:01:39.880 --> 00:01:41.860]  是會過期的
[00:01:41.860 --> 00:01:44.340]  無論是港朝換代
[00:01:44.340 --> 00:01:48.200]  或者每個人都有一死的死期來臨的時候
[00:01:48.200 --> 00:01:50.580]  一切這些人說幫你
[00:01:50.580 --> 00:01:52.460]  都會落空
[00:01:52.460 --> 00:01:55.320]  因為當死期來臨的時候
[00:01:55.320 --> 00:01:57.780]  每一個人都會消亡
[00:01:58.940 --> 00:02:01.100]  第五至十節鼓勵我們
[00:02:01.100 --> 00:02:02.540]  也告訴我們
[00:02:02.540 --> 00:02:04.940]  那些依靠耶和華的人是有福的
[00:02:04.940 --> 00:02:06.920]  為什麼呢?
[00:02:06.920 --> 00:02:10.160]  因為上帝是那位有能力的上帝
[00:02:10.160 --> 00:02:12.580]  祂是我們的創造主
[00:02:12.580 --> 00:02:15.180]  我們身處的這個世界
[00:02:15.180 --> 00:02:18.200]  和我們所享有的一切都是從祂而來的
[00:02:18.200 --> 00:02:21.220]  上帝是那位守信用的上帝
[00:02:21.220 --> 00:02:23.500]  祂說過的話,祂做得到
[00:02:23.500 --> 00:02:26.420]  祂不會違背自己的諾言和說話
[00:02:27.080 --> 00:02:29.680]  上帝是那位永在的神
[00:02:29.680 --> 00:02:31.320]  祂不會過期的
[00:02:31.320 --> 00:02:32.560]  祂不會過期
[00:02:32.560 --> 00:02:34.120]  祂是無窮無盡
[00:02:34.120 --> 00:02:35.320]  無限制
[00:02:35.320 --> 00:02:38.040]  祂更加憐愛世人
[00:02:38.040 --> 00:02:41.340]  特別是由第七至第九節
[00:02:41.340 --> 00:02:43.080]  裡面所描述的
[00:02:43.080 --> 00:02:44.740]  有些受屈辱的
[00:02:44.740 --> 00:02:45.720]  飢餓的
