
[00:00:00.000 --> 00:00:02.280]  其實由《羅馬書》十五章
[00:00:02.280 --> 00:00:04.320]  由十四字開始打後
[00:00:04.320 --> 00:00:05.760]  在聖經學者那邊
[00:00:05.760 --> 00:00:08.600]  他們已經將這大段聖經
[00:00:08.600 --> 00:00:11.400]  成為了保羅這封書信的
[00:00:11.400 --> 00:00:14.360]  一個最後的結尾
[00:00:14.360 --> 00:00:15.760]  但是當我們思考
[00:00:15.760 --> 00:00:19.000]  這段結尾的第一段經文時
[00:00:19.000 --> 00:00:21.120]  我們回顧原來這段聖經
[00:00:21.120 --> 00:00:22.880]  短短的七節當中
[00:00:22.880 --> 00:00:25.560]  其實保羅很簡單地
[00:00:25.560 --> 00:00:26.880]  但很清楚地
[00:00:26.880 --> 00:00:30.520]  將他自己的侍奉過程
[00:00:30.520 --> 00:00:31.920]  那種經歷
[00:00:31.920 --> 00:00:34.480]  那種侍奉的觀念
[00:00:34.480 --> 00:00:36.080]  好像用了七節的聖經
[00:00:36.080 --> 00:00:37.320]  來講出來
[00:00:37.320 --> 00:00:39.160]  特別當我自己去思考
[00:00:39.160 --> 00:00:41.440]  到這段聖經的時候
[00:00:41.440 --> 00:00:44.160]  我發覺我自己也侍奉了四十年
[00:00:44.160 --> 00:00:45.080]  有時候我們會想
[00:00:45.080 --> 00:00:47.360]  為什麼保羅可以侍奉
[00:00:47.360 --> 00:00:48.960]  他的侍奉是一生
[00:00:48.960 --> 00:00:52.240]  他的侍奉是由開始到結尾
[00:00:52.240 --> 00:00:55.480]  他仍然都可以帶著很有勇氣
[00:00:55.480 --> 00:00:58.000]  帶著一種熱誠
[00:00:58.000 --> 00:00:59.560]  帶著一份感恩的心
[00:00:59.560 --> 00:01:02.200]  來走完這條侍奉的路
[00:01:02.200 --> 00:01:03.440]  以致到他可以說
[00:01:03.440 --> 00:01:05.480]  我跑的路已經跑完
[00:01:05.480 --> 00:01:06.680]  我打的仗已經打了
[00:01:06.680 --> 00:01:08.120]  我守的道已經守住了
[00:01:08.120 --> 00:01:10.640]  以致到他能夠可以無愧地
[00:01:10.640 --> 00:01:13.280]  去到神的寶座前
[00:01:13.280 --> 00:01:14.960]  以致到我覺得對我來說
[00:01:14.960 --> 00:01:16.360]  經過四十年的侍奉
[00:01:16.360 --> 00:01:18.560]  我覺得讀這七節的聖經
[00:01:18.560 --> 00:01:20.280]  是特別有味的
[00:01:20.280 --> 00:01:21.480]  因為我自己也在想
[00:01:21.480 --> 00:01:23.280]  將來我會不會寫七節的聖經
[00:01:23.280 --> 00:01:25.240]  來回顧我自己的侍奉
[00:01:25.240 --> 00:01:26.720]  但肯定我沒有他這樣
[00:01:26.720 --> 00:01:27.840]  我肯定沒有保羅這樣
